hole,suit,rank,order,prob,Nsim,2,3,4,5,6,7,8,9,10
♠2 ♥2,0.0,1.0,0.0,0.004524886877828055,60000.0,0.5126407407407456,0.3138157407406454,0.22498432539677496,0.18202552910049533,0.15909060846560297,0.14526845238093483,0.13580925925926035,0.12860000000000746,0.12045444444444459
♠3 ♠2,1.0,0.0,1.0,0.0030165912518853697,60000.0,0.38659999999999445,0.2542277777777081,0.19340793650792068,0.15953439153437912,0.13839642857143275,0.12385873015871049,0.11299814814815008,0.10433518518519362,0.08993583333333331
♠3 ♥2,0.0,0.0,1.0,0.00904977375565611,60000.0,0.3539740740740671,0.21621342592586182,0.1538246031746181,0.11985912698413351,0.09937156084656372,0.08586726190475408,0.07623148148148141,0.06888703703704184,0.055471944444444435
♠3 ♥3,0.0,1.0,0.0,0.004524886877828055,60000.0,0.5446092592592728,0.34283240740731163,0.24547857142851676,0.19528187830683608,0.16737341269840375,0.15040892857140956,0.1390328703703701,0.13063888888889752,0.12094500000000005
♠4 ♠2,1.0,0.0,0.0,0.0030165912518853697,60000.0,0.3989518518518419,0.26697685185177994,0.20520297619045416,0.17029642857140836,0.148302910052912,0.13309146825394577,0.12169861111111309,0.11261111111112035,0.09626277777777778
♠4 ♠3,1.0,0.0,1.0,0.0030165912518853697,60000.0,0.4148092592592397,0.28183842592585095,0.21808888888886255,0.1814578042327776,0.15827103174603138,0.14233809523807484,0.13055648148148324,0.12128703703704671,0.10366499999999997
♠4 ♥2,0.0,0.0,0.0,0.00904977375565611,60000.0,0.36367407407406216,0.22717731481474984,0.1643946428571491,0.12966388888889582,0.10847129629630096,0.09443908730157526,0.08444583333333318,0.07686111111111668,0.061245833333333374
♠4 ♥3,0.0,0.0,1.0,0.00904977375565611,60000.0,0.3807351851851716,0.24323703703696764,0.17806309523809416,0.14121005291005528,0.11844920634921295,0.1033230158730003,0.0925731481481481,0.08445925925926577,0.06795500000000008
♠4 ♥4,0.0,1.0,0.0,0.004524886877828055,60000.0,0.5787296296296599,0.375130092592508,0.26945932539675876,0.2116621693121065,0.17822394179892653,0.1575902777777567,0.1439129629629604,0.13415555555556527,0.12270277777777785
♠5 ♠2,1.0,0.0,0.0,0.0030165912518853697,60000.0,0.4051333333333159,0.2716018518517776,0.20934722222219862,0.1738767195766961,0.15151415343915506,0.136148611111088,0.12475694444444642,0.1157703703703797,0.09823027777777772
♠5 ♠3,1.0,0.0,0.0,0.0030165912518853697,60000.0,0.4269333333333085,0.2916185185184437,0.22679007936504925,0.18924378306875073,0.16542605820105644,0.14912261904760074,0.13715416666666752,0.12781666666667635,0.10873527777777765
♠5 ♠4,1.0,0.0,1.0,0.0030165912518853697,60000.0,0.4437981481481289,0.3094347222221491,0.24302916666662974,0.20367857142853002,0.1783051587301531,0.16077242063490751,0.14787129629629817,0.13783518518519625,0.11717722222222204
♠5 ♥2,0.0,0.0,0.0,0.00904977375565611,60000.0,0.3760629629629463,0.2370407407406724,0.17304563492063663,0.13724140211640895,0.11524179894180446,0.10062162698411259,0.09019027777777766,0.08227592592593212,0.06469611111111125
♠5 ♥3,0.0,0.0,0.0,0.00904977375565611,60000.0,0.39312777777775615,0.253717592592519,0.18757619047618276,0.1497706349206307,0.1262890211640296,0.11067539682537804,0.09961759259259227,0.0913222222222292,0.07353361111111113
♠5 ♥4,0.0,0.0,1.0,0.00904977375565611,60000.0,0.4152962962962693,0.2764699074073284,0.20804880952379157,0.16775701058199022,0.14215291005291728,0.12483253968251584,0.11240555555555541,0.10300185185186041,0.0823955555555556
♠5 ♥5,0.0,1.0,0.0,0.004524886877828055,60000.0,0.6111037037037454,0.40858796296288996,0.29639503968246583,0.23139219576711573,0.19205119047616495,0.16706825396823446,0.15031712962962498,0.13840555555556744,0.12443888888888889
♠6 ♠2,1.0,0.0,0.0,0.0030165912518853697,60000.0,0.4042240740740539,0.2658962962962184,0.20238630952379033,0.16608968253966344,0.14305066137566663,0.12718948412696165,0.1154791666666677,0.10632592592593487,0.0898047222222221
♠6 ♠3,1.0,0.0,0.0,0.0030165912518853697,60000.0,0.425918518518485,0.2865749999999258,0.22063273809521156,0.18214285714282932,0.1574722222222225,0.14047837301585006,0.12800370370370404,0.11832037037037986,0.10010138888888863
♠6 ♠4,1.0,0.0,0.0,0.0030165912518853697,60000.0,0.4424055555555285,0.3049925925925179,0.2384821428571085,0.19893253968250135,0.1733108465608429,0.15557480158728593,0.1425287037037048,0.13239629629630711,0.11294888888888861
♠6 ♠5,1.0,0.0,1.0,0.0030165912518853697,60000.0,0.4604666666666371,0.32440462962955363,0.25622876984122933,0.21458796296291202,0.18713240740740014,0.16793253968253014,0.1537458333333352,0.1427222222222342,0.12157972222222195
♠6 ♥2,0.0,0.0,0.0,0.00904977375565611,60000.0,0.3710888888888655,0.22661481481474532,0.16129841269842451,0.12474417989418697,0.10222976190476657,0.08730515873014937,0.07674490740740712,0.06884444444444952,0.053092222222222284
♠6 ♥3,0.0,0.0,0.0,0.00904977375565611,60000.0,0.39154444444441555,0.24867083333325962,0.18212242063491874,0.14388955026455147,0.11995714285715078,0.10398253968252284,0.09267777777777765,0.08423518518519167,0.06631583333333346
♠6 ♥4,0.0,0.0,0.0,0.00904977375565611,60000.0,0.4110999999999659,0.268575925925848,0.2002117063491919,0.16008042328040964,0.13462169312170374,0.11751924603172316,0.10539212962962843,0.09634074074074848,0.07687555555555554
♠6 ♥5,0.0,0.0,1.0,0.00904977375565611,60000.0,0.42847962962959457,0.2869185185184407,0.21664107142855052,0.17406428571425972,0.14635515873016602,0.12737261904759148,0.11373425925925837,0.10348333333334288,0.08302777777777781
♠6 ♥6,0.0,1.0,0.0,0.004524886877828055,60000.0,0.6401000000000541,0.4392333333332632,0.3219932539681785,0.2512167989417015,0.20707367724863845,0.17855575396824067,0.1593958333333244,0.1459574074074204,0.1312677777777777
