round_id,playerName,chips,reloadCount,cards,hand,position,act_deal,bet_deal,act_flop,bet_flop,act_turn,bet_turn,act_river,bet_river,allIn,folded,rank,message,winMoney
1,SML,1000,0,♣3 ♥6,♣3 ♥6 ♦3 ♠8 ♣10 ♥A ♣Q,BB,call,20,call,20.0,,,call,0,False,False,10.2688,Pair,120.0
1,PCB,1000,0,♥5 ♦6,♥5 ♦6 ♦3 ♠8 ♣10 ♥A ♣Q,,call,20,fold,0.0,,,fold,0,False,True,8.068,High Card,0.0
1,Tobacco AI,1000,0,♠6 ♥J,♠6 ♥J ♦3 ♠8 ♣10 ♥A ♣Q,,call,20,fold,0.0,,,fold,0,False,True,8.0928,High Card,0.0
1,Out Bluffed,1000,0,♥Q ♠3,♥Q ♠3 ♦3 ♠8 ♣10 ♥A ♣Q,,fold,0,fold,0.0,,,fold,0,False,True,68.2048,Two Pair,0.0
1,Im Not Kao Chin,1000,0,♣5 ♥9,♣5 ♥9 ♦3 ♠8 ♣10 ♥A ♣Q,,fold,0,fold,0.0,,,fold,0,False,True,8.0736,High Card,0.0
1,ヽ(=^･ω･^=)丿,1000,0,♠J ♦4,♠J ♦4 ♦3 ♠8 ♣10 ♥A ♣Q,SB,call,20,bet,20.0,,,fold,0,False,True,8.0928,High Card,0.0
2,SML,1080,0,♣A ♠4,♣A ♠4 ♣9 ♣Q ♦2 ♥A ♣J,SB,call,20,bet,20.0,bet,20.0,bet,20,False,False,21.0832,Pair,160.0
2,PCB,980,0,♦8 ♣7,♦8 ♣7 ♣9 ♣Q ♦2 ♥A ♣J,BB,call,20,fold,0.0,fold,0.0,fold,0,False,True,8.0864,High Card,0.0
2,Tobacco AI,1980,1,♣2 ♠8,♣2 ♠8 ♣9 ♣Q ♦2 ♥A ♣J,,call,20,call,20.0,call,20.0,fold,0,False,True,9.2816,Pair,0.0
2,Out Bluffed,1000,0,♦K ♣6,♦K ♣6 ♣9 ♣Q ♦2 ♥A ♣J,,fold,0,fold,0.0,fold,0.0,fold,0,False,True,8.1856,High Card,0.0
2,Im Not Kao Chin,1000,0,♠2 ♥Q,♠2 ♥Q ♣9 ♣Q ♦2 ♥A ♣J,,fold,0,fold,0.0,fold,0.0,fold,0,False,True,67.2048,Two Pair,0.0
2,ヽ(=^･ω･^=)丿,960,0,♠9 ♥5,♠9 ♥5 ♣9 ♣Q ♦2 ♥A ♣J,,fold,0,fold,0.0,fold,0.0,fold,0,False,True,16.2816,Pair,0.0
3,SML,1160,0,♥5 ♣9,♥5 ♣9 ♠A ♠4 ♦A ♠6 ♠K,,call,20,call,20.0,bet,20.0,bet,20,False,False,21.1096,Pair,0.0
3,PCB,960,0,♥8 ♦K,♥8 ♦K ♠A ♠4 ♦A ♠6 ♠K,SB,fold,10,fold,0.0,fold,0.0,fold,0,False,True,99.0032,Two Pair,0.0
3,Tobacco AI,1920,1,♥4 ♣6,♥4 ♣6 ♠A ♠4 ♦A ♠6 ♠K,BB,call,20,call,20.0,call,20.0,call,20,False,False,92.1024,Two Pair,210.0
3,Out Bluffed,1000,0,♦6 ♥A,♦6 ♥A ♠A ♠4 ♦A ♠6 ♠K,,fold,0,fold,0.0,fold,0.0,fold,0,False,True,272.0,Full House,0.0
3,Im Not Kao Chin,1000,0,♥J ♦9,♥J ♦9 ♠A ♠4 ♦A ♠6 ♠K,,call,20,bet,20.0,fold,0.0,fold,0,False,True,21.1344,Pair,0.0
3,ヽ(=^･ω･^=)丿,960,0,♠9 ♣2,♠9 ♣2 ♠A ♠4 ♦A ♠6 ♠K,,fold,0,fold,0.0,fold,0.0,fold,0,False,True,123.3146,Flush,0.0
4,SML,1080,0,♥5 ♦7,♥5 ♦7 ♥7 ♠5 ♠9 ♣K ♦2,,call,356,,,,,call,0,False,False,35.1024,Two Pair,762.0
4,PCB,950,0,♣2 ♠J,♣2 ♠J ♥7 ♠5 ♠9 ♣K ♦2,,fold,0,,,,,fold,0,False,True,9.1344,Pair,0.0
4,Tobacco AI,2050,1,♠6 ♣10,♠6 ♣10 ♥7 ♠5 ♠9 ♣K ♦2,SB,fold,10,,,,,fold,0,False,True,7.0216,High Card,0.0
4,Out Bluffed,1000,0,♥4 ♠7,♥4 ♠7 ♥7 ♠5 ♠9 ♣K ♦2,BB,fold,20,,,,,fold,0,False,True,14.1092,Pair,0.0
