round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,chips,reld,chips_total,pot,bet,cost_on_table,cost_to_call,cost_total,maxBet_all,N_maxBet_all,util_call,util_raise_coeff,limitBet,action,amount,cputime
1,0,4,4,deal,False,♣3 ♥8,,20000,0.17589642857143534,0.3807320251663226,1000,0,3000,0,0,0,20,20,20,1,-7.687249999999526,-0.6482071428571293,150.0,fold,0,0.09807515144348145
2,0,4,3,deal,False,♠Q ♦4,,20000,0.23566726190477724,0.4244151311759306,1980,1,2980,0,20,20,860,880,880,1,-237.83842857138814,-0.5286654761904455,204.72301627535361,fold,0,0.0930790901184082
3,0,4,4,deal,False,♠9 ♣K,,20000,0.3087119047619446,0.4619619731322012,1970,1,2970,0,10,10,860,870,870,1,-38.82633333322735,-0.3825761904761108,280.29484770543036,fold,0,0.09142088890075684
4,0,4,4,deal,False,♣4 ♥A,,20000,0.2930886904762283,0.4551787670697722,1970,1,2970,0,0,0,359,359,359,1,-34.55081964281527,-0.41382261904754336,263.3278736023964,fold,0,0.0951230525970459
5,0,4,4,deal,False,♠A ♠Q,,20000,0.41213928571434333,0.4922199659554803,1970,1,2970,0,0,0,40,40,40,1,17.699500000008065,-0.17572142857131334,403.3355017223529,call,0,0.10592293739318848
5,1,4,3,deal,False,♠A ♠Q,,20000,0.41213928571434333,0.4922199659554803,1930,1,2930,0,40,40,688,728,728,1,212.11220000012588,-0.17572142857131334,397.9033737530283,fold,0,0.07250380516052246
6,0,4,3,deal,False,♠7 ♥8,,20000,0.2462244047619226,0.4308108021644298,1890,1,2890,0,40,40,0,40,40,2,19.94417678571573,-0.5075511904761548,208.81499384050133,check,0,0.09123682975769043
6,1,4,3,flop,True,♠7 ♥8,♥A ♣2 ♣Q,156,0.04807692307692308,0.20238043442162681,1890,1,2890,40,0,40,40,80,0,4,-32.25961538461539,-0.9038461538461539,192.66666666666666,fold,0,1.2124700546264648
7,0,3,3,deal,False,♠A ♣3,,20000,0.3829236111110547,0.48609990656728624,1870,1,2870,0,20,20,20,40,40,2,33.609305555547664,-0.23415277777789056,354.1718047648675,call,0,0.09090614318847656
7,1,3,2,flop,True,♠A ♣3,♦6 ♦K ♦4,154,0.05519480519480519,0.21743552792536647,1850,1,2850,40,0,40,40,80,0,3,-28.96103896103896,-0.8896103896103896,259.09090909090907,fold,0,1.2101056575775146
8,0,3,3,deal,False,♦9 ♣5,,20000,0.28376111111108565,0.4508222964007967,1850,1,2850,0,0,0,40,40,40,1,-0.2734444444480104,-0.4324777777778287,285.0,fold,0,0.09578609466552734
9,0,3,2,deal,False,♠3 ♣J,,20000,0.2919583333333049,0.4546632434346807,1770,1,2770,0,80,80,0,80,80,2,46.713333333328784,-0.4160833333333902,277.0,check,0,0.08482098579406738
9,1,3,2,flop,True,♠3 ♣J,♠A ♥K ♣6,303,0.12046204620462046,0.3076927266219581,1770,1,2770,80,0,80,80,160,0,3,-41.45214521452145,-0.759075907590759,277.0,fold,0,1.2129528522491455
10,0,3,3,deal,False,♠9 ♦5,,20000,0.28376111111108565,0.4508222964007967,1730,1,2730,0,40,40,40,80,80,2,39.45311111110398,-0.4324777777778287,303.3333333333333,call,0,0.09782886505126953
10,1,3,2,flop,True,♠9 ♦5,♠10 ♣9 ♥8,111,0.4144144144144144,0.4751665136013696,1690,1,2690,80,0,80,80,160,0,3,85.76576576576576,-0.1711711711711712,367.9769989883705,call,0,1.2183458805084229
11,0,3,3,deal,False,♠J ♥5,,20000,0.3102902777777408,0.4626123877441603,1930,1,2930,0,0,0,80,80,80,1,6.881277777767423,-0.37941944444451836,325.55555555555554,call,0,0.18173599243164062
11,1,3,2,deal,False,♠J ♥5,,20000,0.3102902777777408,0.4626123877441603,1850,1,2850,0,80,80,80,160,160,1,56.527722222205966,-0.37941944444451836,316.6666666666667,call,0,0.0840291976928711
11,2,3,2,flop,True,♠J ♥5,♠10 ♠Q ♦Q,223,0.1468609865470852,0.3503860951191391,1770,1,2770,160,0,160,80,240,0,3,-3.6322869955156847,-0.7062780269058295,307.77777777777777,fold,0,1.2201390266418457
12,0,3,2,deal,False,♦A ♠5,,20000,0.4035291666666089,0.4906051144413,1610,1,2610,0,160,160,0,160,160,2,129.12933333331483,-0.19294166666678225,344.74543693240787,check,0,0.09679126739501953
12,1,3,2,flop,True,♦A ♠5,♦7 ♣8 ♣J,193,0.08290155440414508,0.2545636158657144,1610,1,2610,160,0,160,160,320,0,3,-106.94300518134715,-0.8341968911917098,326.25,fold,0,1.207252025604248
13,0,3,3,deal,False,♦4 ♦3,,20000,0.28249444444442856,0.45021254236467273,2530,2,2530,0,80,80,240,320,320,1,53.79422222220569,-0.4350111111111429,361.42857142857144,call,0,0.08748388290405273
13,1,3,2,flop,True,♦4 ♦3,♥A ♣10 ♠Q,155,0.041935483870967745,0.18143548315405816,2290,2,2290,320,0,320,160,480,0,3,-113.03225806451613,-0.9161290322580645,381.6666666666667,fold,0,1.2129590511322021
14,0,3,3,deal,False,♥Q ♠2,,20000,0.3100972222221872,0.4625331717750314,2290,2,2290,0,0,0,160,160,160,1,13.654444444424854,-0.37980555555562556,381.6666666666667,call,0,0.09235882759094238
14,1,3,2,flop,True,♥Q ♠2,♦3 ♦A ♥6,240,0.14166666666666666,0.3447019646657739,2130,2,2130,160,0,160,160,320,0,3,-58.0,-0.7166666666666667,426.0,fold,0,1.2131848335266113
16,0,3,2,deal,False,♥J ♠8,,20000,0.3594624999999492,0.479842902514704,2130,2,2130,0,160,160,160,320,320,1,127.5699999999594,-0.28107500000010155,532.5,call,0,0.09864401817321777
17,0,3,3,deal,False,♥9 ♠8,,20000,0.34482222222217945,0.47531027475106963,2610,2,2610,0,0,0,320,320,320,1,66.200888888841,-0.3103555555556411,652.5,call,0,0.09739398956298828
18,0,3,2,deal,False,♥5 ♥10,,20000,0.3344722222221802,0.4718056324207424,2450,2,2450,0,640,640,0,640,640,2,428.12444444439063,-0.3310555555556396,816.6666666666666,check,0,0.08863186836242676
18,1,3,2,flop,True,♥5 ♥10,♥3 ♦7 ♠7,198,0.23863636363636365,0.418402033584911,2450,2,2450,640,0,640,640,1280,0,3,-29.09090909090901,-0.5227272727272727,816.6666666666666,fold,0,1.2094810009002686
19,0,3,3,deal,False,♠8 ♠Q,,20000,0.4008833333332741,0.49007742897309314,2130,2,2130,0,320,320,0,320,320,2,284.6271666666246,-0.19823333333345183,710.0,check,0,0.09266924858093262
19,1,3,3,flop,True,♠8 ♠Q,♠2 ♥J ♣5,102,0.17647058823529413,0.38122004108281526,2130,2,2130,320,0,320,640,960,0,3,-288.8235294117647,-0.6470588235294117,710.0,fold,0,1.2126567363739014
20,0,3,3,deal,False,♠3 ♠4,,20000,0.28249444444442856,0.45021254236467273,2130,2,2130,0,0,0,640,640,640,1,-38.28683333336721,-0.4350111111111429,1065.0,fold,0,0.09049797058105469
21,0,3,2,deal,False,♦9 ♥10,,20000,0.36957638888883865,0.4826900471987428,850,2,850,0,1280,1280,0,1280,1280,2,946.1155555554269,-0.2608472222223227,850.0,check,0,0.09102606773376465
21,1,3,2,flop,True,♦9 ♥10,♣J ♣10 ♣6,173,0.2153179190751445,0.4017081124373541,850,2,850,1280,0,1280,850,2130,0,3,67.25433526011557,-0.569364161849711,850.0,call,0,1.2105669975280762
