round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,prWin_adj,chips,reld,chips_total,pot,bet,cost_on_table,cost_to_call,cost_total,maxBet_all,N_maxBet_all,util_fold,util_call,util_raise_coeff,limitBet,action,amount,cputime
1,0,5,4,deal,False,♣8 ♥A,,20000,0.2535047619047721,0.4350173532129229,0.035996085298310665,990,0,2990,0,10,10,860,870,870,1,-10,-764.9703348124599,-0.9280078294033787,291.8066044491322,fold,0,0.0949850082397461
2,0,5,5,deal,False,♣J ♦A,,20000,0.3052599206349299,0.46051742799690676,0.07500120663647653,1990,1,2990,0,0,0,870,870,870,1,0,-670.4967903469724,-0.849997586727047,363.5205670390561,fold,0,0.08922171592712402
3,0,5,5,deal,False,♥7 ♣8,,20000,0.19955674603175808,0.39966717546600505,0,1990,1,2990,0,0,0,870,870,870,1,0,-870,-1,222.16371649103715,fold,0,0.10164713859558105
4,0,5,5,deal,False,♣9 ♥Q,,20000,0.2415301587301697,0.42801091242391087,0.02752470251821426,2990,2,2990,0,0,0,20,20,20,1,0,-18.073270823725,-0.9449505949635715,275.9232561852576,fold,0,0.09902095794677734
5,0,5,2,deal,False,♣9 ♣3,,20000,0.17997619047619925,0.3841676214074712,0,2970,2,2970,0,20,20,860,880,880,1,-20,-860,-1,196.71752964388403,fold,0,0.10253119468688965
6,0,5,4,deal,False,♠6 ♥4,,20000,0.15831031746032764,0.36503172580741244,0,2950,2,2950,0,20,20,850,870,870,1,-20,-850,-1,169.7129121387187,fold,0,0.0964508056640625
7,0,5,4,deal,False,♣10 ♠Q,,20000,0.2725380952381041,0.44526518152904143,0.04990550447358341,2950,2,2950,0,0,0,870,870,870,1,0,-736.7523030555323,-0.9001889910528331,313.33616280725585,fold,0,0.09539198875427246
8,0,5,5,deal,False,♠9 ♣6,,20000,0.1820000000000123,0.38584452827532467,0,2950,2,2950,0,0,0,870,870,870,1,0,-870,-1,197.8261493027788,fold,0,0.09563183784484863
9,0,5,5,deal,False,♥J ♠7,,20000,0.2005591269841387,0.40041873528532457,0.00034975934147640775,2950,2,2950,0,0,0,40,40,40,1,0,-39.951033692193306,-0.9993004813170472,220.42556465892346,fold,0,0.09879112243652344
10,0,5,2,deal,False,♦J ♥4,,20000,0.16894007936509092,0.3746989844517966,0,2910,2,2910,0,40,40,850,890,890,1,-40,-850,-1,181.875,fold,0,0.09580230712890625
11,0,5,4,deal,False,♥Q ♣4,,20000,0.1848337301587412,0.3881626235926726,0,2870,2,2870,0,40,40,830,870,870,1,-40,-830,-1,195.7859572156702,fold,0,0.10977602005004883
12,0,5,4,deal,False,♥3 ♠9,,20000,0.14205753968255266,0.34910914497029816,0,2870,2,2870,0,0,0,870,870,870,1,0,-870,-1,205.0,fold,0,0.09503889083862305
13,0,5,5,deal,False,♦3 ♥7,,20000,0.13726825396826614,0.3441303247619566,0,2870,2,2870,0,0,0,870,870,870,1,0,-870,-1,220.76923076923077,fold,0,0.09914088249206543
14,0,5,5,deal,False,♦Q ♠3,,20000,0.1798583333333442,0.3840694120388863,0,2870,2,2870,0,0,0,80,80,80,1,0,-80,-1,239.16666666666666,fold,0,0.09610319137573242
15,0,5,3,deal,False,♥2 ♣A,,20000,0.22229404761905625,0.41578769103016144,0.014400202103975523,2790,2,2790,0,80,80,830,910,910,1,-80,-790.6874482561468,-0.971199595792049,253.63636363636363,fold,0,0.09681320190429688
16,0,5,4,deal,False,♦9 ♦3,,20000,0.17997619047619925,0.3841676214074712,0,2710,2,2710,0,80,80,790,870,870,1,-80,-790,-1,271.0,fold,0,0.09520602226257324
17,0,5,5,deal,False,♣4 ♦10,,20000,0.16417936507937694,0.3704382555318897,0,2710,2,2710,0,0,0,870,870,870,1,0,-870,-1,301.1111111111111,fold,0,0.11521673202514648
18,0,5,5,deal,False,♦10 ♥3,,20000,0.14922261904763126,0.3563077728764793,0,2710,2,2710,0,0,0,870,870,870,1,0,-870,-1,301.1111111111111,fold,0,0.09688401222229004
19,0,5,5,deal,False,♦8 ♠K,,20000,0.2292317460317581,0.4203386166449493,0.019062437709283453,2710,2,2710,0,0,0,160,160,160,1,0,-149.32503488280128,-0.9618751245814331,338.75,fold,0,0.10078001022338867
20,0,5,3,deal,False,♣5 ♦3,,20000,0.15027817460318424,0.35734387477767005,0,2550,2,2550,0,160,160,790,950,950,1,-160,-790,-1,364.2857142857143,fold,0,0.10222887992858887
21,0,5,3,deal,False,♣Q ♣A,,20000,0.35070000000000834,0.4771891763231879,0.11210541183841438,2390,2,2390,0,160,160,710,870,870,1,-160,-399.46800920759216,-0.7757891763231712,398.3333333333333,fold,0,0.11196613311767578
22,0,5,4,deal,False,♣7 ♣K,,20000,0.2638349206349297,0.4407108522472416,0.04347949451130889,2390,2,2390,0,0,0,870,870,870,1,0,-735.6483619600556,-0.9130410109773822,398.3333333333333,fold,0,0.10306310653686523
23,0,5,5,deal,False,♥10 ♣A,,20000,0.2915281746031832,0.4544661681750569,0.06429509051565474,2390,2,2390,0,0,0,870,870,870,1,0,-671.3281703066268,-0.8714098189686905,478.0,fold,0,0.09731388092041016
24,0,5,5,deal,False,♦A ♥2,,20000,0.22229404761905625,0.41578769103016144,0.014400202103975523,2390,2,2390,0,0,0,320,320,320,1,0,-303.8717736435474,-0.971199595792049,478.0,fold,0,0.10084104537963867
