,N,Nnf,round,first,hole,board,Nsim,prWin,prWinStd,pot,bet,maxBet,NMaxBet,minBet,util_fold,util_call,util_raise_coeff,util_call2,util_raise_coeff2,action,amount,cputime
0,8,8,Deal,0,♥J ♣J,,10,0.3,0.45825756949558394,0,0,20,1,20,0,28.0,1.4,-8.0,-0.4,raise,0,0.5294179916381836
1,8,8,Deal,0,♥J ♣J,,115,0.28695652173913044,0.45234110621356355,0,40,140,1,100,-40,181.39130434782612,1.2956521739130435,-59.65217391304347,-0.4260869565217391,raise,0,0.5228211879730225
2,8,8,Deal,0,♥J ♣J,,220,0.2909090909090909,0.45418167261079256,0,280,560,1,280,-280,743.2727272727273,1.3272727272727272,-234.1818181818182,-0.4181818181818182,raise,0,0.5251479148864746
3,8,7,Flop,0,♥J ♣J,♣6 ♥2 ♦10,40,0.2,0.4000000000000001,4480,0,20,1,20,-560,344.0,0.40000000000000013,324.0,-0.6,raise,0,0.5307190418243408
4,8,5,Flop,0,♥J ♣J,♣6 ♥2 ♦10,125,0.232,0.4221089906647334,4480,40,42,4,2,-600,486.08000000000015,0.16000000000000014,456.8480000000002,-0.536,raise,0,0.5218758583068848
5,8,5,Flop,0,♥J ♣J,♣6 ♥2 ♦10,165,0.24848484848484848,0.43213438715093055,4480,84,107,4,23,-644,579.1515151515152,0.24242424242424243,499.3878787878789,-0.503030303030303,raise,0,0.525123119354248
6,8,5,Turn,1,♥J ♣J,♣6 ♥2 ♦10 ♠10,5,0.2,0.4,5570,0,0,8,20,-774,340.0,0.0,340.0,-0.6,call,0,0.5249269008636475
7,8,5,Turn,0,♥J ♣J,♣6 ♥2 ♦10 ♠10,55,0.21818181818181817,0.41301151605820174,5570,20,45,4,25,-794,445.36363636363626,0.09090909090909083,415.909090909091,-0.5636363636363637,raise,0,0.5320470333099365
8,8,5,Turn,0,♥J ♣J,♣6 ♥2 ♦10 ♠10,110,0.2818181818181818,0.4498852011512226,5570,90,111,4,21,-864,841.1363636363635,0.40909090909090895,747.2909090909088,-0.4363636363636364,raise,0,0.5306820869445801
9,8,5,River,1,♥J ♣J,♣6 ♥2 ♦10 ♠10 ♠9,5,0.0,0.0,6680,0,0,8,20,-996,-996.0,-1.0,-996.0,-1.0,call,0,0.5227327346801758
