,N,Nnf,round,first,hole,board,Nsim,prWin,prWinStd,pot,bet,maxBet,NMaxBet,minBet,util_fold,util_call,util_raise_coeff,util_call2,util_raise_coeff2,action,amount,cputime
0,7,7,Deal,0,♠8 ♥9,,10,0.2,0.33166247903554,0,0,20,1,20,0,8.0,0.40000000000000013,-12.0,-0.6,raise,0,0.5195550918579102
1,7,6,Deal,0,♠8 ♥9,,120,0.11785714285714285,0.307592417393692,0,40,74,2,34,-40,-21.67142857142857,-0.2928571428571429,-56.55714285714286,-0.7642857142857142,call,0,0.5253708362579346
2,7,6,Deal,0,♠8 ♥9,,195,0.11098901098901098,0.3027081937003844,0,74,130,4,56,-74,-43.428571428571445,-0.3340659340659341,-101.14285714285714,-0.778021978021978,call,0,0.5224039554595947
3,7,6,Flop,0,♠8 ♥9,♦9 ♥Q ♣6,15,0.23333333333333334,0.4027681991198191,800,0,51,1,51,-130,77.06666666666666,0.3999999999999999,29.46666666666667,-0.5333333333333333,raise,0,0.530703067779541
4,7,6,Turn,0,♠8 ♥9,♦9 ♥Q ♣6 ♦4,15,0.2,0.4000000000000001,1412,0,21,1,21,-232,54.60000000000002,0.20000000000000018,37.80000000000001,-0.6,raise,0,0.5253968238830566
5,7,6,Turn,0,♠8 ♥9,♦9 ♥Q ♣6 ♦4,90,0.07777777777777778,0.26782157318208777,1412,42,79,4,37,-274,-164.3111111111111,-0.5333333333333333,-188.88888888888889,-0.8444444444444444,call,0,0.5256099700927734
6,7,6,Turn,0,♠8 ♥9,♦9 ♥Q ♣6 ♦4,170,0.12941176470588237,0.3356551204161672,1412,79,126,5,47,-311,-77.435294117647,-0.22352941176470575,-142.65882352941173,-0.7411764705882353,call,0,0.5218479633331299
7,7,6,River,0,♠8 ♥9,♦9 ♥Q ♣6 ♦4 ♣5,15,0.06666666666666667,0.24944382578492946,2168,0,20,1,20,-358,-225.46666666666667,-0.6,-230.8,-0.8666666666666667,call,0,0.5226831436157227
8,7,6,River,0,♠8 ♥9,♦9 ♥Q ♣6 ♦4 ♣5,90,0.13333333333333333,0.339934634239519,2168,20,57,3,37,-378,-80.33333333333337,-0.19999999999999996,-110.73333333333335,-0.7333333333333334,call,0,0.5237808227539062
9,7,6,River,0,♠8 ♥9,♦9 ♥Q ♣6 ♦4 ♣5,170,0.12941176470588237,0.3356551204161672,2168,57,85,4,28,-415,-96.43529411764706,-0.22352941176470575,-140.43529411764706,-0.7411764705882353,call,0,0.5220327377319336
