round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,pot,bet,maxBet,NMaxBet,minBet,util_fold,util_call,util_raise_coeff,util_call2,util_raise_coeff2,action,amount,cputime
1,0,8,7,deal,0,♣A ♣6,,20000,0.18857499999999958,0.3581913653073952,0,0,59,4,59,0,18.881474999999824,0.3200249999999971,-36.74815000000005,-0.6228500000000008,raise,0,0.11031389236450195
1,1,8,6,deal,0,♣A ♣6,,20000,0.18857499999999958,0.3581913653073952,0,118,128,3,10,-118,16.825599999999667,0.1314499999999974,-79.7248000000001,-0.6228500000000008,raise,0,0.09661006927490234
1,2,8,5,flop,0,♣A ♣6,♠9 ♠5 ♠8,272,0.04457720588235294,0.19150263378119392,1546,0,58,4,58,-256,-232.15625,-0.7771139705882353,-239.9126838235294,-0.9108455882352942,call,0,1.2412278652191162
1,3,8,5,turn,0,♣A ♣6,♠9 ♠5 ♠8 ♠3,241,0.0025933609958506223,0.01781697514244571,1836,0,70,4,70,-314,-378.3309128630705,-0.9870331950207469,-378.8755186721992,-0.9948132780082988,fold,0,1.2432379722595215
2,0,8,8,deal,0,♥Q ♦Q,,20000,0.28695138888889093,0.3923217125896956,0,0,92,2,92,0,119.19622222222372,1.2956111111111275,-39.20094444444407,-0.42609722222221813,raise,0,0.1443171501159668
2,1,8,7,flop,0,♥Q ♦Q,♣8 ♣2 ♦9,165,0.24848484848484848,0.4321343871509306,1380,0,72,4,72,-184,212.14545454545453,0.7393939393939393,122.69090909090903,-0.503030303030303,raise,0,1.234062910079956
2,2,8,7,turn,0,♥Q ♦Q,♣8 ♣2 ♦9 ♥5,160,0.2,0.4000000000000001,2388,0,72,5,72,-328,178.39999999999998,0.40000000000000013,106.40000000000003,-0.6,raise,0,1.2374510765075684
2,3,8,7,river,0,♥Q ♦Q,♣8 ♣2 ♦9 ♥5 ♣6,313,0.054313099041533544,0.2266344773286671,3396,0,53,2,53,-472,-320.40255591054313,-0.6198083067092652,-334.79552715654955,-0.8913738019169329,call,0,1.2502939701080322
3,0,8,8,deal,0,♦5 ♠3,,20000,0.11045833333333353,0.28805264180219575,0,0,136,2,136,0,-15.821333333333115,-0.11633333333333173,-105.95533333333327,-0.7790833333333329,fold,0,0.09711980819702148
4,0,8,8,deal,0,♠Q ♣7,,20000,0.1251500000000004,0.2962932778371481,0,0,40,2,40,0,0.04800000000012972,0.0012000000000031985,-29.987999999999968,-0.7496999999999991,raise,0,0.10071086883544922
4,1,8,7,deal,0,♠Q ♣7,,20000,0.1251500000000004,0.2962932778371481,0,80,81,2,1,-80,-10.039949999999777,-0.12394999999999723,-60.72569999999993,-0.7496999999999991,call,0,0.16203904151916504
