round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,chips,reld,pot,bet,minBet,maxBet,sumPot_all,sumBet_all,maxBet_all,N_maxBet_all,N_canraise,sumMinBet_all,util_fold,util_call,util_raise_coeff,util_call2,util_raise_coeff2,maxRoundBet,action,amount,cputime
1,0,3,3,deal,0,♦7 ♠A,,20000,0.42128749999994014,0.32298047443584454,980,0,0,20,30,1000,0,90,50,1,3,60,-20,13.19312499999102,0.2638624999998205,-12.084125000005386,-0.15742500000011972,544.0771314815281,raise,0,0.08262205123901367
1,1,3,3,deal,0,♦7 ♠A,,20000,0.42128749999994014,0.32298047443584454,900,0,0,100,26,1000,0,326,126,1,3,52,-100,33.24667499997739,0.2638624999998205,11.33972499998049,-0.15742500000011972,529.4710339920911,raise,0,0.08000612258911133
1,2,3,3,flop,0,♦7 ♠A,♥6 ♣4 ♠4,63,0.31481481481481477,0.4385633825184094,748,0,252,0,20,748,756,20,20,1,3,40,-252,-15.111111111111143,-0.05555555555555569,-27.703703703703752,-0.37037037037037046,346.80193059434055,call,0,1.2381460666656494
1,3,3,3,turn,0,♦7 ♠A,♥6 ♣4 ♠4 ♥Q,58,0.19827586206896552,0.37068965517241376,728,0,272,0,31,728,816,31,31,1,3,62,-272,-122.76724137931035,-0.4051724137931034,-135.0603448275862,-0.603448275862069,201.24048778927553,call,0,1.2360539436340332
1,4,3,3,river,0,♦7 ♠A,♥6 ♣4 ♠4 ♥Q ♦Q,116,0.5416666666666666,0.46725896320703997,697,0,303,0,78,697,909,78,78,1,3,156,-303,238.125,0.625,153.625,0.08333333333333326,702.3617057792072,raise,0,1.239516019821167
2,0,3,3,deal,0,♣7 ♣J,,20000,0.37459305555550476,0.3515635210078021,1908,0,0,10,14,1918,0,54,24,1,3,18,-10,2.9706999999963415,0.12377916666651423,-3.771975000002744,-0.2508138888889905,612.2811724841497,raise,0,0.07674479484558105
2,1,3,3,flop,1,♣7 ♣J,♠K ♥5 ♦5,33,0.6262626262626262,0.453252932246153,1870,0,48,0,20,1870,144,0,0,3,3,0,-48,22.181818181818173,0.8787878787878785,22.181818181818173,0.2525252525252524,1271.4292033743943,raise,0,1.2384119033813477
2,2,3,3,flop,0,♣7 ♣J,♠K ♥5 ♦5,327,0.34709480122324154,0.4555291981201043,1850,0,48,20,35,1870,144,95,55,1,3,70,-68,4.252293577981632,0.041284403669724634,-20.04434250764527,-0.3058103975535169,547.8943718267583,raise,0,1.2584919929504395
2,3,3,3,flop,0,♣7 ♣J,♠K ♥5 ♦5,505,0.34125412541254124,0.4548273893711162,1760,0,48,110,18,1870,144,348,128,1,3,36,-158,4.182178217821786,0.023762376237623783,-8.102970297029714,-0.3174917491749175,523.9084928889105,raise,0,1.2405569553375244
2,4,3,3,turn,1,♣7 ♣J,♠K ♥5 ♦5 ♦8,42,0.40079365079365076,0.47845032556553,1614,0,304,0,20,1614,912,0,0,3,3,0,-304,41.52380952380952,0.20238095238095233,41.52380952380952,-0.19841269841269848,617.8480661829371,raise,0,1.232262134552002
2,5,3,3,turn,0,♣7 ♣J,♠K ♥5 ♦5 ♦8,274,0.2731143552311435,0.43740714771919464,1594,0,304,20,53,1614,912,113,73,1,3,106,-324,-68.10766423357666,-0.18065693430656937,-97.05778588807789,-0.45377128953771295,382.6897663569487,call,0,1.2498509883880615
2,6,3,3,river,1,♣7 ♣J,♠K ♥5 ♦5 ♦8 ♦K,62,0.6290322580645161,0.48306384296361093,1541,0,377,0,20,1541,1131,0,0,3,3,0,-377,314.4354838709677,0.8870967741935485,314.4354838709677,0.25806451612903225,1172.133394508515,raise,0,1.236711025238037
3,0,3,3,deal,0,♥10 ♣A,,20000,0.46286805555548644,0.3354896031691925,1521,0,0,0,20,1521,0,30,20,1,3,30,0,7.772083333329185,0.38860416666645925,-6.1139583333354075,-0.07426388888902713,730.4865121543802,raise,0,0.08119583129882812
3,1,3,3,deal,0,♥10 ♣A,,20000,0.46286805555548644,0.3354896031691925,1481,0,0,40,26,1521,0,146,66,1,3,52,-40,25.647874999986314,0.38860416666645925,1.5787361111010227,-0.07426388888902713,722.1878866257875,raise,0,0.07444310188293457
3,2,3,3,flop,0,♥10 ♣A,♥6 ♣4 ♦K,305,0.24262295081967214,0.426752516445928,1389,0,132,0,20,1389,396,32,20,1,2,20,-132,-43.30491803278689,-0.5147540983606558,-48.157377049180326,-0.5147540983606558,314.37488532540794,call,0,1.2549171447753906
3,3,3,3,turn,0,♥10 ♣A,♥6 ♣4 ♦K ♦3,205,0.16585365853658537,0.37194922030650246,1369,0,152,0,20,1369,448,20,20,1,2,20,-152,-91.06341463414634,-0.6682926829268292,-94.38048780487804,-0.6682926829268292,203.9421557304344,call,0,1.244560956954956
3,4,3,3,river,0,♥10 ♣A,♥6 ♣4 ♦K ♦3 ♦7,659,0.061456752655538696,0.23778505461116564,1349,0,172,0,20,1349,488,20,20,1,2,20,-172,-159.55083459787556,-0.8770864946889226,-160.77996965098635,-0.8770864946889226,70.90580939988776,call,0,1.279102087020874
4,0,3,2,deal,0,♠A ♣8,,20000,0.4284013888888264,0.32418915516029906,1289,0,0,40,20,1329,0,100,60,1,2,20,-40,-8.59183333334083,-0.1431972222223472,-17.15986111111736,-0.1431972222223472,614.0728203397374,call,0,0.07724785804748535
4,1,3,2,flop,0,♠A ♣8,♥3 ♦Q ♠8,59,0.6440677966101694,0.478794809892391,1269,0,60,0,45,1269,120,45,45,1,2,45,-60,30.254237288135585,0.2881355932203389,1.2711864406779512,0.2881355932203389,1127.2456103708178,raise,0,1.239015817642212
4,2,3,2,flop,0,♠A ♣8,♥3 ♦Q ♠8,148,0.6182432432432432,0.4805735821492393,1179,0,60,90,47,1269,120,227,137,1,2,47,-150,46.58783783783781,0.2364864864864864,17.53040540540539,0.2364864864864864,1021.8826484043234,raise,0,1.2352519035339355
4,3,3,2,turn,0,♠A ♣8,♥3 ♦Q ♠8 ♠3,61,0.5,0.4958847036804647,995,0,334,0,40,995,668,40,40,1,2,40,-334,0.0,0.0,-20.0,0.0,692.9777484134787,call,0,1.235518217086792
4,4,3,2,river,0,♠A ♣8,♥3 ♦Q ♠8 ♠3 ♦6,167,0.5868263473053892,0.49240347827122827,955,0,374,0,78,955,748,78,78,1,2,78,-374,78.49101796407183,0.17365269461077837,32.71856287425146,0.17365269461077837,871.8692980891761,raise,0,1.2458460330963135
5,0,3,3,deal,0,♣3 ♠7,,20000,0.29609722222219714,0.3258861868981387,1839,0,0,20,110,1859,0,190,130,1,3,200,-20,-14.522083333343119,-0.11170833333340857,-73.74152777778255,-0.4078055555556057,449.95029100654284,call,0,0.09755611419677734
5,1,3,3,flop,1,♣3 ♠7,♠K ♥K ♥4,32,0.109375,0.29933193844793776,1729,0,130,0,40,1729,390,0,0,3,3,0,-130,-127.34375,-0.671875,-127.34375,-0.78125,144.18405940553225,call,0,1.238609790802002
5,2,3,3,flop,0,♣3 ♠7,♠K ♥K ♥4,341,0.14222873900293256,0.33898779591909406,1689,0,130,40,82,1729,390,202,122,1,3,164,-170,-144.47507331378299,-0.5733137829912023,-167.80058651026394,-0.7155425219941349,188.92152290858343,call,0,1.2512240409851074
5,3,3,3,turn,1,♣3 ♠7,♠K ♥K ♥4 ♦6,33,0.12121212121212122,0.3263736246748184,1607,0,252,0,40,1607,756,0,0,3,3,0,-252,-200.36363636363637,-0.6363636363636364,-200.36363636363637,-0.7575757575757576,155.5768916878088,call,0,1.2372000217437744
5,4,3,3,turn,0,♣3 ♠7,♠K ♥K ♥4 ♦6,325,0.17692307692307693,0.38059436544163017,1567,0,252,40,8,1607,756,128,48,1,3,16,-292,-140.76923076923077,-0.46923076923076923,-143.6,-0.6461538461538461,231.8347798902285,call,0,1.2508819103240967
5,5,3,3,river,1,♣3 ♠7,♠K ♥K ♥4 ♦6 ♣10,100,0.005,0.049749371855330994,1559,0,300,0,40,1559,900,0,0,3,3,0,-300,-335.5,-0.985,-335.5,-0.99,5.955016911050612,fold,0,1.24436616897583
6,0,3,3,deal,0,♥7 ♣10,,20000,0.3222916666666293,0.33281565287566167,1559,0,0,0,40,1559,0,60,40,1,3,60,0,-1.3250000000044864,-0.033125000000112204,-20.662500000002243,-0.35541666666674143,462.1865634178786,fold,0,0.08350491523742676
7,0,3,3,deal,0,♣A ♥10,,20000,0.46286805555548644,0.3354896031691925,1479,0,0,80,188,1559,0,428,268,1,3,376,-80,104.14591666661107,0.38860416666645925,-69.8924722222518,-0.07426388888902713,721.7729553493579,raise,0,0.07718110084533691
7,1,3,2,flop,0,♣A ♥10,♦3 ♥6 ♣Q,73,0.23972602739726026,0.4147089178964549,1023,0,536,0,102,1023,1152,102,102,1,2,102,-536,-312.9315068493151,-0.5205479452054795,-337.3835616438356,-0.5205479452054795,276.5711162413668,call,0,1.240952968597412
7,2,3,2,turn,0,♣A ♥10,♦3 ♥6 ♣Q ♣3,71,0.3380281690140845,0.4655350389024904,921,0,638,0,150,921,1356,150,150,1,2,150,-638,-228.2253521126761,-0.323943661971831,-278.92957746478874,-0.323943661971831,402.2411438032277,call,0,1.2369370460510254
