round_id,playerName,chips,reloadCount,cards,hand,position,allIn,folded,rank,message,winMoney
1,28fc27dcd887b9e5d57bc12bb155b256,0,0,♠J ♣10,♠J ♣10 ♦9 ♦3 ♣2 ♦Q ♠A,SB,True,False,8.096,High Card,0.0
1,5151f1abcb8f36ec81f5911b8b39da75,2980,0,♠2 ♥Q,♠2 ♥Q ♦9 ♦3 ♣2 ♦Q ♠A,BB,False,True,67.2048,Two Pair,0.0
1,d46c1f90a6b6ed00272dbd357469e47c,3000,0,♠6 ♥3,♠6 ♥3 ♦9 ♦3 ♣2 ♦Q ♠A,1,False,True,10.2624,Pair,0.0
1,0ef4698cc6669bff056ba5a952e166f4,3000,0,♣4 ♣Q,♣4 ♣Q ♦9 ♦3 ♣2 ♦Q ♠A,2,False,True,19.2114,Pair,0.0
1,7cc8dd7c883f82c93483c247f0309c7f,0,0,♣3 ♥6,♣3 ♥6 ♦9 ♦3 ♣2 ♦Q ♠A,3,True,False,10.2624,Pair,0.0
1,516bf08961c621dfac293ed0e163b68c,0,0,♣9 ♣7,♣9 ♣7 ♦9 ♦3 ♣2 ♦Q ♠A,4,True,False,16.2576,Pair,0.0
1,6a4e523cd64eab89151153daca948340,3000,0,♥8 ♦8,♥8 ♦8 ♦9 ♦3 ♣2 ♦Q ♠A,5,False,True,15.2624,Pair,0.0
1,92f46a64750dbf096d5d65a08e0e307a,3000,0,♠8 ♥A,♠8 ♥A ♦9 ♦3 ♣2 ♦Q ♠A,6,False,True,21.0608,Pair,0.0
1,15b51030db67993e65f0fc6897d65634,12020,0,♣A ♠5,♣A ♠5 ♦9 ♦3 ♣2 ♦Q ♠A,D,True,False,21.058,Pair,12020.0
2,28fc27dcd887b9e5d57bc12bb155b256,0,0,,,,False,False,,,0.0
2,5151f1abcb8f36ec81f5911b8b39da75,3040,0,♣K ♠A,♣K ♠A ♠3 ♣7 ♠J ♠Q ♦A,SB,True,False,21.1792,Pair,3040.0
2,d46c1f90a6b6ed00272dbd357469e47c,2980,0,♣4 ♥6,♣4 ♥6 ♠3 ♣7 ♠J ♠Q ♦A,BB,False,True,8.0792,High Card,0.0
2,0ef4698cc6669bff056ba5a952e166f4,3000,0,♥7 ♣10,♥7 ♣10 ♠3 ♣7 ♠J ♠Q ♦A,1,False,True,14.2816,Pair,0.0
2,7cc8dd7c883f82c93483c247f0309c7f,0,0,,,,False,False,,,0.0
2,516bf08961c621dfac293ed0e163b68c,0,0,,,,False,False,,,0.0
2,6a4e523cd64eab89151153daca948340,2980,0,♠5 ♣A,♠5 ♣A ♠3 ♣7 ♠J ♠Q ♦A,2,False,True,21.0784,Pair,0.0
2,92f46a64750dbf096d5d65a08e0e307a,3000,0,♥9 ♠4,♥9 ♠4 ♠3 ♣7 ♠J ♠Q ♦A,3,False,True,8.0848,High Card,0.0
2,15b51030db67993e65f0fc6897d65634,12000,0,♠8 ♥Q,♠8 ♥Q ♠3 ♣7 ♠J ♠Q ♦A,D,False,True,19.2336,Pair,0.0
3,28fc27dcd887b9e5d57bc12bb155b256,0,0,,,,False,False,,,0.0
3,5151f1abcb8f36ec81f5911b8b39da75,3040,0,♠5 ♦8,♠5 ♦8 ♦K ♠2 ♠10 ♠A ♣J,D,False,True,8.144,High Card,0.0
3,d46c1f90a6b6ed00272dbd357469e47c,2870,0,♣A ♥5,♣A ♥5 ♦K ♠2 ♠10 ♠A ♣J,SB,False,True,21.1408,Pair,0.0
3,0ef4698cc6669bff056ba5a952e166f4,2980,0,♦6 ♦4,♦6 ♦4 ♦K ♠2 ♠10 ♠A ♣J,BB,False,True,8.1416,High Card,0.0
3,7cc8dd7c883f82c93483c247f0309c7f,0,0,,,,False,False,,,0.0
3,516bf08961c621dfac293ed0e163b68c,0,0,,,,False,False,,,0.0
3,6a4e523cd64eab89151153daca948340,2840,0,♣8 ♦A,♣8 ♦A ♦K ♠2 ♠10 ♠A ♣J,1,False,False,21.1408,Pair,0.0
3,92f46a64750dbf096d5d65a08e0e307a,3000,0,♣6 ♦7,♣6 ♦7 ♦K ♠2 ♠10 ♠A ♣J,2,False,True,8.1424,High Card,0.0
3,15b51030db67993e65f0fc6897d65634,12270,0,♥K ♥J,♥K ♥J ♦K ♠2 ♠10 ♠A ♣J,3,False,False,86.2048,Two Pair,410.0
4,28fc27dcd887b9e5d57bc12bb155b256,0,0,,,,False,False,,,0.0
