round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,prWin_adj,chips,reld,stack,pot,bet,cost_to_call,pot_sum,bet_sum,maxBet_all,N_maxBet_all,bluff_freq,thd_call,bet_limit,action,amount,cputime
1,0,6,6,deal,False,♣Q ♥A,,60000,0.2736453703703646,0.3632625995942633,0.5099347905400906,3000,0,5000,0,0,20,0,30,20,1,0,0.4,6.0,check,0,0.46412181854248047
1,1,6,5,flop,False,♣Q ♥A,♦4 ♥9 ♦10,707,0.1676096181046676,0.36923457709188334,0.20496154362711894,2980,0,4980,20,0,20,100,40,20,2,0,0.125,26.946943328908983,check,0,1.2608017921447754
1,2,6,5,turn,False,♣Q ♥A,♦4 ♥9 ♦10 ♣5,661,0.04084720121028744,0.19793611940111827,0.04084720121028744,2960,0,4960,40,0,20,200,40,20,2,0,0.07692307692307693,11.742998352553544,fold,0,1.256242036819458
2,0,6,5,deal,False,♣J ♣9,,60000,0.24149100529098952,0.36257172315046454,0.4683242561449139,2940,0,4940,0,20,0,0,100,20,5,0,-0.2,0.0,check,0,0.40639686584472656
2,1,6,5,flop,False,♣J ♣9,♦J ♥Q ♠10,729,0.2886145404663923,0.41807936210881513,0.3339263697715269,2940,0,4940,20,0,20,100,20,20,1,0,0.14285714285714285,40.10712774280499,check,0,1.2801921367645264
2,2,6,5,flop,False,♣J ♣9,♦J ♥Q ♠10,1361,0.3203894195444526,0.4316850320461753,0.3670520426370758,2920,0,4920,20,20,20,100,160,40,3,0,0.07142857142857142,47.60870117282729,check,0,1.254201889038086
2,3,6,5,turn,False,♣J ♣9,♦J ♥Q ♠10 ♣5,662,0.1952416918429003,0.36467061797084277,0.1952416918429003,2900,0,4900,60,0,20,300,20,20,1,0,0.058823529411764705,11.0,check,0,1.2678449153900146
2,4,6,5,river,False,♣J ♣9,♦J ♥Q ♠10 ♣5 ♠J,707,0.6188118811881188,0.4521202634756143,0.6188118811881188,2880,0,4880,80,0,20,400,20,20,1,0,0.045454545454545456,252.0,check,0,1.2976150512695312
3,0,6,4,deal,False,♠A ♣2,,60000,0.18302552910052225,0.31796067578925186,0.38796987815596007,3350,0,5350,0,10,10,0,70,20,3,0,0.0,21.85234155849846,check,0,0.4125559329986572
3,1,6,4,flop,True,♠A ♣2,♥4 ♠2 ♦4,267,0.33146067415730335,0.4493679720409263,0.37853449869329037,3340,0,5340,20,0,20,80,0,0,6,0,0.2,40.0,check,0,1.2229697704315186
3,2,6,4,flop,False,♠A ♣2,♥4 ♠2 ♦4,936,0.3301282051282051,0.4581764120828201,0.3771541100431597,3340,0,5340,20,0,200,80,500,200,2,0,0.2564102564102564,290.0,check,0,1.2507109642028809
3,3,6,4,turn,True,♠A ♣2,♥4 ♠2 ♦4 ♥2,404,0.4876237623762376,0.4665496875151649,0.4876237623762376,3140,0,5140,220,0,20,880,0,0,6,0,0.022222222222222223,455.3999999999996,check,0,1.2242560386657715
3,4,6,4,turn,False,♠A ♣2,♥4 ♠2 ♦4 ♥2,1047,0.502865329512894,0.4651066201531411,0.502865329512894,3140,0,5140,220,0,200,880,500,200,2,0,0.12658227848101267,11.0,check,0,1.2492942810058594
3,5,6,4,river,True,♠A ♣2,♥4 ♠2 ♦4 ♥2 ♠8,393,0.5534351145038168,0.4715246846482382,0.5534351145038168,2940,0,4940,420,0,20,1680,0,0,6,0,0.011764705882352941,441.0,bet,441,1.223733901977539
3,6,6,3,river,False,♠A ♣2,♥4 ♠2 ♦4 ♥2 ♠8,1027,0.5418695228821812,0.4672315974371668,0.5418695228821812,2499,0,4499,420,441,441,1680,1764,882,1,0,0.11351351351351352,374.84999999999997,check,0,1.25038480758667
4,0,6,6,deal,False,♠4 ♥5,,60000,0.14215291005291728,0.3012552620891341,0.3289786024788799,2058,0,4058,0,0,20,0,90,20,4,0,0.18181818181818182,30.99652509717212,check,0,0.3545100688934326
4,1,6,5,flop,False,♠4 ♥5,♥7 ♦K ♦A,701,0.033095577746077035,0.1687927368455983,0.05098419437222519,2038,0,4038,20,0,400,120,800,400,1,0,0.30303030303030304,52.23141171708649,fold,0,1.2687532901763916
