N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_amt,bet_sum,board,cards_aces,cards_conn,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_id,hand_score0,hand_score1,hole,logic,minBet,play,position,pot,pot_sum,prWin,prWinStd,prWin_adj,prWin_delta,prev_action,prev_play,prev_prWin,prev_round,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,tableNumber,thd_call,tightness
7,1,0,0,0,7,0,0,0,7,0,60000,fold,0.75,0,0,,30,,0,0,0,0,9,2,1,3000,20,0.39887285232543945,False,0,20180726194832330,0,9,9C 2C,michael3,20,trash,1,0,0,0.13632083333330564,0.30672552811735543,0.27563117958163685,0,none,,,,"[1, 0, 0, 0]",Deal,1,0,0,10,421,0.4,-0.406
7,1,0,4,0,7,0,0,4,3,0,60000,fold,0.75,0,20,,95,,0,0,0,0,6,2,0,2980,25,0.39775681495666504,False,20,20180726194832330,0,6,2D 6H,michael3,25,trash,BB,0,0,0.08730515873014937,0.24832460357717678,0.20191153600243067,0,none,,,,"[1, 0, 0, 0]",Deal,2,0,0,10,421,0.041666666666666664,-0.406
7,3,0,3,0,7,0,0,3,4,0,60000,raise,0.75,0,10,raise,70,,0,0,0,0,9,3,0,2970,10,0.39795804023742676,False,10,20180726194832330,0,9,3D 9H,michael2,10,value,SB,0,0,0.09617519841268246,0.254227787449255,0.21587672973509636,0,,,,,"[0, 0.7, 0.3, 'raise']",Deal,3,0,0,10,421,0.0,-0.406
7,0,0,0,0,3,0,0,0,3,0,72,check,0.75,0,0,raise,0,KD TS 7D,0,0,0,0,9,3,0,2940,0,0.1347959041595459,True,0,20180726194832330,0,13,3D 9H,michael2,20,bluff,SB,40,140,0.125,0.33071891388307384,0.2070182906430023,0.02882480158731754,raise,value,0.09617519841268246,Deal,"[0, 1, 0, 'raise']",Flop,3,0,0,10,421,0.0,-0.248
7,1,0,1,0,3,0,0,1,2,0,418,check,0.75,0,0,raise,20,KD TS 7D,0,0,0,0,9,3,0,2940,20,0.15718412399291992,False,0,20180726194832330,0,13,3D 9H,michael2,20,value,SB,40,140,0.13516746411483255,0.3315411728703425,0.21995924830173544,0.038992265702150086,check,bluff,0.09617519841268246,Flop,"[0, 0.7, 0.3, 'raise']",Flop,3,0,0,10,421,0.1111111111111111,-0.248
7,0,0,0,0,3,0,0,0,2,0,100,check,0.75,0,0,raise,0,KD TS 7D 4C,0,0,0,0,9,3,0,2920,0,0.13966798782348633,True,0,20180726194832330,0,13,3D 9H,michael2,20,bluff,SB,60,180,0.0,0.0,0.0,-0.13516746411483255,check,value,0.13516746411483255,Flop,"[0, 1, 0, 'raise']",Turn,3,0,0,10,421,0.0,-0.298
7,1,0,0,0,3,0,0,0,2,0,442,check,0.75,0,0,25,20,KD TS 7D 4C,0,0,0,0,9,3,0,2920,20,0.16418099403381348,False,0,20180726194832330,0,13,3D 9H,michael2,20,value,SB,60,180,0.04751131221719457,0.21272984611613582,0.11090480635980304,-0.08765615189763798,check,bluff,0.13516746411483255,Turn,"[0, 0.7, 0.3, 25]",Turn,3,0,0,10,421,0.09090909090909091,-0.298
7,0,0,0,0,3,0,0,0,2,0,98,check,0.75,0,0,0,0,KD TS 7D 4C JD,0,0,0,0,9,3,0,2900,0,0.14255714416503906,True,0,20180726194832330,0,13,3D 9H,michael2,20,bluff,SB,80,220,0.04591836734693878,0.19014944034269615,0.11812965373861506,-0.00159294487025579,check,value,0.04751131221719457,Turn,"[0, 1, 0, 0]",River,3,0,0,10,421,0.0,-0.345
7,1,0,0,0,3,0,0,0,2,0,433,fold,0.75,0,0,57,20,KD TS 7D 4C JD,0,0,0,0,9,3,0,2900,20,0.1619091033935547,False,0,20180726194832330,0,13,3D 9H,michael2,20,bluff,SB,80,220,0.017321016166281754,0.12364827919797745,0.06233128559703256,-0.030190296050912814,check,bluff,0.04751131221719457,River,"[1, 0, 0, 57]",River,3,0,0,10,421,0.07692307692307693,-0.345
7,2,0,2,0,7,0,0,2,5,0,60000,raise,0.75,0,0,raise,120,,0,1,1,0,12,11,0,2900,45,0.3897531032562256,False,0,20180726194832330,0,12,QS JD,michael2,45,value,D,0,0,0.2088293650793883,0.34895026352472197,0.3738570842659694,0,,,,,"[0, 0.7, 0.3, 'raise']",Deal,4,0,0,10,421,0.2727272727272727,-0.406
