N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_limit,bet_minimum,bet_sum,board,board_aces,board_conn,board_conn_rank,board_faces,board_kind,board_kind_rank,board_rank1,board_rank2,board_suit,board_suit_rank,cards_aces,cards_category,cards_conn,cards_conn2,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_rank_sum,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_id,hand_score0,hand_score1,hole,logic,minBet,op_resp,play,position,position_feature,pot,pot_sum,prWin,prWinStd,prWin_adj,prWin_delta,prev_action,prev_prWin,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,tableNumber,thd_call,tightness
7,4,0,0,0,7,0,0,0,7,0,60000,fold,0.75,0,0,532.1172619047563,80,90,,,,,,,,,,,,0,8,1,0,0,0,10,9,19,0,3000,20,0.44791126251220703,False,0,20180727173222723,0,10,9S TC,michael3,20,none,ml_fold,4,L,0,0,0.1773724206349188,0.33161155481538074,0.33245774861105015,0,none,,"[1, 0, 0, 0]",Deal,1,0,0,10,71,0.18181818181818182,-0.406
7,2,0,1,0,7,0,0,1,6,0,60000,bet,0.75,561,0,586.0500000000267,80,50,,,,,,,,,,,,0,8,0,0,0,0,12,8,20,1,3000,20,0.6193180084228516,False,0,20180727173222723,0,12,8C QC,michael3,20,all_folded,ml_raise,3,M,0,0,0.1953500000000089,0.34785398973558274,0.3563167772976578,0,none,,"[0, 0, 1, 561]",Deal,2,0,0,10,71,0.2857142857142857,-0.406
7,1,0,0,0,3,0,0,0,3,0,349,fold,0.75,0,0,0,2226,513,8D 5H 6S,0,2,6,0,1,8,8,5,1,8,0,8,0,0,0,0,12,8,20,1,2439,513,0.22025609016418457,False,0,20180727173222723,1,8,8C QC,michael3,513,none,ml_fold,3,M,561,1713,0.4713467048710602,0.48338230606502836,0.5951429266214323,0.27599670487105127,none,0.1953500000000089,"[1, 0, 0, 0]",Flop,2,0,0,10,71,0.18729463307776562,-0.248
6,1,0,0,0,6,0,0,0,6,0,60000,fold,0.75,0,0,306.18902738097546,80,30,,,,,,,,,,,,0,9,0,0,0,0,10,3,13,0,2439,20,0.4578390121459961,False,0,20180727173222723,0,10,TH 3S,michael3,20,none,trash,1,E,0,0,0.12553875661376607,0.2731519624197582,0.22361208297368165,0,none,,"[1, 0, 0, 0]",Deal,3,0,0,10,71,0.4,-0.29600000000000004
6,3,0,1,0,6,0,0,1,5,0,60000,fold,0.75,0,20,423.58513849205434,80,528,,,,,,,,,,,,0,9,0,0,0,0,10,5,15,1,2419,136,0.44937992095947266,False,20,20180727173222723,0,10,TH 5H,michael3,136,all_folded,trash,BB,B,0,0,0.1751075396825359,0.326272468008342,0.28760502149735806,0,none,,"[1, 0, 0, 0]",Deal,4,0,0,10,71,0.1746987951807229,-0.29600000000000004
6,4,0,1,0,6,0,0,1,5,0,60000,bet,0.75,616,10,644.5837138888585,80,90,,,,,,,,,,,,0,6,0,1,1,0,12,10,22,1,2409,10,0.5191102027893066,False,10,20180727173222723,0,12,TC QC,michael3,10,all_folded,ml_raise,SB,B,0,0,0.26757314814813554,0.3741992678770582,0.3986104989000707,0,none,,"[0, 0, 1, 616]",Deal,5,0,0,10,71,0.0,-0.29600000000000004
6,0,0,0,0,2,0,0,0,2,0,111,bet,0.75,1769,0,1793,1312,0,9C 6H 7C,0,2,7,0,1,9,9,6,2,9,0,6,0,1,1,0,12,10,22,1,1793,0,0.27022218704223633,True,0,20180727173222723,0,12,TC QC,michael3,20,none,ml_raise,SB,B,626,1312,0.7657657657657657,0.4235192531006544,0.870798540534728,0.4981926176176302,none,0.26757314814813554,"[0, 0, 1, 1769]",Flop,5,0,0,10,71,0.0,-0.248
6,3,0,1,0,6,0,0,1,5,0,60000,fold,0.75,0,0,612.9799821428263,80,70,,,,,,,,,,,,0,9,0,0,0,0,13,2,15,1,3105,20,0.45772695541381836,False,0,20180727173222723,0,13,KC 2C,michael3,20,all_folded,trash,D,L,0,0,0.19741706349205357,0.3401267082113806,0.315239775756977,0,none,,"[1, 0, 0, 0]",Deal,6,0,0,10,71,0.2222222222222222,-0.29600000000000004
6,3,0,0,0,6,0,0,0,6,0,60000,fold,0.75,0,0,576.3598749999779,160,140,,,,,,,,,,,,0,9,0,0,0,0,11,5,16,1,3105,40,0.4783949851989746,False,0,20180727173222723,0,11,JD 5D,michael3,40,none,trash,3,L,0,0,0.18562314814814104,0.33136230923048227,0.30070861620926204,0,none,,"[1, 0, 0, 0]",Deal,7,0,0,20,71,0.2222222222222222,-0.29600000000000004
6,1,0,0,0,6,0,0,0,6,0,60000,fold,0.75,0,0,412.7719642857523,160,140,,,,,,,,,,,,0,9,0,0,0,0,10,4,14,0,3105,80,0.45536327362060547,False,0,20180727173222723,0,10,4D TH,michael3,80,none,trash,2,E,0,0,0.13293783068784293,0.2801332685903269,0.2334320599746279,0,none,,"[1, 0, 0, 0]",Deal,8,0,0,20,71,0.36363636363636365,-0.29600000000000004
5,1,0,0,0,5,0,0,0,5,0,60000,fold,0.75,0,0,477.14732142853103,160,60,,,,,,,,,,,,0,9,0,0,0,0,10,3,13,0,3105,40,0.4536147117614746,False,0,20180727173222723,0,10,TS 3H,michael3,40,none,trash,1,E,0,0,0.1536706349206219,0.28374738883325606,0.22074832397363714,0,none,,"[1, 0, 0, 0]",Deal,9,0,0,20,71,0.4,-0.186
5,3,0,1,0,5,0,0,1,4,0,60000,bet,0.75,698,40,726.1779629627605,160,280,,,,,,,,,,,,0,7,1,0,0,0,8,7,15,1,3065,40,0.5273306369781494,False,40,20180727173222723,0,8,7C 8C,michael3,40,all_folded,ml_raise,BB,B,0,0,0.23692592592585987,0.350745781107683,0.31601246791313464,0,none,,"[0, 0, 1, 698]",Deal,10,0,0,20,71,0.0,-0.186
5,1,0,0,0,2,0,0,0,2,0,337,fold,0.75,0,0,0,1676,40,3H KH TD,0,0,0,2,1,13,13,3,2,13,0,7,1,0,0,0,8,7,15,1,2367,40,0.26359105110168457,False,0,20180727173222723,0,13,7C 8C,michael3,40,none,ml_fold,BB,B,738,1636,0.314540059347181,0.4430764906708092,0.4296945032859383,0.07761413342132112,none,0.23692592592585987,"[1, 0, 0, 0]",Flop,10,0,0,20,71,0.023310023310023312,-0.248
