tableNumber,game_id,round_id,smallBlind,roundName,forced_bet,N_effective,N,Nnf,Nallin,first,hole,board,cards_rank1,cards_rank2,cards_rank_sum,cards_aces,cards_faces,cards_pair,cards_suit,cards_conn,cards_conn2,cards_category,hand_score0,hand_score1,chips,position,position_feature,pot,bet,minBet,cost_to_call,pot_sum,bet_sum,NMaxBet,Nfold,Ncall,Nraise,self_Ncall,self_Nraise,prev_action,NRfold,NRcall,NRraise,op_resp,Nsim,prWin,prWinStd,tightness,aggresiveness,prWin_adj,logic,bet_minimum,bet_limit,prev_prWin,prWin_delta,thd_call,play,resp,action,amount,cputime
353,20180727194141117,1,10,Deal,0,10,10,9,1,False,KS AH,,14,13,27,1,1,0,0,0,0,2,0,14,3000,4,M,0,0,3000,3000,0,5050,1,1,0,0,0,0,none,1,0,0,all_folded,60000,0.1707547222222225,0.37002496206904933,-0.736,0.75,0.44770747063388555,michael3,80,512.2641666666675,,0,0.37267080745341613,ml_fold,"[1, 0, 0, 0]",fold,0,0.4097428321838379
353,20180727194141117,2,10,Deal,0,8,8,8,0,False,2D 6H,,6,2,8,0,0,0,0,0,0,9,0,6,3000,2,E,0,0,60,60,0,90,1,0,0,0,0,0,none,0,0,0,none,60000,0.07674490740740712,0.24407255087202484,-0.516,0.75,0.21409701910041334,michael3,80,230.23472222222136,,0,0.4,trash,"[1, 0, 0, 0]",fold,0,0.47995710372924805
353,20180727194141117,3,10,Deal,0,8,8,8,0,False,9S TD,,10,9,19,0,0,0,0,1,0,8,0,10,3000,1,E,0,0,20,20,0,30,1,0,0,0,0,0,none,0,0,0,none,60000,0.15660324074073878,0.3303346886613647,-0.516,0.75,0.34413120458258817,michael3,80,469.80972222221635,,0,0.4,ml_fold,"[1, 0, 0, 0]",fold,0,0.5538411140441895
353,20180727194141117,4,10,Deal,20,8,8,7,0,False,AH 6C,,14,6,20,1,0,0,0,0,0,7,0,14,2980,BB,B,0,20,20,20,0,160,1,1,0,0,0,0,none,1,0,0,all_folded,60000,0.14532870370370396,0.3159366699544248,-0.516,0.75,0.32718358419564375,michael3,80,433.0795370370378,,0,0.0,ml_raise,"[0, 0, 1, 415]",bet,415,0.5464568138122559
353,20180727194141117,4,10,Deal,0,8,8,4,0,False,AH 6C,,14,6,20,1,0,0,0,0,0,7,0,14,2565,BB,B,0,435,790,790,0,2590,1,4,0,0,0,0,bet,4,0,0,all_folded,60000,0.14532870370370396,0.3159366699544248,-0.516,0.75,0.32718358419564375,michael3,80,372.7681250000007,,0,0.23372781065088757,ml_fold,"[1, 0, 0, 0]",fold,0,0.4954402446746826
353,20180727194141117,5,10,Deal,10,8,8,7,0,False,9S 9C,,9,9,18,0,0,1,0,0,0,3,1,9,2555,SB,B,0,10,50,50,0,170,1,1,0,0,0,0,none,1,0,0,all_folded,60000,0.1981518518518365,0.3580332028027652,-0.516,0.75,0.40383316418300363,michael3,80,506.2779814814423,,0,0.18181818181818182,ml_raise,"[0, 0, 1, 442]",bet,442,0.5367097854614258
353,20180727194141117,5,10,Deal,0,8,8,6,0,False,9S 9C,,9,9,18,0,0,1,0,0,0,3,1,9,2113,SB,B,0,452,784,784,0,3516,1,2,0,0,0,0,bet,2,0,0,all_folded,60000,0.1981518518518365,0.3580332028027652,-0.516,0.75,0.40383316418300363,michael3,80,418.69486296293053,,0,0.18232558139534882,ml_fold,"[1, 0, 0, 0]",fold,0,0.49866795539855957
353,20180727194141117,6,10,Deal,0,8,8,8,0,False,5S 5H,,5,5,10,0,0,1,0,0,0,5,1,5,2113,D,L,0,0,60,60,0,170,1,0,0,0,0,0,none,0,0,0,none,60000,0.15031712962962498,0.33301579986547053,-0.516,0.75,0.3347262389192147,michael3,80,317.6200949073976,,0,0.2608695652173913,ml_fold,"[1, 0, 0, 0]",fold,0,0.5345711708068848
353,20180727194141117,7,10,Deal,0,8,8,7,0,False,4S 9D,,9,4,13,0,0,0,0,0,0,9,0,9,2113,5,L,0,0,60,60,0,130,1,1,0,0,0,0,none,1,0,0,all_folded,60000,0.08695138888888869,0.2551695827415458,-0.516,0.75,0.23234151506266415,michael3,80,183.7282847222218,,0,0.3157894736842105,trash,"[1, 0, 0, 0]",fold,0,0.4899721145629883
353,20180727194141117,8,10,Deal,0,8,8,8,0,False,5D 4D,,5,4,9,0,0,0,1,1,0,7,0,5,2113,4,M,0,0,60,60,0,130,1,0,0,0,0,0,none,0,0,0,none,60000,0.14787129629629817,0.33387903849029565,-0.516,0.75,0.3310370338120738,michael3,80,312.45204907407805,,0,0.3157894736842105,ml_fold,"[1, 0, 0, 0]",fold,0,0.528095006942749
353,20180727194141117,9,20,Deal,0,8,8,8,0,False,TC AC,,14,10,24,1,1,0,1,0,0,5,0,14,2113,3,M,0,0,120,120,0,220,1,0,0,0,0,0,none,0,0,0,none,60000,0.2260666666666722,0.3816356577266094,-0.516,0.75,0.44190060880701487,michael3,160,477.67886666667835,,0,0.35294117647058826,ml_raise,"[0, 0, 1, 462]",bet,462,0.5397429466247559
353,20180727194141117,9,20,Deal,0,8,8,4,0,False,TC AC,,14,10,24,1,1,0,1,0,0,5,0,14,1651,3,M,0,462,684,684,0,2592,1,4,0,0,0,0,bet,4,0,0,all_folded,60000,0.2260666666666722,0.3816356577266094,-0.516,0.75,0.44190060880701487,michael3,160,373.2360666666758,,0,0.2087912087912088,ml_fold,"[1, 0, 0, 0]",fold,0,0.5281939506530762
353,20180727194141117,10,20,Deal,0,8,8,8,0,False,9D TH,,10,9,19,0,0,0,0,1,0,8,0,10,1651,2,E,0,0,120,120,0,180,1,0,0,0,0,0,none,0,0,0,none,60000,0.15660324074073878,0.3303346886613647,-0.516,0.75,0.34413120458258817,michael3,160,258.5519504629597,,0,0.4,ml_fold,"[1, 0, 0, 0]",fold,0,0.5330550670623779
