N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_limit,bet_minimum,bet_sum,blind_level,board,board_aces,board_conn,board_conn_rank,board_faces,board_kind,board_kind_rank,board_rank1,board_rank2,board_suit,board_suit_rank,cards_aces,cards_category,cards_conn,cards_conn2,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_rank_sum,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_N,game_id,game_phase,hand_score0,hand_score1,hand_score2,hole,logic,maxBet,minBet,op_chips_max,op_chips_min,op_resp,play,position,position_feature,pot,pot_sum,prWin,prWinStd,prWin_adj,prWin_delta,prev_action,prev_prWin,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,tableNumber,thd_call,tightness
10,1,1,2,1,10,1,1,2,8,1,60000.0,fold,0.75,0,0,564.2633333333331,3020,3050,1,,,,,,,,,,,,0,9,0,0,0,0,8,2,10,1,3000,3000,0.1591019630432129,False,0,10,20180731122320017,Early,0,8,2,8C 2C,michael3,3000,3000,3000,0,any_raised,trash,5,M,0,0,0.08808777777777771,0.28342251354462045,0.2955530576924399,0,none,,"[1, 0, 0, 0]",Deal,1,0,0,10,64,0.49586776859504134,-0.732
9,1,0,1,1,9,0,0,1,8,1,60000.0,fold,0.75,0,0,791.077777777834,2040,2050,1,,,,,,,,,,,,0,8,0,0,0,0,13,8,21,1,3000,2020,0.20450186729431152,False,0,10,20180731122320017,Early,0,13,8,KD 8D,michael3,2020,2020,6010,980,any_raised,ml_fold,3,M,0,0,0.1636925925926113,0.369996388797135,0.39457033920202356,0,none,,"[1, 0, 0, 0]",Deal,2,0,0,10,64,0.4963144963144963,-0.624
9,1,0,1,0,9,0,0,1,8,0,60000.0,fold,0.75,0,0,651.5555555556027,40,30,1,,,,,,,,,,,,0,9,0,0,0,0,13,7,20,0,3000,20,0.18679189682006836,False,0,10,20180731122320017,Early,0,13,7,7D KH,michael3,20,20,7060,940,all_folded,trash,2,E,0,0,0.11718518518520092,0.3216408207275797,0.3185323389606658,0,none,,"[1, 0, 0, 0]",Deal,3,0,0,10,64,0.4,-0.626
9,1,0,0,0,9,0,0,0,9,0,60000.0,fold,0.75,0,0,641.8000000000454,40,30,1,,,,,,,,,,,,0,9,0,0,0,0,13,6,19,0,3000,20,0.20047283172607422,False,0,10,20180731122320017,Early,0,13,6,KH 6S,michael3,20,20,7050,940,none,trash,1,E,0,0,0.11393333333334844,0.317730276947131,0.31346794725614674,0,none,,"[1, 0, 0, 0]",Deal,4,0,0,10,64,0.4,-0.628
9,5,4,4,0,9,0,4,4,5,0,60000.0,check,0.75,0,20,590.2772962963277,20,110,1,,,,,,,,,,,,0,9,0,0,0,0,9,6,15,0,2980,0,0.16432595252990723,False,20,10,20180731122320017,Early,0,9,6,6C 9S,michael3,20,0,3870,920,any_called,trash,BB,B,0,0,0.09807962962964016,0.29742228544840543,0.2854556694621356,0,none,,"[0, 1, 0, 0]",Deal,5,0,0,10,64,-0.18181818181818182,-0.63
9,0,0,0,0,5,0,0,0,5,0,66,check,0.75,0,0,0,20,0,1,9H 7D 7C,0,0,0,0,2,7,9,7,1,7,0,9,0,0,0,0,9,6,15,0,2980,0,0.23093485832214355,True,0,10,20180731122320017,Early,2,9,7,6C 9S,michael3,0,20,3870,920,none,ml_fold,BB,B,20,110,0.29545454545454547,0.3890282447414475,0.43232859022648684,0.1973749158249053,none,0.09807962962964016,"[0, 1, 0, 0]",Flop,5,0,0,10,64,0.0,-0.30000000000000004
9,2,1,2,1,5,0,2,2,3,1,420,fold,0.75,0,0,0,40,40,1,9H 7D 7C,0,0,0,0,2,7,9,7,1,7,0,9,0,0,0,0,9,6,15,0,2980,20,0.25652384757995605,False,0,10,20180731122320017,Early,2,9,7,6C 9S,michael3,20,20,3850,3250,any_raised,ml_fold,BB,B,20,110,0.3107142857142857,0.42873508779921904,0.44955009756793257,0.21263465608464555,check/call,0.09807962962964016,"[1, 0, 0, 0]",Flop,5,1,0,10,64,0.11764705882352941,-0.30000000000000004
8,4,3,3,0,8,0,3,3,5,0,60000.0,check,0.75,0,10,592.8642499999991,30,90,1,,,,,,,,,,,,0,9,0,0,0,0,5,3,8,0,2970,10,0.1643390655517578,False,10,10,20180731122320017,Early,0,5,3,3H 5C,michael3,20,10,7230,900,any_called,trash,SB,B,0,0,0.09961759259259227,0.29948944528755694,0.255951083032697,0,none,,"[0, 1, 0, 0]",Deal,6,0,0,10,64,0.0,-0.522
8,0,0,0,0,5,0,0,0,5,0,43,bet,0.75,1343,0,2960,20,0,1,5D 4H 5S,0,2,5,0,2,5,5,4,1,5,0,9,0,0,0,0,5,3,8,0,2960,0,0.2465229034423828,True,0,10,20180731122320017,Early,3,5,4,3H 5C,michael3,0,20,7230,900,none,ml_raise,SB,B,20,100,0.8604651162790697,0.3465038238546823,0.9651092710831839,0.7608475236864775,none,0.09961759259259227,"[0, 0, 1, 1343]",Flop,6,0,0,10,64,0.0,-0.30200000000000005
8,0,0,0,0,5,0,0,0,2,0,51,bet,0.75,1457,0,1617,20,0,1,5D 4H 5S TS,0,2,5,1,2,5,10,4,2,10,0,9,0,0,0,0,5,3,8,0,1617,0,0.23326396942138672,True,0,10,20180731122320017,Early,3,5,10,3H 5C,michael3,0,20,5887,5887,none,ml_raise,SB,B,1363,2786,0.8529411764705882,0.33275613232308116,0.9531990104880305,-0.007523939808481539,none,0.8604651162790697,"[0, 0, 1, 1457]",Turn,6,0,0,10,64,0.0,-0.28308263779255355
