N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_sum,blind_level,board,board_aces,board_conn,board_conn_rank,board_faces,board_kind,board_kind_rank,board_rank1,board_rank2,board_suit,board_suit_rank,cards_aces,cards_category,cards_conn,cards_conn2,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_rank_sum,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_N,game_id,game_phase,hand_score0,hand_score1,hand_score2,hole,logic,maxBet,minBet,op_chips_max,op_chips_min,op_resp,play,position,position_feature,pot,pot_sum,prWin,prWinStd,prWin_adj,prWin_delta,prev_action,prev_prWin,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,tableNumber,thd_call,tight,tightness
6,3,2,1,0,6,0,2,1,5,0,60000.0,check,0.75,0,0,70,1,,,,,,,,,,,,0,9,0,0,0,0,4,3,7,0,3000,20,0.20692205429077148,False,0,6,20180802170516727,Early,0,4,3,4C 3D,michael4,20,20,2990,2980,any_called,trash,D,L,0,0,0.11844920634921295,0.32313927626405076,0.09841457122084171,0,none,,"[0, 1, 0, 0]",Deal,1,0,0,10,21,0.2222222222222222,True,0.06200000000000028
6,1,2,0,2,5,1,2,0,5,2,348,fold,0.75,0,0,3000,1,KH 8H TH,0,0,0,2,1,13,13,8,3,13,0,9,0,0,0,0,4,3,7,0,2980,2980,0.2514371871948242,False,0,6,20180802170516727,Early,0,13,10,4C 3D,michael4,2980,2980,2980,0,any_raised,fold,D,L,20,100,0.007758620689655173,0.052769606699320314,0.06619390433873688,-0.11069058565955778,none,0.11844920634921295,"[1, 0, 0, 0]",Flop,1,0,0,10,21,0.4901315789473684,True,-0.6660000000000004
5,2,1,0,0,5,0,1,0,5,0,60000.0,check,0.75,0,0,50,1,,,,,,,,,,,,0,9,0,0,0,0,13,6,19,0,2980,20,0.2090599536895752,False,0,6,20180802170516727,Early,0,13,6,6H KS,michael4,20,20,6040,2970,any_called,trash,2,E,0,0,0.21428677248670144,0.4103266401587083,0.1428899370990861,0,none,,"[0, 1, 0, 0]",Deal,2,0,0,10,21,0.2857142857142857,True,0.1740000000000003
5,2,2,2,1,5,0,3,2,3,1,60000.0,fold,0.75,0,20,154,1,,,,,,,,,,,,0,9,0,0,0,0,13,6,19,0,2960,32,0.19927287101745605,False,0,6,20180802170516727,Early,0,13,6,6H KS,michael4,52,32,2948,2928,any_raised,trash,2,E,0,0,0.21428677248670144,0.4103266401587083,0.1428899370990861,0,check/call,,"[1, 0, 0, 0]",Deal,2,1,0,10,21,0.17204301075268819,True,0.1740000000000003
5,1,0,0,0,5,0,0,0,5,0,60000.0,check,0.75,0,0,30,1,,,,,,,,,,,,0,9,0,0,0,0,9,3,12,1,2960,20,0.20267176628112793,False,0,6,20180802170516727,Early,0,9,3,9D 3D,michael4,20,20,6030,2928,none,trash,1,E,0,0,0.18388042328038767,0.3873866456327749,0.11570037364901917,0,none,,"[0, 1, 0, 0]",Deal,3,0,0,10,21,0.4,True,0.1760000000000003
5,4,3,0,1,5,0,4,0,5,1,60000.0,check,0.75,0,20,180,1,,,,,,,,,,,,0,9,0,0,0,0,9,3,12,1,2940,20,0.20520997047424316,False,0,6,20180802170516727,Early,0,9,3,9D 3D,michael4,40,20,6000,2908,any_raised,trash,1,E,0,0,0.18388042328038767,0.3873866456327749,0.11570037364901917,0,check/call,,"[0, 1, 0, 0]",Deal,3,1,0,10,21,0.1,True,0.1760000000000003
5,1,0,1,1,5,0,0,1,4,1,354,check,0.75,0,0,20,1,QS AC AD,2,0,0,3,2,14,14,12,1,14,0,9,0,0,0,0,9,3,12,1,2920,20,0.25121498107910156,False,0,6,20180802170516727,Early,1,14,12,9D 3D,michael4,20,20,5980,2930,any_raised,fold,1,E,40,200,0.0423728813559322,0.19063087930850833,0.17733659486581632,-0.14150754192445547,none,0.18388042328038767,"[0, 1, 0, 0]",Flop,3,0,0,10,21,0.08333333333333333,True,-0.6700000000000004
5,2,1,2,2,5,0,2,2,3,2,718,check,0.75,0,20,100,1,QS AC AD,2,0,0,3,2,14,14,12,1,14,0,9,0,0,0,0,9,3,12,1,2900,20,0.25370311737060547,False,0,6,20180802170516727,Early,1,14,12,9D 3D,michael4,40,20,5960,2890,any_raised,fold,1,E,40,200,0.05877437325905293,0.22316950054341345,0.2163596641247888,-0.12510605002133474,check/call,0.18388042328038767,"[0, 1, 0, 0]",Flop,3,1,0,10,21,0.0625,True,-0.6700000000000004
5,1,0,0,1,5,0,0,0,3,1,338,check,0.75,0,0,20,1,QS AC AD 4D,2,0,0,3,2,14,14,4,2,14,0,9,0,0,0,0,9,3,12,1,2880,20,0.2674081325531006,False,0,6,20180802170516727,Early,1,14,12,9D 3D,michael4,20,20,5940,2890,any_raised,ml_call,1,E,80,320,0.15266272189349112,0.35768239667946544,0.4043569419534639,0.09388834863443818,none,0.05877437325905293,"[0, 1, 0, 0]",Turn,3,0,0,10,21,0.05555555555555555,True,-0.6998074879227707
5,1,0,1,2,5,0,1,1,2,2,672,fold,0.75,0,20,80,1,QS AC AD 4D,2,0,0,3,2,14,14,4,2,14,0,9,0,0,0,0,9,3,12,1,2860,20,0.26464319229125977,False,0,6,20180802170516727,Early,1,14,12,9D 3D,michael4,40,20,2850,2850,any_raised,ml_fold,1,E,80,320,0.17276785714285714,0.37561784773658624,0.43732759948826,0.1139934838838042,check/call,0.05877437325905293,"[1, 0, 0, 0]",Turn,3,1,0,10,21,0.047619047619047616,True,-0.6998074879227707
5,2,1,2,1,5,0,1,2,3,1,60000.0,check,0.75,0,20,74,1,,,,,,,,,,,,0,9,0,0,0,0,13,5,18,0,2840,2,0.20685791969299316,False,20,6,20180802170516727,Early,0,13,5,5S KC,michael4,22,2,3228,3020,any_raised,trash,BB,B,0,0,0.20757169312162665,0.40556834853850204,0.13538052708177317,0,none,,"[0, 1, 0, 0]",Deal,4,0,0,10,21,-0.23684210526315788,True,0.1780000000000003
5,0,0,0,0,3,0,0,0,3,0,77,check,0.75,0,0,0,1,3S 2H 8D,0,2,3,0,1,8,8,2,1,8,0,9,0,0,0,0,13,5,18,0,2838,0,0.23677802085876465,True,0,6,20180802170516727,Early,0,13,8,5S KC,michael4,0,20,3228,3020,none,ml_fold,BB,B,22,76,0.17532467532467533,0.36721339001555053,0.4308490268352038,-0.03224701779695133,none,0.20757169312162665,"[0, 1, 0, 0]",Flop,4,0,0,10,21,0.0,True,-0.6720000000000004
5,1,0,0,2,3,0,1,0,3,2,444,fold,0.75,0,0,285,1,3S 2H 8D,0,2,3,0,1,8,8,2,1,8,0,9,0,0,0,0,13,5,18,0,2838,190,0.24906492233276367,False,0,6,20180802170516727,Early,0,13,8,5S KC,michael4,190,190,3038,2925,any_raised,fold,BB,B,22,76,0.15090090090090091,0.3451388271394402,0.39144481827774474,-0.05667079222072574,check/call,0.20757169312162665,"[1, 0, 0, 0]",Flop,4,1,0,10,21,0.3448275862068966,True,-0.6720000000000004
5,4,3,0,0,5,0,3,0,5,0,60000.0,check,0.75,0,10,90,1,,,,,,,,,,,,0,9,0,1,0,0,7,5,12,0,2828,10,0.20964288711547852,False,10,6,20180802170516727,Early,0,7,5,7S 5D,michael4,20,10,5920,2878,any_called,trash,SB,B,0,0,0.17044470899468547,0.37602301813905287,0.10276056572965585,0,none,,"[0, 1, 0, 0]",Deal,5,0,0,10,21,0.0,True,0.1800000000000003
5,0,0,0,0,5,0,0,0,5,0,74,check,0.75,0,0,0,1,9H TH QS,0,2,10,2,1,12,12,9,2,10,0,9,0,1,0,0,7,5,12,0,2818,0,0.2552828788757324,True,0,6,20180802170516727,Early,0,12,10,7S 5D,michael4,0,20,5920,2878,none,ml_fold,SB,B,20,100,0.008108108108108109,0.03944464734953088,0.0685519181379837,-0.16233660088657736,none,0.17044470899468547,"[0, 1, 0, 0]",Flop,5,0,0,10,21,0.0,True,-0.6740000000000004
5,2,3,0,1,5,0,4,0,5,1,429,check,0.75,0,0,40,1,9H TH QS,0,2,10,2,1,12,12,9,2,10,0,9,0,1,0,0,7,5,12,0,2818,20,0.24982213973999023,False,0,6,20180802170516727,Early,0,12,10,7S 5D,michael4,20,20,5900,2858,any_raised,fold,SB,B,20,100,0.04020979020979021,0.17302923691454206,0.1726177085953263,-0.13023491878489526,check/call,0.17044470899468547,"[0, 1, 0, 0]",Flop,5,1,0,10,21,0.125,True,-0.6740000000000004
5,0,0,0,0,5,0,0,0,3,0,85,check,0.75,0,0,0,1,9H TH QS 4D,0,2,10,2,1,12,12,4,2,10,0,9,0,1,0,0,7,5,12,0,2798,0,0.2654280662536621,True,0,6,20180802170516727,Early,0,12,10,7S 5D,michael4,0,20,5900,2858,none,fold,SB,B,40,160,0.0,0.0,0.0,-0.04020979020979021,none,0.04020979020979021,"[0, 1, 0, 0]",Turn,5,0,0,10,21,0.0,True,-0.702627111401029
5,1,0,1,1,5,0,1,1,2,1,411,fold,0.75,0,0,20,1,9H TH QS 4D,0,2,10,2,1,12,12,4,2,10,0,9,0,1,0,0,7,5,12,0,2798,20,0.2530171871185303,False,0,6,20180802170516727,Early,0,12,10,7S 5D,michael4,20,20,2838,2838,any_raised,fold,SB,B,40,160,0.014598540145985401,0.11993924616901451,0.09887110622533697,-0.025611250063804807,check/call,0.04020979020979021,"[1, 0, 0, 0]",Turn,5,1,0,10,21,0.1,True,-0.702627111401029
5,3,2,0,0,5,0,2,0,5,0,60000.0,check,0.75,0,0,140,2,,,,,,,,,,,,0,9,0,0,0,0,9,3,12,0,2798,40,0.22320008277893066,False,0,6,20180802170516727,Early,0,9,3,3S 9D,michael4,40,40,5860,2885,any_called,trash,D,L,0,0,0.1413250000000005,0.34835649035865596,0.07792411875472502,0,none,,"[0, 1, 0, 0]",Deal,6,0,0,20,21,0.2222222222222222,True,0.1820000000000003
5,1,2,1,1,5,0,2,1,4,1,342,check,0.75,0,0,40,2,5D JD JH,0,0,0,2,2,11,11,5,2,11,0,9,0,0,0,0,9,3,12,0,2758,40,0.2615799903869629,False,0,6,20180802170516727,Early,1,11,9,3S 9D,michael4,40,40,5820,2865,any_raised,fold,D,L,40,200,0.0649122807017544,0.231312978580344,0.23145908613346353,-0.07641271929824611,none,0.1413250000000005,"[0, 1, 0, 0]",Flop,6,0,0,20,21,0.14285714285714285,True,-0.6760000000000004
