N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_sum,blind_level,board,board_aces,board_conn,board_conn_rank,board_faces,board_kind,board_kind_rank,board_rank1,board_rank2,board_suit,board_suit_rank,cards_aces,cards_category,cards_conn,cards_conn2,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_rank_sum,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_N,game_id,game_phase,hand_conn,hand_conn_rank,hand_score0,hand_score1,hand_score2,hand_suit,hand_suit_rank,hole,logic,maxBet,minBet,op_chips_max,op_chips_mean,op_chips_min,op_resp,play,position,position_feature,pot,pot_sum,prWin,prWinCond,prWinStd,prWin_adj,prWin_delta,prev_action,prev_prWin,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,stt_early_preflop,stt_late_preflop_allin,stt_middle_preflop,stt_preflop_pairs,tableNumber,thd_call,tight,tightness
8,1,0,0,0,8,0,0,0,8,0,60000.0,fold,0.75,0,0,30,1,,,,,,,,,,,,0,9,0,0,0,0,11,5,16,0,3000,20,0.17122983932495117,False,0,8,20180806134809873,Early,1,11,0,11,5,1,11,5C JH,michael5,20,20,3000,2995.714285714286,2980,none,,1,E,0,0,0.10749907407407254,,0.3097467080491568,0.38255415082172395,0,none,,"[1, 0, 0, 0]",Deal,1,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",260,,,-0.8880000000000003
8,4,4,2,1,8,0,4,2,6,1,60000.0,fold,0.75,0,20,200,1,,,,,,,,,,,,0,9,0,0,0,0,9,6,15,1,2980,20,0.17865204811096191,False,20,8,20180806134809873,Early,1,9,0,9,6,2,9,6D 9D,michael5,40,20,5415,3125.0,2155,any_raised,,BB,B,0,0,0.1525250000000003,,0.359529031338222,0.472505837891018,0,none,,"[1, 0, 0, 0]",Deal,2,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",260,,,-0.8900000000000003
8,6,5,1,0,8,0,5,1,7,0,60000.0,check,0.75,0,10,130,1,,,,,,,,,,,,0,6,0,0,0,1,2,2,4,0,2970,10,0.15639400482177734,False,10,8,20180806134809873,Early,1,2,1,2,0,1,2,2S 2H,michael5,20,10,5375,3117.5,2075,any_called,,SB,B,0,0,0.13580925925926035,,0.34258590799785005,0.4413958891933427,0,none,,"[0, 1, 0, 0]",Deal,3,0,0,10,"('fold', 0)","('allin', 2970)","('fold', 0)","('call', 0)",260,,,-0.8920000000000003
8,0,0,0,0,7,0,0,0,7,0,81,check,0.75,0,0,0,1,KC 7H TD,0,0,0,2,1,13,13,7,1,13,0,6,0,0,0,1,2,2,4,0,2960,0,0.27885985374450684,True,0,8,20180806134809873,Early,0,0,1,2,13,2,7,2S 2H,michael5,0,20,5375,3117.5,2075,none,fold/check,SB,B,20,140,0.037037037037037035,0.15641202145807406,0.18885257457751053,0.14241677365128796,-0.09877222222222332,none,0.13580925925926035,"[0, 1, 0, 0]",Flop,3,0,0,10,,,,,260,0.0,True,-0.5580000000000003
8,5,4,1,1,7,0,5,1,6,1,428,fold,0.75,0,0,100,1,KC 7H TD,0,0,0,2,1,13,13,7,1,13,0,6,0,0,0,1,2,2,4,0,2960,20,0.25342416763305664,False,0,8,20180806134809873,Early,0,0,1,2,13,2,7,2S 2H,michael5,20,20,5355,3149.0,2055,any_raised,fold/check,SB,B,20,140,0.0794392523364486,0.06245647816236053,0.270423108340753,0.23033534679058887,-0.05637000692281176,check/call,0.13580925925926035,"[1, 0, 0, 0]",Flop,3,1,0,10,,,,,260,0.07692307692307693,True,-0.5580000000000003
8,4,3,2,0,8,0,3,2,6,0,60000.0,fold,0.75,0,0,90,1,,,,,,,,,,,,0,9,0,0,0,0,13,4,17,0,2960,20,0.17951321601867676,False,0,8,20180806134809873,Early,1,13,0,13,4,1,13,KH 4C,michael5,20,20,5345,3167.0,1995,any_called,,D,L,0,0,0.1218787037037036,,0.3271456637145118,0.4143469270644773,0,none,,"[1, 0, 0, 0]",Deal,4,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",260,,,-0.8940000000000003
8,4,3,0,1,8,0,3,0,8,1,60000.0,bet,0.75,160,0,190,1,,,,,,,,,,,,0,2,0,0,1,1,11,11,22,0,2960,40,0.17995285987854004,False,0,8,20180806134809873,Early,1,11,1,11,0,1,11,JC JD,michael5,40,40,5295,2978.5714285714284,1815,any_raised,,5,L,0,0,0.2500810185185098,,0.4330594678508421,0.6381023017128644,0,none,,"[0, 0, 1, 160]",Deal,5,0,0,10,"('reraise', 160)","('allin', 2960)","('raise', 80)","('raise', 160)",260,,,-0.8960000000000004
8,5,8,1,2,8,0,8,1,7,3,60000.0,bet,0.75,640,160,1960,1,,,,,,,,,,,,0,2,0,0,1,1,11,11,22,0,2800,160,0.17229008674621582,False,0,8,20180806134809873,Early,1,11,1,11,0,1,11,JC JD,michael5,320,160,5135,2847.5,1535,any_reraised,,5,L,0,0,0.2500810185185098,,0.4330594678508421,0.6381023017128644,0,bet/raise/allin,,"[0, 0, 1, 640]",Deal,5,0,1,10,"('reraise', 640)","('allin', 2800)","('call', 0)","('fold', 0)",260,,,-0.8960000000000004
8,3,2,0,1,4,0,2,0,4,1,327,bet,0.75,80,0,60,1,3H 3S 6C,0,0,0,0,2,3,6,3,1,6,0,2,0,0,1,1,11,11,22,0,2160,20,0.27806997299194336,False,0,8,20180806134809873,Early,0,0,2,11,3,2,11,JC JD,michael5,20,20,2400,2138.3333333333335,1915,any_raised,raise/allin,5,L,800,4040,0.5489296636085627,0.822973013098013,0.495290127135098,0.8285809359023275,0.2988486450900529,none,0.2500810185185098,"[0, 0, 0.8, 80]",Flop,5,0,0,10,,,,,260,0.0048543689320388345,True,-0.5620000000000003
8,3,2,0,1,4,0,2,0,4,1,349,allin,0.75,0,0,60,1,3H 3S 6C JS,0,0,0,1,2,3,11,3,2,11,0,2,0,0,1,1,11,11,22,0,2080,20,0.3633279800415039,False,0,8,20180806134809873,Early,0,0,6,11,3,2,11,JC JD,michael5,20,20,2320,2058.3333333333335,1835,any_raised,raise/allin,5,L,880,4360,0.9828080229226361,0.9532967456520087,0.12998620311992845,1.0565106253473993,0.4338783593140735,none,0.5489296636085627,"[0, 0, 0.5, 80]",Turn,5,0,0,10,,,,,260,0.0045045045045045045,True,-0.5670032715453911
