N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_sum,blind_level,board,board_aces,board_conn,board_conn_rank,board_faces,board_kind,board_kind_rank,board_rank1,board_rank2,board_suit,board_suit_rank,cards_aces,cards_category,cards_conn,cards_conn2,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_rank_sum,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_N,game_id,game_phase,hand_conn,hand_conn_rank,hand_score0,hand_score1,hand_score2,hand_suit,hand_suit_rank,hole,logic,made_hand,maxBet,minBet,op_chips_max,op_chips_mean,op_chips_min,op_resp,play,position,position_feature,pot,pot_sum,prWin,prWinCond,prWinStd,prWin_adj,prWin_delta,prev_action,prev_prWin,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,stt_early_preflop,stt_late_preflop_allin,stt_middle_preflop,stt_preflop_pairs,tableNumber,thd_call,tightness
6,2,1,1,1,6,0,1,1,5,1,60000.0,fold,0.75,0,0,4096,1,,,,,,,,,,,,1,5,0,0,1,0,14,10,24,0,3000,2033,0.1535191535949707,False,0,6,20180807175422025,Early,1,14,0,14,10,1,14,TC AD,michael6,,2033,2033,2990,1976.0,967,any_raised,limp,D,L,0,0,0.2437969576719436,,0.42937163518547444,0.3897833136350049,0,none,,"[1, 0, 0, 0]",Deal,1,0,0,10,"('fold', 0)","('allin', 3000)","('fold', 0)","('fold', 0)",126,,-0.34
5,1,0,1,0,5,0,0,1,4,0,60000.0,fold,0.75,0,0,30,1,,,,,,,,,,,,0,9,0,0,0,0,11,8,19,0,3000,20,0.15657401084899902,False,0,6,20180807175422025,Early,1,11,0,11,8,1,11,JS 8H,michael6,,20,20,8053,4674.333333333333,2980,all_folded,limp,2,E,0,0,0.2195744708994028,,0.41395835856840735,0.3156128100872733,0,none,,"[1, 0, 0, 0]",Deal,2,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",126,,-0.232
5,1,0,0,0,5,0,0,0,5,0,60000.0,fold,0.75,0,0,30,1,,,,,,,,,,,,1,7,0,0,0,0,14,4,18,0,3000,20,0.1573030948638916,False,0,6,20180807175422025,Early,1,14,0,14,4,1,14,4S AC,michael6,,20,20,8053,3742.5,927,none,limp,1,E,0,0,0.2351748677247775,,0.42410806325205713,0.3344161545257589,0,none,,"[1, 0, 0, 0]",Deal,3,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",126,,-0.234
5,3,2,2,0,5,0,2,2,3,0,60000.0,check,0.75,0,20,70,1,,,,,,,,,,,,0,9,0,0,0,0,9,2,11,1,2980,0,0.1416168212890625,False,20,6,20180807175422025,Early,1,9,0,9,2,2,9,9H 2H,michael6,,20,0,8033,5832.0,3631,any_called,limp,BB,B,0,0,0.1805818783068476,,0.38467137082712366,0.2713643218220488,0,none,,"[0, 1, 0, 0]",Deal,4,0,0,10,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",126,,-0.23600000000000002
5,0,0,0,0,3,0,0,0,3,0,89,check,0.75,0,0,0,1,4D 5S 8H,0,2,5,0,1,8,8,4,1,4,0,9,0,0,0,0,9,2,11,1,2980,0,0.24002790451049805,True,0,6,20180807175422025,Early,1,9,0,9,8,3,9,9H 2H,michael6,none,0,20,8033,5832.0,3631,none,limp,BB,B,20,70,0.21910112359550563,0.030559990662931844,0.4033222718156757,0.31175588022608525,0.03851924528865802,none,0.1805818783068476,"[0, 1, 0, 0]",Flop,4,0,0,10,,,,,126,0.0,-0.22399999999999998
5,2,1,0,1,3,0,2,0,3,1,428,check,0.75,0,0,40,1,4D 5S 8H,0,2,5,0,1,8,8,4,1,4,0,9,0,0,0,0,9,2,11,1,2980,20,0.2599680423736572,False,0,6,20180807175422025,Early,1,9,0,9,8,3,9,9H 2H,michael6,none,20,20,8013,5812.0,3611,any_raised,limp,BB,B,20,70,0.2558411214953271,0.03523629148629149,0.43026669950339635,0.35357970198515903,0.07525924318847951,check/call,0.1805818783068476,"[0, 1, 0, 0]",Flop,4,1,0,10,,,,,126,0.15384615384615385,-0.22399999999999998
5,0,0,0,0,3,0,0,0,3,0,83,check,0.75,0,0,0,1,4D 5S 8H 4C,0,2,5,0,2,4,8,4,1,4,0,9,0,0,0,0,9,2,11,1,2960,0,0.24646687507629395,True,0,6,20180807175422025,Early,1,9,1,4,9,3,9,9H 2H,michael6,none,0,20,8013,5812.0,3611,none,limp,BB,B,40,130,0.03614457831325301,0.042434343434343436,0.1866497998172249,0.08649474058211595,-0.2196965431820741,none,0.2558411214953271,"[0, 1, 0, 0]",Turn,4,0,0,10,,,,,126,0.0,-0.26975738692550366
5,2,1,0,1,3,0,2,0,3,1,403,check,0.75,0,0,40,1,4D 5S 8H 4C,0,2,5,0,2,4,8,4,1,4,0,9,0,0,0,0,9,2,11,1,2960,20,0.26087403297424316,False,0,6,20180807175422025,Early,1,9,1,4,9,3,9,9H 2H,michael6,none,20,20,7993,5792.0,3591,any_raised,limp,BB,B,40,130,0.0707196029776675,0.05528257853257853,0.2527000169147714,0.13987349714239636,-0.18512151851765962,check/call,0.2558411214953271,"[0, 1, 0, 0]",Turn,4,1,0,10,,,,,126,0.10526315789473684,-0.26975738692550366
5,0,0,0,0,3,0,0,0,3,0,71,check,0.75,0,0,0,1,4D 5S 8H 4C TD,0,2,5,1,2,4,10,4,2,10,0,9,0,0,0,0,9,2,11,1,2940,0,0.27391791343688965,True,0,6,20180807175422025,Early,2,10,1,4,10,3,9,9H 2H,michael6,none,0,20,7993,5792.0,3591,none,limp,BB,B,60,190,0.0,0.010274891774891777,0.0,0.0,-0.0707196029776675,none,0.0707196029776675,"[0, 1, 0, 0]",River,4,0,0,10,,,,,126,0.0,-0.31800667850575903
5,1,1,1,1,5,1,1,1,4,1,60000.0,bet,0.75,80,10,2990,1,,,,,,,,,,,,0,2,0,0,1,1,12,12,24,0,2930,2930,0.1537768840789795,False,10,6,20180807175422025,Early,1,12,1,12,0,1,12,QD QH,michael6,,3000,2990,7973,3911.3333333333335,0,any_raised,stt_middle,SB,B,0,0,0.4523988095234611,,0.4977289690837939,0.5708583041654041,0,none,,"[0, 0, 1, 80]",Deal,5,0,0,10,"('reraise', 2930)","('fold', 0)","('raise', 80)","('fold', 0)",126,,-0.23800000000000002
