tableNumber,game_id,round_id,smallBlind,roundName,playerName,isHuman,isOnline,chips,reloadCount,position,cards,board,roundBet,bet,action,amount
77,20180810123113157,1,10,Deal,381433593db7c99043e5d1c6432f4895,False,True,2980,0,1,,,0,20,call,20
77,20180810123113157,1,10,Deal,2248d29d6f988661936a8858d2ae6d15,False,True,2980,0,2,,,0,20,call,20
77,20180810123113157,1,10,Deal,587954b4a5fc64a32167424fa3ea4e91,False,True,3000,0,3,,,0,0,fold,0
77,20180810123113157,1,10,Deal,1c7e0ca445fee61ec9caabb5003b044b,False,True,2980,0,4,,,0,20,call,20
77,20180810123113157,1,10,Deal,71b3f31e76d1a5888a5652aba6474197,False,True,2980,0,5,,,0,20,call,20
77,20180810123113157,1,10,Deal,5341d50cb6e7dabf46bff680cc30d756,True,True,2960,0,D,,,0,40,raise,40
77,20180810123113157,1,10,Deal,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,2990,0,SB,2D AC,,0,10,fold,0
77,20180810123113157,1,10,Deal,2744d6b05e053a547ce979c6c2cd0130,False,True,2980,0,BB,,,0,20,fold,0
77,20180810123113157,1,10,Deal,381433593db7c99043e5d1c6432f4895,False,True,2960,0,1,,,0,40,call,20
77,20180810123113157,1,10,Deal,2248d29d6f988661936a8858d2ae6d15,False,True,2960,0,2,,,0,40,call,20
77,20180810123113157,1,10,Deal,1c7e0ca445fee61ec9caabb5003b044b,False,True,2960,0,4,,,0,40,call,20
77,20180810123113157,1,10,Deal,71b3f31e76d1a5888a5652aba6474197,False,True,2960,0,5,,,0,40,call,20
77,20180810123113157,1,10,Flop,381433593db7c99043e5d1c6432f4895,False,True,2940,0,1,,7H 9D 2H,40,20,bet,20
77,20180810123113157,1,10,Flop,2248d29d6f988661936a8858d2ae6d15,False,True,2940,0,2,,7H 9D 2H,40,20,call,20
77,20180810123113157,1,10,Flop,1c7e0ca445fee61ec9caabb5003b044b,False,True,2940,0,4,,7H 9D 2H,40,20,call,20
