N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_sum,blind_level,board,board_aces,board_conn,board_conn_rank,board_faces,board_kind,board_kind_rank,board_rank1,board_rank2,board_suit,board_suit_rank,cards_aces,cards_category,cards_conn,cards_conn2,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_rank_sum,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_N,game_id,game_phase,hand_conn,hand_conn_rank,hand_score0,hand_score1,hand_score2,hand_suit,hand_suit_rank,hole,logic,made_hand,maxBet,minBet,op_chips_max,op_chips_mean,op_chips_min,op_resp,play,position,position_feature,pot,pot_sum,prWin,prWinCond,prWinStd,prWin_adj,prWin_delta,prev_action,prev_prWin,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,stake,stt_early_preflop,stt_late_preflop_allin,stt_middle_preflop,stt_preflop_pairs,tableNumber,thd_call,tightness
8,1,4,1,1,8,0,4,1,7,1,60000.0,fold,0.75,0,10,150,1,,,,,,,,,,,,1,7,0,0,0,0,14,2,16,0,2990,30,0.3603200912475586,False,10,8,20180810123113157,Early,1,14,0,14,2,1,14,2D AC,michael6,,40,30,2980,2976.6666666666665,2960,any_raised,limp,SB,B,0,0,0.13719166666666893,0.05970115258636963,0.34404957965951727,0.31884984472689404,0,none,,"[1, 0, 0, 0]",Deal,1,0,0,10,3000.0,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",77,,-0.528
8,1,4,0,1,8,0,4,0,8,1,60000.0,fold,0.75,0,0,190,1,,,,,,,,,,,,0,9,0,0,0,0,9,5,14,0,2990,80,0.340029239654541,False,0,8,20180810123113157,Early,1,9,0,9,5,1,9,9D 5S,michael6,,80,80,3310,2974.285714285714,2780,any_raised,limp,D,L,0,0,0.09849490740740643,0.0024264705882352943,0.2979826515457114,0.2564257127266335,0,none,,"[1, 0, 0, 0]",Deal,2,0,0,10,3390.0,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",77,,-0.53
8,3,2,2,0,8,0,2,2,6,0,60000.0,fold,0.75,0,0,70,1,,,,,,,,,,,,0,9,0,0,0,0,8,3,11,0,2990,20,0.40388917922973633,False,0,8,20180810123113157,Early,1,8,0,8,3,1,8,3S 8D,michael6,,20,20,3526,2982.8,2728,any_called,limp,5,L,0,0,0.07839537037037002,0.0,0.26879273850843244,0.22139310725685607,0,none,,"[1, 0, 0, 0]",Deal,3,0,0,10,3546.0,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",77,,-0.532
8,4,3,0,0,8,0,3,0,8,0,60000.0,bet,0.75,40,0,90,1,,,,,,,,,,,,1,6,0,0,0,0,14,3,17,1,2990,20,0.348952054977417,False,0,8,20180810123113157,Early,1,14,0,14,3,2,14,AS 3S,michael6,,20,20,3476,2988.5714285714284,2740,any_called,steal,4,M,0,0,0.18463055555555885,0.44046331068484174,0.38799756894960635,0.3918212573746487,0,none,,"[0, 0, 1, 40.0]",Deal,4,0,0,10,3486.0,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",77,,-0.534
8,2,1,2,1,6,0,1,2,4,1,387,bet,0.75,40,0,40,1,6S 4H 2S,0,0,0,0,1,6,6,2,2,6,1,6,0,0,0,0,14,3,17,1,2950,20,0.764819860458374,False,0,8,20180810123113157,Early,0,0,0,14,6,4,14,AS 3S,michael6,,20,20,2930,2866.0,2828,any_raised,steal,4,M,40,260,0.3979328165374677,0.11270904095904095,0.4756382345836361,0.5154059620110503,0.21330226098190885,none,0.18463055555555885,"[0, 0, 1, 40.0]",Flop,4,0,0,10,2930.0,,,,,77,,-0.24
8,1,0,1,1,6,0,0,1,2,1,356,bet,0.75,40,0,20,1,6S 4H 2S 7D,0,2,7,0,1,7,7,2,2,6,1,6,0,0,0,0,14,3,17,1,2910,20,0.42053675651550293,False,0,8,20180810123113157,Early,1,7,0,14,7,4,14,AS 3S,michael6,,20,20,2788,2788.0,2788,any_raised,steal,4,M,80,380,0.25070224719101125,0.26157551697528475,0.4291431377659199,0.36884566421964954,-0.14723056934645645,none,0.3979328165374677,"[0, 0, 1, 40.0]",Turn,4,0,0,10,2808.0,,,,,77,,-0.27258578187738175
8,1,0,0,1,6,0,0,0,2,1,322,bet,0.75,40,0,20,1,6S 4H 2S 7D QD,0,2,7,1,1,12,12,2,2,12,1,6,0,0,0,0,14,3,17,1,2870,20,0.39972519874572754,False,0,8,20180810123113157,Early,1,7,0,14,12,4,14,AS 3S,michael6,,20,20,2748,2748.0,2748,any_raised,steal,4,M,120,460,0.0,0.2258585719835719,0.0,0.0,-0.25070224719101125,none,0.25070224719101125,"[0, 0, 1, 40.0]",River,4,0,0,10,2768.0,,,,,77,,-0.31693655312129715
8,1,0,1,1,8,0,0,1,7,1,60000.0,fold,0.75,0,0,110,1,,,,,,,,,,,,0,9,0,0,0,0,13,2,15,0,2830,80,0.5268001556396484,False,0,8,20180810123113157,Early,1,13,0,13,2,1,13,KC 2S,michael6,,80,80,3446,3040.0,2740,any_raised,limp,3,M,0,0,0.11444074074074087,0.019004035050792734,0.318345814483953,0.2850740973041397,0,none,,"[1, 0, 0, 0]",Deal,5,0,0,10,3446.0,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",77,,-0.536
8,1,0,0,1,8,0,0,0,8,1,60000.0,fold,0.75,0,0,110,1,,,,,,,,,,,,0,7,0,0,1,0,13,10,23,0,2830,80,0.43417787551879883,False,0,8,20180810123113157,Early,1,13,0,13,10,1,13,KC TD,michael6,,80,80,3366,3008.5714285714284,2740,any_raised,limp,2,E,0,0,0.18160324074074427,0.08313521062411906,0.3855171898803003,0.38901148889634585,0,none,,"[1, 0, 0, 0]",Deal,6,0,0,10,3388.0,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",77,,-0.538
8,1,0,0,0,8,0,0,0,8,0,60000.0,fold,0.75,0,0,30,1,,,,,,,,,,,,0,9,0,0,0,0,10,7,17,0,2830,20,0.66513991355896,False,0,8,20180810123113157,Early,1,10,0,10,7,1,10,7D TS,michael6,,20,20,3348,3020.0,2740,none,limp,1,E,0,0,0.125990277777776,0.0002565522409585606,0.3318384059798607,0.30518301700690076,0,none,,"[1, 0, 0, 0]",Deal,7,0,0,10,3348.0,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",77,,-0.54
8,7,6,1,0,8,0,6,1,7,0,60000.0,check,0.75,0,20,140,1,,,,,,,,,,,,0,9,0,0,0,0,12,4,16,1,2810,0,0.34249377250671387,False,20,8,20180810123113157,Early,1,12,0,12,4,2,12,4C QC,michael6,,20,0,3386,3020.0,2720,any_called,limp,BB,B,0,0,0.15078796296296426,0.0037689471547573527,0.35784207856042305,0.34473836954271353,0,none,,"[0, 1, 0, 0]",Deal,8,0,0,10,3406.0,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",77,,-0.542
8,1,0,0,1,7,0,0,0,7,1,324,bet,0.75,871,0,20,1,3H QH TC,0,0,0,2,1,12,12,3,2,12,0,9,0,0,0,0,12,4,16,1,2810,20,0.4363667964935303,False,0,8,20180810123113157,Early,0,0,1,12,10,3,12,4C QC,michael6,,20,20,3386,3016.6666666666665,2720,any_raised,steal,BB,B,20,140,0.3333333333333333,0.6029922250259987,0.45643546458763845,0.45024165448950915,0.18254537037036905,none,0.15078796296296426,"[0, 0, 1, 871.0]",Flop,8,0,0,10,3386.0,,,,,77,,-0.248
8,2,1,3,3,7,2,1,3,4,4,671,fold,0.75,0,871,7312,1,3H QH TC,0,0,0,2,1,12,12,3,2,12,0,9,0,0,0,0,12,4,16,1,1939,1939,0.40858006477355957,False,0,8,20180810123113157,Early,0,0,1,12,10,3,12,4C QC,michael6,marginal,3308,2437,1849,616.3333333333334,0,any_reraised,fold,BB,B,20,140,0.3152011922503726,0.38611721938192534,0.45116994435257224,0.4304209888907202,0.1644132292874083,bet/raise/allin,0.15078796296296426,"[1, 0, 0, 0]",Flop,8,0,1,10,3308.0,,,,,77,0.20647428388882974,-0.248
6,1,1,2,1,6,0,1,2,4,1,60000.0,fold,0.75,0,20,180,2,,,,,,,,,,,,0,9,0,0,0,0,9,2,11,0,1919,60,0.649669885635376,False,20,8,20180810123113157,Early,1,9,0,9,2,1,9,2S 9D,michael6,,80,60,9759,5245.666666666667,2890,any_raised,limp,SB,B,0,0,0.1116354497354576,0.00017382164475850364,0.3149174115507425,0.21366869107789815,0,none,,"[1, 0, 0, 0]",Deal,9,0,0,20,9799.0,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",77,,-0.324
6,2,1,2,0,6,0,1,2,4,0,60000.0,bet,0.75,632,0,100,2,,,,,,,,,,,,1,3,0,0,1,0,14,12,26,0,1919,40,0.35167622566223145,False,0,8,20180810123113157,Early,1,14,0,14,12,1,14,QS AD,michael6,,40,40,9519,5245.0,2870,any_called,steal,D,L,0,0,0.2736453703703646,0.9600214526691683,0.4458290946598602,0.41898565522947906,0,none,,"[0, 0, 1, 632.0]",Deal,10,0,0,20,9559.0,"('raise', 200)","('allin', 1919)","('raise', 160)","('fold', 0)",77,,-0.326
6,2,1,0,1,3,0,1,0,3,1,368,check,0.75,0,0,80,2,2S 7S TD,0,0,0,1,1,10,10,2,2,7,1,3,0,0,1,0,14,12,26,0,1287,40,0.4317169189453125,False,0,8,20180810123113157,Early,0,0,0,14,12,3,12,QS AD,michael6,none,40,40,2714,2466.0,2218,any_raised,call,D,L,632,1936,0.27853260869565216,0.2664850686641432,0.44447210875195775,0.39149839185661706,0.004887238325287535,none,0.2736453703703646,"[0, 1, 0, 0]",Flop,10,0,0,20,2754.0,,,,,77,0.019455252918287938,-0.252
6,2,1,0,1,3,0,1,0,3,1,380,check,0.75,0,0,80,2,2S 7S TD 3C,0,2,3,1,1,10,10,2,2,7,1,3,0,0,1,0,14,12,26,0,1247,40,0.4654097557067871,False,0,8,20180810123113157,Early,0,0,0,14,12,3,12,QS AD,michael6,none,40,40,2674,2426.0,2178,any_raised,call,D,L,672,2056,0.2723684210526316,0.24709003251650308,0.4429561829971467,0.392423445644289,-0.006164187643020569,none,0.27853260869565216,"[0, 1, 0, 0]",Turn,10,0,0,20,2714.0,,,,,77,0.01838235294117647,-0.26967841992524677
6,0,2,0,0,3,0,2,0,3,0,306,check,0.75,0,0,0,2,2S 7S TD 3C 9H,0,2,10,1,1,10,10,2,2,7,1,3,0,0,1,0,14,12,26,0,1207,0,0.4462928771972656,True,0,8,20180810123113157,Early,1,10,0,14,12,3,12,QS AD,michael6,none,0,40,2674,2426.0,2178,any_called,call,D,L,712,2176,0.08496732026143791,0.24041882064443976,0.2788330589242031,0.17186848060105603,-0.18740110079119368,none,0.2723684210526316,"[0, 1, 0, 0]",River,10,0,0,20,2674.0,,,,,77,0.0,-0.31166017643281296
6,1,0,1,1,6,0,0,1,5,1,60000.0,bet,0.75,200,0,220,2,,,,,,,,,,,,1,7,0,0,0,0,14,9,23,0,1207,160,0.35645627975463867,False,0,8,20180810123113157,Early,1,14,0,14,9,1,14,9D AS,michael6,,160,160,4354,3263.5,2654,any_raised,steal,3,L,0,0,0.21939880952379487,0.455996787452521,0.41383930686117343,0.3551381021742598,0,none,,"[0, 0, 1, 200.0]",Deal,11,0,0,20,4354.0,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",77,,-0.328
6,2,1,0,1,4,0,1,0,4,1,314,fold,0.75,0,0,146,2,TH KS 7H,0,0,0,2,1,13,13,7,2,10,1,7,0,0,0,0,14,9,23,0,1007,73,0.416121244430542,False,0,8,20180810123113157,Early,1,14,0,14,13,2,10,9D AS,michael6,none,73,73,4154,3250.0,2401,any_raised,limp,3,L,200,840,0.1337579617834395,0.058364405159683816,0.32929587237941765,0.2202175505945324,-0.08564084774035538,none,0.21939880952379487,"[1, 0, 0, 0]",Flop,11,0,0,20,4154.0,,,,,77,0.06893295561850803,-0.254
6,2,1,0,0,6,0,1,0,6,0,60000.0,fold,0.75,0,0,100,2,,,,,,,,,,,,0,9,0,0,0,0,4,2,6,0,1007,40,0.43598008155822754,False,0,8,20180810123113157,Early,1,4,0,4,2,1,4,2C 4D,michael6,,40,40,9479,4578.6,2718,any_called,limp,2,E,0,0,0.10847129629630096,0.0,0.31097471629716306,0.2110929526743648,0,none,,"[1, 0, 0, 0]",Deal,12,0,0,20,9519.0,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",77,,-0.33
6,1,0,0,0,6,0,0,0,6,0,60000.0,fold,0.75,0,0,60,2,,,,,,,,,,,,0,9,0,0,0,0,10,2,12,1,1007,40,0.37031102180480957,False,0,8,20180810123113157,Early,1,10,0,10,2,2,10,TC 2C,michael6,,40,40,9459,4586.6,2718,none,limp,1,E,0,0,0.16185992063492052,0.0003093270158718545,0.3683222593422474,0.28414291073654663,0,none,,"[1, 0, 0, 0]",Deal,13,0,0,20,9479.0,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",77,,-0.332
6,1,2,2,1,6,0,2,2,4,1,60000.0,fold,0.75,0,40,200,2,,,,,,,,,,,,0,9,0,0,0,0,13,2,15,0,967,40,0.4002721309661865,False,40,8,20180810123113157,Early,1,13,0,13,2,1,13,2D KS,michael6,,80,40,9399,5320.333333333333,3175,any_raised,limp,BB,B,0,0,0.15489960317460422,0.04221597307417234,0.3618089497386077,0.2757437923872992,0,none,,"[1, 0, 0, 0]",Deal,14,0,0,20,9439.0,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",77,,-0.334
6,2,1,2,1,6,0,1,2,4,1,60000.0,fold,0.75,0,40,2054,3,,,,,,,,,,,,0,9,0,0,0,0,11,4,15,0,927,927,0.36811184883117676,False,40,8,20180810123113157,Early,1,11,0,11,4,1,11,4S JC,michael6,,980,940,4074,2825.3333333333335,2115,any_raised,limp,SB,B,0,0,0.1405583333333437,0.006202332593717149,0.34756537264793275,0.2573402985430491,0,none,,"[1, 0, 0, 0]",Deal,15,0,0,40,4154.0,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",77,,-0.336
6,1,1,1,1,6,1,1,1,5,1,60000.0,fold,0.75,0,0,852,3,,,,,,,,,,,,0,9,0,0,0,0,9,4,13,0,927,652,0.28511476516723633,False,0,8,20180810123113157,Early,1,9,0,9,4,1,9,9S 4D,michael6,,652,652,9719,4875.75,0,any_raised,limp,D,L,0,0,0.11928756613757588,4.5024763619991e-06,0.3241265843810861,0.228842351658383,0,none,,"[1, 0, 0, 0]",Deal,16,0,0,40,9799.0,"('fold', 0)","('fold', 0)","('fold', 0)","('fold', 0)",77,,-0.338
