tableNumber,game_id,round_id,smallBlind,playerName,isHuman,isOnline,isSurvive,chips,reloadCount,folded,allIn,position,cards,board,rank,message,winMoney
150,20180810125958249,1,10,8c55ef579f68a40624f9c00488044e9c,False,True,True,2940,0,True,False,D,AD 5D,7D 9D 8C QS 6D,123.214,Flush,0.0
150,20180810125958249,1,10,e55c711e6dbac6abb296dd1379310b58,False,True,True,3260,0,False,True,SB,TS QC,7D 9D 8C QS 6D,118.0,Straight,3260.0
150,20180810125958249,1,10,1c7e0ca445fee61ec9caabb5003b044b,False,True,True,2920,0,True,False,BB,4H 8D,7D 9D 8C QS 6D,15.0592,Pair,0.0
150,20180810125958249,1,10,4e0879c5e51ac597357450b296c5bc3b,False,True,True,2920,0,True,False,1,4S 9C,7D 9D 8C QS 6D,16.056,Pair,0.0
150,20180810125958249,1,10,71b3f31e76d1a5888a5652aba6474197,False,True,True,2960,0,True,False,2,JH 2C,7D 9D 8C QS 6D,6.0368,High Card,0.0
150,20180810125958249,1,10,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,True,3000,0,True,False,3,7H TD,7D 9D 8C QS 6D,118.0,Straight,0.0
150,20180810125958249,2,10,8c55ef579f68a40624f9c00488044e9c,False,True,True,2920,0,True,False,3,QD 3H,8H QC 9H AS 6H,19.2144,Pair,0.0
150,20180810125958249,2,10,e55c711e6dbac6abb296dd1379310b58,False,True,True,3580,0,False,False,D,QS 9S,8H QC 9H AS 6H,74.2048,Two Pair,460.0
150,20180810125958249,2,10,1c7e0ca445fee61ec9caabb5003b044b,False,True,True,2820,0,True,False,SB,TC KS,8H QC 9H AS 6H,8.1728,High Card,0.0
150,20180810125958249,2,10,4e0879c5e51ac597357450b296c5bc3b,False,True,True,2780,0,False,False,BB,TS 8D,8H QC 9H AS 6H,15.2688,Pair,0.0
150,20180810125958249,2,10,71b3f31e76d1a5888a5652aba6474197,False,True,True,2900,0,True,False,1,JC 7H,8H QC 9H AS 6H,8.0864,High Card,0.0
150,20180810125958249,2,10,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,True,3000,0,True,False,2,9D 2C,8H QC 9H AS 6H,16.2592,Pair,0.0
150,20180810125958249,3,10,8c55ef579f68a40624f9c00488044e9c,False,True,True,2880,0,True,False,2,QD 5D,8D 4D 6C AC JC,8.0808,High Card,0.0
150,20180810125958249,3,10,e55c711e6dbac6abb296dd1379310b58,False,True,True,3580,0,True,False,3,2S 7S,8D 4D 6C AC JC,8.0312,High Card,0.0
150,20180810125958249,3,10,1c7e0ca445fee61ec9caabb5003b044b,False,True,True,2980,0,False,False,D,8H TC,8D 4D 6C AC JC,15.2432,Pair,240.0
