round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,chips,reld,chips_total,pot,bet,cost_on_table,cost_to_call,cost_total,maxBet_all,N_maxBet_all,util_call,util_raise_coeff,limitBet,action,amount,cputime
1,0,3,2,deal,False,♠7 ♦A,,20000,0.4075083333332722,0.4913708290051526,1750,1,2750,0,80,80,0,80,80,2,81.50166666665444,-0.18498333333345562,367.942824625068,check,0,0.09083104133605957
1,1,4,2,deal,False,♥3 ♠4,,20000,0.17706785714286552,0.3817261205494055,980,0,2980,0,20,20,860,880,880,1,-396.0822142856923,-0.6458642857142689,149.0,fold,0,0.08970308303833008
2,0,4,3,deal,False,♣9 ♥4,,20000,0.1898000000000057,0.39214278011969506,1970,1,2970,0,10,10,860,870,870,1,-362.7239999999851,-0.6203999999999886,159.79155013323884,fold,0,0.09880185127258301
3,0,4,4,deal,False,♥8 ♣Q,,20000,0.2754500000000278,0.4467407497643488,1970,1,2970,0,0,0,870,870,870,1,-142.81199999992668,-0.44909999999994443,244.61701348591316,fold,0,0.10157299041748047
4,0,4,4,deal,False,♠J ♠9,,20000,0.3223190476190837,0.4673643965483577,1970,1,2970,0,0,0,20,20,20,1,2.5623333333358573,-0.3553619047618326,295.38774662270595,call,0,0.09793996810913086
4,1,4,3,deal,False,♠J ♠9,,20000,0.3223190476190837,0.4673643965483577,1950,1,2950,0,20,20,870,890,890,1,-6.184952380855634,-0.3553619047618326,293.3986035478056,fold,0,0.08219218254089355
5,0,4,2,deal,False,♥2 ♦2,,20000,0.22664821428573625,0.4186631118773461,1910,1,2910,0,40,40,850,890,890,1,-253.9151964285137,-0.5467035714285275,191.1879900640409,fold,0,0.0953669548034668
6,0,4,3,deal,False,♦Q ♥Q,,20000,0.5399553571428549,0.4984010126751218,1890,1,2890,0,20,20,850,870,870,1,570.0825892857085,0.07991071428570984,573.5875628914098,fold,0,0.08937478065490723
7,0,4,4,deal,False,♠9 ♥5,,20000,0.20773809523810052,0.4056882781458523,1890,1,2890,0,0,0,870,870,870,1,-315.33928571427157,-0.584523809523799,206.42857142857142,fold,0,0.09821009635925293
8,0,4,4,deal,False,♥7 ♣7,,20000,0.3505333333334051,0.47713699872843335,1890,1,2890,0,0,0,40,40,40,1,9.074666666676713,-0.29893333333318983,318.84651015451254,call,0,0.09012889862060547
8,1,4,3,deal,False,♥7 ♣7,,20000,0.3505333333334051,0.47713699872843335,1850,1,2850,0,40,40,870,910,910,1,93.96666666686394,-0.29893333333318983,314.43340966794494,fold,0,0.07481789588928223
9,0,4,3,deal,False,♦A ♥3,,20000,0.2830386904762243,0.4504750716407384,1770,1,2770,0,80,80,830,910,910,1,-34.661279761809624,-0.43392261904755136,235.59971931162738,fold,0,0.11152195930480957
10,0,4,3,deal,False,♥8 ♦6,,20000,0.2344696428571588,0.42366688498818883,1730,1,2730,0,40,40,439,479,479,1,-92.68833749997646,-0.5310607142856825,227.5,fold,0,0.09167313575744629
11,0,4,4,deal,False,♠2 ♥A,,20000,0.2792833333333657,0.44864702501584675,2730,2,2730,0,0,0,80,80,80,1,-1.5213833333242377,-0.4414333333332686,248.1818181818182,fold,0,0.09999585151672363
12,0,3,2,deal,False,♠4 ♠Q,,20000,0.35926388888884275,0.47978468819805825,2650,2,2650,0,80,80,0,80,80,2,71.85277777776855,-0.2814722222223145,331.25,check,0,0.09816718101501465
12,1,3,2,flop,True,♠4 ♠Q,♦A ♣2 ♦8,130,0.10384615384615385,0.29545371787859437,2650,2,2650,80,0,80,80,160,0,3,-42.61538461538461,-0.7923076923076923,331.25,fold,0,1.2378501892089844
13,0,3,2,deal,False,♦A ♠9,,20000,0.4308680555554926,0.4951977122900726,2570,2,2570,0,80,80,80,160,160,1,92.34722222219705,-0.13826388888901475,370.284751755518,call,0,0.09517097473144531
14,0,3,3,deal,False,♦3 ♣10,,20000,0.2709527777777561,0.4444517634032675,2810,2,2810,0,0,0,160,160,160,1,-8.266444444456567,-0.45809444444448777,401.42857142857144,fold,0,0.09025192260742188
16,0,3,2,deal,False,♦9 ♣10,,20000,0.36957638888883865,0.4826900471987428,2730,2,2730,0,160,160,160,320,320,1,135.6611111110709,-0.2608472222223227,455.0,call,0,0.09103894233703613
16,1,3,2,flop,True,♦9 ♣10,♥A ♣3 ♠6,158,0.05063291139240506,0.21924693766694647,2570,2,2570,320,0,320,320,640,0,3,-255.18987341772151,-0.8987341772151899,428.3333333333333,fold,0,1.214787244796753
17,0,3,3,deal,False,♥7 ♠J,,20000,0.33798611111106586,0.4730237835533052,2570,2,2570,0,0,0,320,320,320,1,58.544444444393775,-0.3240277777778683,514.0,call,0,0.09360980987548828
18,0,3,2,deal,False,♣4 ♦8,,20000,0.26294305555554104,0.44023176292795674,2890,2,2890,0,320,320,0,320,320,2,210.35444444443283,-0.4741138888889179,722.5,check,0,0.09549593925476074
18,1,3,2,flop,True,♣4 ♦8,♦K ♥Q ♦4,136,0.17647058823529413,0.366468699834621,2890,2,2890,320,0,320,320,640,0,3,-65.88235294117646,-0.6470588235294117,722.5,fold,0,1.2254359722137451
19,0,3,2,deal,False,♠8 ♦2,,20000,0.239602777777772,0.42684105549835244,2570,2,2570,0,320,320,320,640,640,1,63.36444444443521,-0.520794444444456,642.5,call,0,0.08864188194274902
19,1,3,2,flop,True,♠8 ♦2,♦6 ♥Q ♥6,139,0.17625899280575538,0.36083756826102503,2250,2,2250,640,0,640,640,1280,0,3,-188.7769784172662,-0.6474820143884892,750.0,fold,0,1.211616039276123
20,0,3,3,deal,False,♠8 ♦4,,20000,0.26294305555554104,0.44023176292795674,2250,2,2250,0,0,0,320,320,320,1,13.9376805555371,-0.4741138888889179,750.0,call,0,0.10282397270202637
21,0,3,2,deal,False,♦5 ♠9,,20000,0.28376111111108565,0.4508222964007967,2240,2,2240,0,640,640,0,640,640,2,454.017777777737,-0.4324777777778287,1120.0,check,0,0.0944070816040039
21,1,3,2,flop,True,♦5 ♠9,♥8 ♣Q ♠3,125,0.072,0.2584879107424562,2240,2,2240,640,0,640,640,1280,0,3,-432.64,-0.856,1120.0,fold,0,1.2172300815582275
22,0,3,2,deal,False,♣K ♦7,,20000,0.3789361111110561,0.48512218544103447,1600,2,1600,0,640,640,640,1280,1280,1,572.5955555553794,-0.24212777777788785,800.0,call,0,0.1025547981262207
23,0,3,3,deal,False,♣J ♠8,,20000,0.3594624999999492,0.479842902514704,3520,2,3520,0,0,0,680,680,680,1,283.35949999986394,-0.28107500000010155,1760.0,call,0,0.09619307518005371
23,1,3,3,flop,True,♣J ♠8,♥3 ♠4 ♦Q,236,0.1059322033898305,0.3077508272528379,2840,2,2840,680,0,680,1280,1960,0,3,-792.7118644067797,-0.788135593220339,1420.0,fold,0,1.2191591262817383
24,0,3,2,deal,False,♦A ♦8,,20000,0.4560041666666004,0.498060605397877,1560,2,1560,0,1280,1280,1280,2560,2560,1,1930.2693333328666,-0.08799166666679925,1560.0,call,0,0.09356021881103516
24,1,3,2,flop,True,♦A ♦8,♠4 ♥6 ♠8,119,0.3445378151260504,0.47521732825541824,280,2,280,2560,0,2560,280,2840,0,3,1897.4789915966385,-0.31092436974789917,280.0,call,0,1.216689109802246
25,0,3,2,deal,False,♥K ♦6,,20000,0.3685944444443909,0.48242365195865106,5040,2,5040,0,1280,1280,1280,2560,2560,1,1079.0044444441014,-0.26281111111121824,2520.0,call,0,0.09638810157775879
25,1,3,2,deal,False,♥K ♦6,,20000,0.3685944444443909,0.48242365195865106,3760,2,3760,0,2560,2560,760,3320,3320,1,1967.5988888884926,-0.26281111111121824,1880.0,call,0,0.07815790176391602
