round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,chips,reld,chips_total,pot,bet,cost_on_table,cost_to_call,cost_total,maxBet_all,N_maxBet_all,prWin_adj,limitBet,util_fold,util_call,util_raise_coeff,action,amount,cputime
1,0,5,5,deal,False,♠6 ♣3,,20000,0.14292261904763046,0.3499939199646136,1000,0,3000,0,0,0,870,870,870,1,0.12542292304939978,52.89431780468438,0,-536.3750246885966,-0.7491541539012004,fold,0,0.10286974906921387
2,0,5,5,deal,False,♦4 ♦A,,20000,0.2778472222222315,0.4479376556236609,1000,0,3000,0,0,0,870,870,870,1,0.25545033944104845,116.42396179285106,0,-195.61110387563212,-0.4890993211179031,fold,0,0.10059189796447754
3,0,5,5,deal,False,♥J ♦5,,20000,0.17526190476191633,0.38019096451801865,1000,0,3000,0,0,0,20,20,20,1,0.1562523565360154,67.05854889016982,0,-9.06233504247892,-0.6874952869279691,fold,0,0.10327506065368652
4,0,5,4,deal,False,♦Q ♣Q,,20000,0.452379365079332,0.49772710909669415,980,0,2980,0,20,20,349,369,369,1,0.4274930096244973,218.66303406411853,-20,132.78462184680848,-0.14501398075100536,call,0,0.10076594352722168
4,1,5,3,flop,True,♦Q ♣Q,♦2 ♠5 ♦6,145,0.3724137931034483,0.4834477839537072,631,0,2631,369,0,369,20,389,0,5,0.17903467952196545,112.70570997434059,0,251.4165741552996,-0.6419306409560691,call,0,1.2111737728118896
5,0,5,4,deal,False,♥7 ♣10,,20000,0.20175039682541002,0.4013068329921628,2097,0,4097,0,10,10,10,20,20,2,0.18168505517580189,108.07680714792113,-10,2.8996389174819335,-0.6366298896483962,call,0,0.10334897041320801
5,1,5,4,deal,False,♥7 ♣10,,20000,0.20175039682541002,0.4013068329921628,2087,0,4087,0,20,20,398,418,418,2,0.18168505517580189,107.81301215854373,0,-97.6746037943995,-0.6366298896483962,fold,0,0.08916187286376953
6,0,5,4,deal,False,♦4 ♠A,,20000,0.23396309523810555,0.4233489876032665,2087,0,4087,0,0,0,40,40,40,1,0.21279564585794222,128.6539167576841,0,-9.357426996456319,-0.5744087082841156,fold,0,0.09806585311889648
7,0,4,4,deal,False,♣2 ♥4,,20000,0.16427023809524574,0.3705206161219332,2087,0,4087,0,0,0,40,40,40,1,0.14574420728914908,84.70087230780072,0,-19.59581097951913,-0.7085115854217019,fold,0,0.10639691352844238
8,0,4,4,deal,False,♠7 ♠Q,,20000,0.2961672619047921,0.4565656742250893,2047,0,4047,0,40,40,0,40,40,4,0.27333897819353764,170.00449624957807,-40,43.73423651096602,-0.4533220436129247,check,0,0.1016550064086914
