round_id,playerName,chips,reloadCount,cards,hand,position,act_deal,bet_deal,act_flop,bet_flop,act_turn,bet_turn,act_river,bet_river,allIn,folded,rank,message,winMoney
1,(=^-Ω-^=),1000,0,♠8 ♣3,♠8 ♣3 ♣10 ♠10 ♦4 ♥A ♠4,,call,20.0,,,,,call,0,False,False,52.2048,Two Pair,60.0
1,ヽ(=^･ω･^=)丿,1000,0,♥3 ♠J,♥3 ♠J ♣10 ♠10 ♦4 ♥A ♠4,,fold,0.0,,,,,fold,0,False,True,52.2048,Two Pair,0.0
1,Chicken Dinner,1000,0,♠2 ♠9,♠2 ♠9 ♣10 ♠10 ♦4 ♥A ♠4,,fold,0.0,,,,,fold,0,False,True,52.2048,Two Pair,0.0
1,PCB,1000,0,♦J ♥Q,♦J ♥Q ♣10 ♠10 ♦4 ♥A ♠4,SB,call,20.0,,,,,fold,0,False,True,52.2048,Two Pair,0.0
1,A_P_T^T,1000,0,♦6 ♥2,♦6 ♥2 ♣10 ♠10 ♦4 ♥A ♠4,BB,call,20.0,,,,,fold,0,False,True,52.2048,Two Pair,0.0
2,(=^-Ω-^=),2040,1,♣3 ♥K,♣3 ♥K ♠A ♣7 ♠J ♥6 ♦8,BB,fold,20.0,,,,,fold,0,False,True,8.1328,High Card,0.0
2,ヽ(=^･ω･^=)丿,1000,0,♠4 ♥5,♠4 ♥5 ♠A ♣7 ♠J ♥6 ♦8,,fold,0.0,,,,,fold,0,False,True,116.0,Straight,0.0
2,Chicken Dinner,1000,0,♣Q ♠Q,♣Q ♠Q ♠A ♣7 ♠J ♥6 ♦8,,call,20.0,,,,,call,0,False,False,19.2336,Pair,60.0
2,PCB,980,0,♠7 ♥A,♠7 ♥A ♠A ♣7 ♠J ♥6 ♦8,,fold,0.0,,,,,fold,0,False,True,93.0256,Two Pair,0.0
2,A_P_T^T,980,0,♥2 ♥3,♥2 ♥3 ♠A ♣7 ♠J ♥6 ♦8,SB,call,20.0,,,,,fold,0,False,True,8.0312,High Card,0.0
3,(=^-Ω-^=),3020,2,♠J ♦4,♠J ♦4 ♣8 ♠4 ♠9 ♠7 ♦8,SB,call,20.0,bet,500.0,,,bet,500,False,False,39.0256,Two Pair,1580.0
3,ヽ(=^･ω･^=)丿,1000,0,♦9 ♣5,♦9 ♣5 ♣8 ♠4 ♠9 ♠7 ♦8,BB,call,20.0,call,500.0,,,fold,0,False,True,49.0016,Two Pair,0.0
3,Chicken Dinner,1040,0,♦10 ♥4,♦10 ♥4 ♣8 ♠4 ♠9 ♠7 ♦8,,call,20.0,fold,0.0,,,fold,0,False,True,39.0128,Two Pair,0.0
3,PCB,980,0,♥3 ♣Q,♥3 ♣Q ♣8 ♠4 ♠9 ♠7 ♦8,,fold,0.0,fold,0.0,,,fold,0,False,True,15.0592,Pair,0.0
3,A_P_T^T,960,0,♠3 ♦A,♠3 ♦A ♣8 ♠4 ♠9 ♠7 ♦8,,call,20.0,fold,0.0,,,fold,0,False,True,15.2128,Pair,0.0
4,(=^-Ω-^=),3580,2,♦2 ♥5,♦2 ♥5 ♣2 ♥9 ♠A ♥2 ♠5,,call,20.0,,,,,bet,500,False,False,126.0,Full House,580.0
4,ヽ(=^･ω･^=)丿,1480,1,♦J ♣6,♦J ♣6 ♣2 ♥9 ♠A ♥2 ♠5,SB,call,20.0,,,,,fold,0,False,True,9.2368,Pair,0.0
4,Chicken Dinner,1020,0,♣10 ♦7,♣10 ♦7 ♣2 ♥9 ♠A ♥2 ♠5,BB,call,20.0,,,,,fold,0,False,True,9.224,Pair,0.0
4,PCB,980,0,♥J ♥8,♥J ♥8 ♣2 ♥9 ♠A ♥2 ♠5,,call,20.0,,,,,fold,0,False,True,9.2368,Pair,0.0
4,A_P_T^T,940,0,♥4 ♦Q,♥4 ♦Q ♣2 ♥9 ♠A ♥2 ♠5,,fold,0.0,,,,,fold,0,False,True,9.2624,Pair,0.0
5,(=^-Ω-^=),3640,2,♠A ♣3,♠A ♣3 ♠Q ♣6 ♦J ♥9 ♠K,,call,20.0,,,,,bet,500,False,False,8.1856,High Card,560.0
5,ヽ(=^･ω･^=)丿,1460,1,♥2 ♦5,♥2 ♦5 ♠Q ♣6 ♦J ♥9 ♠K,,fold,0.0,,,,,fold,0,False,True,7.084,High Card,0.0
5,Chicken Dinner,1000,0,♣8 ♥10,♣8 ♥10 ♠Q ♣6 ♦J ♥9 ♠K,SB,call,20.0,,,,,fold,0,False,True,121.0,Straight,0.0
5,PCB,960,0,♣K ♣4,♣K ♣4 ♠Q ♣6 ♦J ♥9 ♠K,BB,call,20.0,,,,,fold,0,False,True,20.0832,Pair,0.0
5,A_P_T^T,940,0,♦Q ♠5,♦Q ♠5 ♠Q ♣6 ♦J ♥9 ♠K,,fold,0.0,,,,,fold,0,False,True,19.1344,Pair,0.0
6,(=^-Ω-^=),3680,2,♣J ♥Q,♣J ♥Q ♥9 ♥8 ♦Q ♠4 ♠9,,,,,,,,allin,3680,True,False,74.0256,Two Pair,3740.0
6,ヽ(=^･ω･^=)丿,1460,1,♦8 ♠6,♦8 ♠6 ♥9 ♥8 ♦Q ♠4 ♠9,,,,,,,,fold,0,False,True,49.0512,Two Pair,0.0
6,Chicken Dinner,980,0,♥3 ♦7,♥3 ♦7 ♥9 ♥8 ♦Q ♠4 ♠9,,,,,,,,fold,0,False,True,16.056,Pair,0.0
6,PCB,940,0,♥6 ♦J,♥6 ♦J ♥9 ♥8 ♦Q ♠4 ♠9,SB,,,,,,,fold,20,False,True,16.08,Pair,0.0
6,A_P_T^T,940,0,♣2 ♦K,♣2 ♦K ♥9 ♥8 ♦Q ♠4 ♠9,BB,,,,,,,fold,40,False,True,16.1568,Pair,0.0
7,(=^-Ω-^=),3740,2,♦7 ♣9,♦7 ♣9 ♠2 ♣A ♣4 ♦9 ♣7,BB,,,,,,,allin,3740,True,False,48.2048,Two Pair,6256.0
