round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,chips,reld,chips_total,pot,bet,cost_on_table,cost_to_call,cost_total,maxBet_all,N_maxBet_all,util_fold,util_call,N_canraise,util_raise_coeff,util_call2,util_raise_coeff2,limitRoundBet,limitBet,action,amount,cputime
1,0,5,5,deal,False,♦A ♠6,,20000,0.2374428571428682,0.32856105111161027,1000,0,3000,0,0,0,20,20,20,1,0,8.493142857144186,4,0.18721428571434107,-3.378999999999225,-0.5251142857142637,271.4640099012963,271.4640099012963,call,0,0.2564210891723633
1,1,5,3,flop,False,♦A ♠6,♠3 ♥2 ♠A,131,0.49236641221374045,0.4941826964775424,980,0,2980,20,0,20,500,520,500,1,20,1005.2194656488549,2,0.4770992366412212,266.66984732824426,-0.01526717557251911,674.4348408378654,654.4348408378654,bet,327,1.1844210624694824
1,2,5,2,turn,False,♦A ♠6,♠3 ♥2 ♠A ♣7,119,0.5756302521008403,0.48782942096470566,480,0,2480,520,0,520,480,1000,480,1,520,1735.3886554621847,0,-0.4243697478991597,906.4810924369747,0.15126050420168058,709.5869039114995,189.58690391149946,fold,0,1.1799647808074951
1,3,5,3,deal,False,♦7 ♠10,,20000,0.19198611111112412,0.3101745728211418,1000,0,3000,0,0,0,20,20,20,1,0,3.0383333333348936,2,-0.42404166666662757,-6.560972222221313,-0.6160277777777518,213.47972240887242,213.47972240887242,call,0,0.14661192893981934
1,4,5,3,flop,True,♦7 ♠10,♠8 ♥Q ♣4,276,0.10869565217391304,0.31125697963644244,980,0,2980,20,0,20,20,40,0,5,20,-0.21739130434782616,2,-0.6739130434782609,-0.21739130434782616,-0.782608695652174,114.46503607341995,94.46503607341995,fold,0,1.1972887516021729
2,0,5,4,deal,False,♦5 ♦J,,20000,0.21547222222223267,0.33630201356706635,980,0,2980,0,0,0,20,20,20,1,0,5.85666666666792,3,-0.13811111111106933,-4.916944444443713,-0.5690555555555347,241.3988853198292,241.3988853198292,call,0,0.16568398475646973
2,1,5,2,flop,True,♦5 ♦J,♠3 ♦K ♠4,203,0.11822660098522167,0.3228762484369249,960,0,2960,20,0,20,20,40,0,5,20,-0.38177339901477936,1,-0.7635467980295567,-0.38177339901477936,-0.7635467980295567,124.3194246571392,104.3194246571392,fold,0,1.1859567165374756
3,0,5,5,deal,False,♣2 ♦A,,20000,0.21907380952381836,0.3246020849370827,960,0,2960,0,0,0,20,20,20,1,0,6.288857142858204,4,0.09536904761909182,-4.664833333332714,-0.5618523809523632,244.32521590224212,244.32521590224212,call,0,0.19593214988708496
3,1,5,4,flop,False,♣2 ♦A,♣K ♣9 ♦8,195,0.08461538461538462,0.2713106475161292,940,0,2940,20,0,20,20,40,20,1,20,-19.69230769230769,3,-0.6615384615384615,-24.769230769230766,-0.8307692307692307,86.76616962274466,66.76616962274466,fold,0,1.1909377574920654
4,0,5,3,deal,False,♣6 ♠10,,20000,0.18214325396826583,0.3039993989730407,920,0,2920,0,20,20,0,20,20,3,20,1.8571904761918994,2,-0.45357023809520247,-3.6071071428560764,-0.6357134920634684,195.98507278077054,175.98507278077054,check,0,0.14322614669799805
