action,amount,chips,game_id,playerName,position,roundName,round_id,turn_id
call,20,980,2.01803E+13,c767b3b24b29c5a270658fd690cd919e,,Deal,1,1
call,20,980,2.01803E+13,67932ee63b2984a136db48eb9e994f8e,,Deal,1,2
call,20,980,2.01803E+13,41579b8940a2482619500991a7dd4bc5,,Deal,1,3
bet,56,934,2.01803E+13,0d2463992a3cce805eb5b0adf7804594,SB,Deal,1,4
fold,,980,2.01803E+13,cc916b8f0759af7958a8a927e191ac35,BB,Deal,1,5
call,46,934,2.01803E+13,c767b3b24b29c5a270658fd690cd919e,,Deal,1,6
call,46,934,2.01803E+13,67932ee63b2984a136db48eb9e994f8e,,Deal,1,7
call,46,934,2.01803E+13,41579b8940a2482619500991a7dd4bc5,,Deal,1,8
bet,328,606,2.01803E+13,0d2463992a3cce805eb5b0adf7804594,SB,Flop,1,9
allin,934,0,2.01803E+13,c767b3b24b29c5a270658fd690cd919e,,Flop,1,10
allin,934,0,2.01803E+13,67932ee63b2984a136db48eb9e994f8e,,Flop,1,11
fold,,934,2.01803E+13,41579b8940a2482619500991a7dd4bc5,,Flop,1,12
fold,,606,2.01803E+13,0d2463992a3cce805eb5b0adf7804594,SB,Flop,1,13
call,20,980,2.01803E+13,67932ee63b2984a136db48eb9e994f8e,,Deal,2,1
call,20,914,2.01803E+13,41579b8940a2482619500991a7dd4bc5,,Deal,2,2
call,20,586,2.01803E+13,0d2463992a3cce805eb5b0adf7804594,,Deal,2,3
call,10,1960,2.01803E+13,cc916b8f0759af7958a8a927e191ac35,SB,Deal,2,4
bet,20,2440,2.01803E+13,c767b3b24b29c5a270658fd690cd919e,BB,Deal,2,5
call,20,960,2.01803E+13,67932ee63b2984a136db48eb9e994f8e,,Deal,2,6
call,20,894,2.01803E+13,41579b8940a2482619500991a7dd4bc5,,Deal,2,7
bet,57,529,2.01803E+13,0d2463992a3cce805eb5b0adf7804594,,Deal,2,8
call,57,1903,2.01803E+13,cc916b8f0759af7958a8a927e191ac35,SB,Deal,2,9
call,37,2403,2.01803E+13,c767b3b24b29c5a270658fd690cd919e,BB,Deal,2,10
call,37,923,2.01803E+13,67932ee63b2984a136db48eb9e994f8e,,Deal,2,11
call,37,857,2.01803E+13,41579b8940a2482619500991a7dd4bc5,,Deal,2,12
fold,,1903,2.01803E+13,cc916b8f0759af7958a8a927e191ac35,SB,Flop,2,13
bet,20,2383,2.01803E+13,c767b3b24b29c5a270658fd690cd919e,BB,Flop,2,14
call,20,903,2.01803E+13,67932ee63b2984a136db48eb9e994f8e,,Flop,2,15
fold,,857,2.01803E+13,41579b8940a2482619500991a7dd4bc5,,Flop,2,16
allin,529,0,2.01803E+13,0d2463992a3cce805eb5b0adf7804594,,Flop,2,17
call,509,1874,2.01803E+13,c767b3b24b29c5a270658fd690cd919e,BB,Flop,2,18
call,509,394,2.01803E+13,67932ee63b2984a136db48eb9e994f8e,,Flop,2,19
bet,20,1854,2.01803E+13,c767b3b24b29c5a270658fd690cd919e,BB,Turn,2,20
call,20,374,2.01803E+13,67932ee63b2984a136db48eb9e994f8e,,Turn,2,21
bet,20,1834,2.01803E+13,c767b3b24b29c5a270658fd690cd919e,BB,River,2,22
call,20,354,2.01803E+13,67932ee63b2984a136db48eb9e994f8e,,River,2,23
fold,,857,2.01803E+13,41579b8940a2482619500991a7dd4bc5,,Deal,3,1
call,20,1952,2.01803E+13,0d2463992a3cce805eb5b0adf7804594,,Deal,3,2
call,20,1883,2.01803E+13,cc916b8f0759af7958a8a927e191ac35,,Deal,3,3
call,10,1814,2.01803E+13,c767b3b24b29c5a270658fd690cd919e,SB,Deal,3,4
call,0,414,2.01803E+13,67932ee63b2984a136db48eb9e994f8e,BB,Deal,3,5
check,,1814,2.01803E+13,c767b3b24b29c5a270658fd690cd919e,SB,Flop,3,6
bet,20,394,2.01803E+13,67932ee63b2984a136db48eb9e994f8e,BB,Flop,3,7
call,20,1932,2.01803E+13,0d2463992a3cce805eb5b0adf7804594,,Flop,3,8
fold,,1883,2.01803E+13,cc916b8f0759af7958a8a927e191ac35,,Flop,3,9
call,20,1794,2.01803E+13,c767b3b24b29c5a270658fd690cd919e,SB,Flop,3,10
bet,20,1774,2.01803E+13,c767b3b24b29c5a270658fd690cd919e,SB,Turn,3,11
call,20,374,2.01803E+13,67932ee63b2984a136db48eb9e994f8e,BB,Turn,3,12
fold,,1932,2.01803E+13,0d2463992a3cce805eb5b0adf7804594,,Turn,3,13
bet,20,1754,2.01803E+13,c767b3b24b29c5a270658fd690cd919e,SB,River,3,14
call,20,354,2.01803E+13,67932ee63b2984a136db48eb9e994f8e,BB,River,3,15
call,20,1912,2.01803E+13,0d2463992a3cce805eb5b0adf7804594,,Deal,4,1
bet,40,1843,2.01803E+13,cc916b8f0759af7958a8a927e191ac35,,Deal,4,2
call,40,1714,2.01803E+13,c767b3b24b29c5a270658fd690cd919e,,Deal,4,3
call,30,534,2.01803E+13,67932ee63b2984a136db48eb9e994f8e,SB,Deal,4,4
call,20,817,2.01803E+13,41579b8940a2482619500991a7dd4bc5,BB,Deal,4,5
call,20,1892,2.01803E+13,0d2463992a3cce805eb5b0adf7804594,,Deal,4,6
bet,20,514,2.01803E+13,67932ee63b2984a136db48eb9e994f8e,SB,Flop,4,7
fold,,817,2.01803E+13,41579b8940a2482619500991a7dd4bc5,BB,Flop,4,8
