round_id,turn,action,amount,cputime
1,0,bet,59,0.028974056243896484
1,1,bet,28,0.027822017669677734
2,0,bet,43,0.026949167251586914
2,1,bet,3,0.027702808380126953
2,2,bet,34,0.029566049575805664
2,3,bet,52,0.027543067932128906
2,4,bet,23,0.03204512596130371
2,5,bet,78,0.02660822868347168
2,6,bet,4,0.02801680564880371
2,7,bet,26,0.02678513526916504
3,0,bet,37,0.027413129806518555
4,0,bet,74,0.031282901763916016
4,1,bet,29,0.03216814994812012
5,0,bet,103,0.032666921615600586
5,1,bet,75,0.024010896682739258
5,2,bet,65,0.027387142181396484
5,3,bet,112,0.030169010162353516
5,4,bet,72,0.029307842254638672
5,5,bet,42,0.03172898292541504
5,6,bet,102,0.027289152145385742
5,7,bet,119,0.0272519588470459
6,0,bet,129,0.027882814407348633
6,1,bet,108,0.027465343475341797
6,2,bet,120,0.02681899070739746
6,3,bet,75,0.0295407772064209
6,4,bet,98,0.027087926864624023
6,5,bet,108,0.028275012969970703
6,6,bet,79,0.027046918869018555
7,0,bet,77,0.029963016510009766
7,1,bet,141,0.03288912773132324
7,2,bet,79,0.08310604095458984
7,3,bet,37,0.029669761657714844
7,4,bet,149,0.027055025100708008
7,5,bet,44,0.09515070915222168
7,6,bet,152,0.026965856552124023
7,7,bet,141,0.02793598175048828
8,0,bet,65,0.029727935791015625
8,1,bet,10,0.02719402313232422
8,2,bet,102,0.02672410011291504
8,3,bet,70,0.026806116104125977
8,4,bet,150,0.026792049407958984
8,5,bet,157,0.027289867401123047
8,6,bet,73,0.02533888816833496
9,0,bet,149,0.02701592445373535
9,1,bet,56,0.027932167053222656
9,2,bet,237,0.026970863342285156
9,3,bet,258,0.027798891067504883
9,4,bet,56,0.028187990188598633
9,5,bet,91,0.027756929397583008
10,0,bet,180,0.027015209197998047
