round_id	turn	roundName	N	Nnf	chips	reld	stack	first	hole	board	Nsim	prWin	prWinStd	prWin_adj	N_maxBet_all	pot	bet	pot_sum	bet_sum	cost_to_call	thd_call	 bet_limit 	action	amount	cputime	maxBet_all
1	0	deal	9	7	1000	0	3000	FALSE	_8 _4		60000	7.95%	25.76%	12.55%	1	0	0	0	122	46	27.38%	 20 	fold	0	0.339981794	46
2	0	deal	9	6	1000	0	3000	FALSE	_4 _J		60000	13.04%	32.30%	18.76%	1	0	0	0	70	40	36.36%	 21 	fold	0	0.400151968	40
3	0	deal	9	6	1000	0	3000	FALSE	_5 _Q		60000	10.31%	28.84%	15.49%	1	0	0	0	30	20	40.00%	 7 	fold	0	0.352034807	20
4	0	deal	9	7	1000	0	3000	FALSE	_2 _7		60000	6.56%	23.65%	10.89%	1	0	0	0	30	20	40.00%	 4 	fold	0	0.33453083	20
5	0	deal	9	8	1000	0	3000	FALSE	_J _4		60000	9.13%	27.32%	14.31%	1	0	0	0	30	20	40.00%	 6 	fold	0	0.337100029	20
6	0	deal	9	9	1000	0	3000	FALSE	_Q _A		60000	18.78%	36.77%	26.01%	1	0	0	0	30	20	40.00%	 16 	fold	0	0.333055973	20
7	0	deal	9	5	980	0	2980	FALSE	_10 _J		60000	16.08%	34.97%	23.06%	2	0	20	0	164	32	6.12%	 46 	check	0	0.364830017	52
7	1	flop	9	5	948	0	2948	TRUE	_10 _J	_J _2 _2	363	16.25%	35.37%	22.69%	9	52	0	260	0	20	7.14%	 28 	check	0	1.227885008	0
7	2	flop	9	5	948	0	2948	FALSE	_10 _J	_J _2 _2	1308	16.93%	35.83%	23.48%	4	52	0	260	120	30	7.32%	 43 	check	0	1.259502888	30
7	3	turn	9	5	918	0	2918	TRUE	_10 _J	_J _2 _2 _K	443	6.43%	22.66%	11.43%	9	82	0	410	0	20	4.65%	 23 	check	0	1.222962856	0
7	4	turn	9	4	918	0	2918	FALSE	_10 _J	_J _2 _2 _K	1461	6.71%	23.05%	11.80%	2	82	0	410	100	35	6.42%	 40 	check	0	1.270142317	35
7	5	river	9	4	883	0	2883	TRUE	_10 _J	_J _2 _2 _K _3	169	4.44%	17.63%	9.43%	9	117	0	550	0	20	3.51%	 22 	check	0	1.221933126	0
7	6	river	9	4	883	0	2883	FALSE	_10 _J	_J _2 _2 _K _3	1090	4.71%	18.64%	9.84%	3	117	0	550	90	30	4.48%	 34 	check	0	1.278502703	30
8	0	deal	9	6	843	0	2843	FALSE	_3 _5		60000	9.13%	27.78%	14.75%	3	0	10	0	239	53	14.73%	 64 	check	0	0.330754042	63
8	1	flop	9	6	790	0	2790	TRUE	_3 _5	_7 _8 _Q	270	3.02%	15.18%	6.05%	9	63	0	378	0	20	5.03%	 21 	check	0	1.209048986	0
8	2	flop	9	6	790	0	2790	FALSE	_3 _5	_7 _8 _Q	2795	1.79%	12.22%	4.12%	1	63	0	378	359	134	15.38%	 33 	fold	0	1.393069029	134
9	0	deal	9	6	790	0	2790	FALSE	_A _K		60000	23.73%	40.45%	32.24%	4	0	0	0	90	20	18.18%	 38 	check	0	0.331882954	20
9	1	flop	9	4	770	0	2770	FALSE	_A _K	_4 _4 _K	942	29.85%	44.00%	38.03%	2	20	0	120	184	77	20.21%	 199 	bet	199.3834232	1.27631402	77
9	2	flop	9	4	571	0	2571	FALSE	_A _K	_4 _4 _K	1569	30.74%	44.23%	39.00%	2	20	199	120	1379	199	11.72%	 552 	check	0	1.225056171	398
