round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,prWin_adj,chips,reld,stack,pot,bet,cost_to_call,pot_sum,bet_sum,maxBet_all,N_maxBet_all,bluff_freq,thd_call,bet_limit,action,amount,cputime
1,0,8,4,deal,False,♣5 ♠5,,60000,0.15031712962962498,0.33301579986547053,0.41835362569007517,1000,0,3000,0,0,40,0,70,40,1,0,0.36363636363636365,140,check,0,0.4089939594268799
1,1,8,3,flop,False,♣5 ♠5,♥5 ♥6 ♦J,582,0.7680412371134021,0.42208280610173754,0.8440161422117148,960,0,2960,40,0,30,160,60,30,2,0,0.12,440,bet,440,1.2876343727111816
1,2,8,3,flop,False,♣5 ♠5,♥5 ♥6 ♦J,1119,0.7783735478105451,0.4153410260007674,0.8531349324906833,520,0,2520,40,440,440,160,2200,880,2,0,0.15714285714285714,390.0,bet,390,1.2445361614227295
1,3,8,3,turn,False,♣5 ♠5,♥5 ♥6 ♦J ♣Q,280,0.7107142857142857,0.4534307993464034,0.8845724572209328,80,0,2080,920,0,30,2800,60,30,2,0,0.010380622837370242,60.0,bet,60,1.2149560451507568
1,4,8,3,turn,False,♣5 ♠5,♥5 ♥6 ♦J ♣Q,611,0.707037643207856,0.4551213182162933,0.88154400738258,20,0,2020,920,60,20,2800,220,80,2,0,0.006578947368421052,15.0,bet,15,1.2195110321044922
2,0,8,5,deal,False,♣J ♠A,,60000,0.1985981481481558,0.3571181604626939,0.49381727255962193,1000,1,2000,0,0,40,0,70,40,1,0,0.36363636363636365,140,check,0,0.5576319694519043
2,1,8,4,flop,False,♣J ♠A,♥10 ♥9 ♠K,539,0.2909709338280767,0.4439391257968245,0.36818665729431116,960,1,1960,40,0,20,180,40,20,2,0,0.08333333333333333,47.93242700144504,check,0,1.2492098808288574
2,2,8,3,turn,False,♣J ♠A,♥10 ♥9 ♠K ♥K,410,0.045121951219512194,0.19907454931459875,0.1244676040901236,940,1,1940,60,0,20,240,40,20,2,0,0.06666666666666667,23.314430537705043,check,0,1.2266261577606201
2,3,8,3,river,False,♣J ♠A,♥10 ♥9 ♠K ♥K ♠2,955,0.0031413612565445027,0.05595974540685818,0.03144770083459888,920,1,1920,80,0,20,300,40,20,2,0,0.05555555555555555,11.409845072587315,fold,0,1.2842319011688232
3,0,8,5,deal,False,♠2 ♠5,,60000,0.12475694444444642,0.3100306962539811,0.3659804150878149,920,1,1920,0,0,20,0,30,20,1,0,0.4,30,fold,0,0.5148348808288574
4,0,8,6,deal,False,♠5 ♠K,,60000,0.17036666666666692,0.3457733923657242,0.4410539827788188,920,1,1920,0,0,20,0,30,20,1,0,0.4,60,check,0,0.5045409202575684
4,1,8,3,flop,True,♠5 ♠K,♠10 ♣9 ♣4,422,0.23420221169036334,0.41794500039451526,0.2977270851960884,900,1,1900,20,0,20,70,0,0,8,0,0.2222222222222222,34.7190782060323,check,0,1.231468915939331
4,2,8,3,flop,False,♠5 ♠K,♠10 ♣9 ♣4,1204,0.2138704318936877,0.399866772996667,0.27537589572206755,900,1,1900,20,0,20,70,40,20,2,0,0.15384615384615385,32.25940985306451,check,0,1.280639886856079
4,3,8,3,turn,True,♠5 ♠K,♠10 ♣9 ♣4 ♥8,427,0.01873536299765808,0.12665870991091296,0.07007091740403315,880,1,1880,40,0,20,130,0,0,8,0,0.13333333333333333,10.59386260580661,fold,0,1.2271523475646973
5,0,8,7,deal,False,♠6 ♦A,,60000,0.14532870370370396,0.3159366699544248,0.39555538034959004,880,1,1880,0,0,20,0,30,20,1,0,0.4,30,fold,0,0.42269301414489746
6,0,8,8,deal,False,♣J ♣Q,,60000,0.21965972222222693,0.37805109298758294,0.5094709901901678,880,1,1880,0,0,20,0,30,20,1,0,0.4,0,bet,0,0.46210408210754395
6,1,8,6,flop,True,♣J ♣Q,♦Q ♥5 ♣9,351,0.436372269705603,0.4866729195408143,0.5008438180951458,860,1,1860,20,0,20,120,0,0,8,0,0.14285714285714285,30.0,bet,30,1.2258408069610596
6,2,8,5,flop,False,♣J ♣Q,♦Q ♥5 ♣9,1130,0.44321533923303835,0.4862875698904898,0.5077947940843819,830,1,1830,20,30,50,120,300,80,3,0,0.10638297872340426,103.75,check,0,1.2671308517456055
6,3,8,5,flop,False,♣J ♣Q,♦Q ♥5 ♣9,1813,0.43335171906600484,0.48535391749772705,0.4977716718163785,780,1,1780,20,80,240,120,1200,320,3,0,0.15384615384615385,585.0,check,0,1.2588930130004883
6,4,8,5,flop,False,♣J ♣Q,♦Q ♥5 ♣9,2570,0.4417963683527885,0.4874209220462086,0.506354470088713,540,1,1540,20,320,540,120,3540,1090,1,0,0.12857142857142856,67.5,bet,67,1.2624619007110596
7,0,8,6,deal,False,♠2 ♠4,,60000,0.12169861111111309,0.3059811391824526,0.34728541251654166,980,2,980,0,20,20,0,180,40,3,0,0.0,42.74081462939215,check,0,0.39895200729370117
7,1,8,6,flop,True,♠2 ♠4,♦9 ♣2 ♦4,221,0.4457013574660634,0.49590365566258404,0.5053465070327565,960,2,960,40,0,20,240,0,0,8,0,0.07692307692307693,0,bet,0,1.2152938842773438
7,2,8,5,turn,True,♠2 ♠4,♦9 ♣2 ♦4 ♣3,201,0.3034825870646766,0.45704851408155006,0.47368802496974827,940,2,940,60,0,20,340,0,0,8,0,0.05555555555555555,200.02754427409337,check,0,1.211380958557129
7,3,8,5,turn,False,♠2 ♠4,♦9 ♣2 ♦4 ♣3,1008,0.30853174603174605,0.458113179793079,0.4795240660335235,940,2,940,60,0,20,340,60,20,3,0,0.047619047619047616,254.1891055219298,check,0,1.2686200141906738
7,4,8,5,river,False,♠2 ♠4,♦9 ♣2 ♦4 ♣3 ♥J,230,0.40652173913043477,0.4878534054196856,0.661612935779875,920,2,920,80,0,690,440,690,690,1,0,0.3791208791208791,230.0,bet,230,1.2075719833374023
7,5,8,3,river,False,♠2 ♠4,♦9 ♣2 ♦4 ♣3 ♥J,1126,0.447158081705151,0.4929394072317651,0.7053735178123197,230,2,230,80,690,230,440,2530,1130,1,0,0.071875,115.0,bet,115,1.2775697708129883
