round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,prWin_adj,chips,reld,stack,pot,bet,cost_to_call,pot_sum,bet_sum,maxBet_all,N_maxBet_all,bluff_freq,thd_call,bet_limit,action,amount,cputime
1,0,9,8,deal,False,♣5 ♣2,,60000,0.1157703703703704,0.3094486841158029,0.39092681829077736,1000,0,3000,0,0,20,0,70,20,3,0,0.2222222222222222,28.0,check,0,0.32521605491638184
1,1,9,6,flop,False,♣5 ♣2,♦10 ♥10 ♦J,606,0.01555869872701556,0.1106128158438195,0.027934734288106004,980,0,2980,20,0,500,160,1000,500,2,0,0.30120481927710846,34.32183442403451,fold,0,1.2631571292877197
2,0,9,8,deal,False,♦Q ♠8,,60000,0.1199425925925926,0.306657125827616,0.39935177119718407,980,0,2980,0,0,20,0,50,20,2,0,0.2857142857142857,20.0,check,0,0.3297579288482666
2,1,9,6,flop,False,♦Q ♠8,♥8 ♦K ♥6,692,0.16473988439306358,0.3590684261418842,0.20183444664728403,960,0,2960,20,0,20,150,20,20,1,0,0.10526315789473684,26.769207387565768,check,0,1.2696378231048584
2,2,9,4,turn,False,♦Q ♠8,♥8 ♦K ♥6 ♦10,639,0.06572769953051644,0.24302294378220132,0.06572769953051644,940,0,2940,40,0,20,230,20,20,1,0,0.07407407407407407,20.810810810810814,fold,0,1.2523179054260254
3,0,9,9,deal,False,♥Q ♥7,,60000,0.1446537037037037,0.33668566415031476,0.44715986162517507,940,0,2940,0,0,20,0,50,20,2,0,0.2857142857142857,40.0,check,0,0.31578922271728516
3,1,9,4,deal,False,♥Q ♥7,,60000,0.1446537037037037,0.33668566415031476,0.44715986162517507,920,0,2920,0,20,920,0,1050,4270,1,0,0.467005076142132,368.0,fold,0,0.32379603385925293
4,0,9,9,deal,False,♠8 ♣K,,60000,0.12214074074074074,0.3085491334043109,0.40538350837866655,920,0,2920,0,0,20,0,30,20,1,0,0.4,23.700000000000003,check,0,0.3441758155822754
4,1,9,7,flop,False,♠8 ♣K,♦Q ♣3 ♦A,654,0.04510703363914373,0.19057564432384164,0.0658609222278928,900,0,2900,20,0,20,160,20,20,1,0,0.1,13.65341961596433,fold,0,1.2817440032958984
5,0,9,7,deal,False,♣4 ♥8,,60000,0.0795351851851852,0.25761280061430963,0.3149330379146155,880,0,2880,0,20,0,0,140,20,7,0,-0.14285714285714285,0.0,check,0,0.32859206199645996
5,1,9,7,flop,False,♣4 ♥8,♣5 ♠A ♦5,633,0.03859174001354096,0.17827718363795286,0.05785372786948881,880,0,2880,20,0,20,140,20,20,1,0,0.1111111111111111,10.467798828784291,fold,0,1.2515950202941895
