,allIn,bet,cards,chips,folded,isHuman,isOnline,isSurvive,reloadCount,roundBet,position,me,win,score
ヽ(=^･ω･^=)丿,False,0,♦3 ♥2,680,True,False,True,True,2,0,D,True,True,680.0
Poker's Finger,False,0,,0,False,False,True,False,2,0,,False,,
V.S.A.,False,0,♠A ♠7,5641,True,False,True,True,1,0,SB,False,True,5641.0
aaa,False,0,,0,False,False,False,False,2,0,,False,,
( Φ Ω Φ ),True,0,♦A ♠10,8180,True,False,True,True,2,0,BB,False,True,8180.0
A_P_T^T,False,0,,0,False,False,True,False,2,0,,False,,
Orca Poker,False,0,,0,False,False,True,False,2,0,,False,,
ccdf5e4b336d7c57250bcd8143f70656,False,0,♦9 ♠6,12366,True,True,True,True,1,0,1,False,True,12366.0
Winner Winner,False,0,♥6 ♣J,3131,True,False,True,True,2,0,2,False,True,3131.0
52ec98b15cf307535d1432f6ca1ed877,True,0,♦10 ♠8,0,False,True,True,True,2,0,3,False,,
