round_id,playerName,chips,reloadCount,cards,hand,position,allIn,folded,rank,message,winMoney
1,ヽ(=^･ω･^=)丿,1350,0,♣A ♣7,♣A ♣7 ♣2 ♣9 ♦3 ♣K ♣4,6,True,False,123.3154,Flush,1350.0
1,Poker's Finger,940,0,♥2 ♥J,♥2 ♥J ♣2 ♣9 ♦3 ♣K ♣4,7,False,True,9.1344,Pair,0.0
1,V.S.A.,1000,0,♥8 ♠2,♥8 ♠2 ♣2 ♣9 ♦3 ♣K ♣4,D,False,True,9.112,Pair,0.0
1,aaa,990,0,♥4 ♣6,♥4 ♣6 ♣2 ♣9 ♦3 ♣K ♣4,SB,False,True,123.1098,Flush,0.0
1,( Φ Ω Φ ),920,0,♥7 ♥6,♥7 ♥6 ♣2 ♣9 ♦3 ♣K ♣4,BB,False,True,7.009,High Card,0.0
1,A_P_T^T,1000,0,♣3 ♥Q,♣3 ♥Q ♣2 ♣9 ♦3 ♣K ♣4,1,False,True,123.1091,Flush,0.0
1,Orca Poker,920,0,♠Q ♣8,♠Q ♣8 ♣2 ♣9 ♦3 ♣K ♣4,2,False,True,123.1122,Flush,0.0
1,ccdf5e4b336d7c57250bcd8143f70656,920,0,♦8 ♦2,♦8 ♦2 ♣2 ♣9 ♦3 ♣K ♣4,3,False,True,9.112,Pair,0.0
1,Winner Winner,960,0,♦10 ♥K,♦10 ♥K ♣2 ♣9 ♦3 ♣K ♣4,4,False,True,20.0194,Pair,0.0
1,52ec98b15cf307535d1432f6ca1ed877,1000,0,♥3 ♦7,♥3 ♦7 ♣2 ♣9 ♦3 ♣K ♣4,5,False,True,10.1104,Pair,0.0
2,ヽ(=^･ω･^=)丿,1350,0,♣8 ♦3,♣8 ♦3 ♠3 ♥7 ♠Q ♥4 ♠8,5,False,True,38.0512,Two Pair,0.0
2,Poker's Finger,652,0,♦5 ♦A,♦5 ♦A ♠3 ♥7 ♠Q ♥4 ♠8,6,False,True,8.0564,High Card,0.0
2,V.S.A.,980,0,♥J ♦9,♥J ♦9 ♠3 ♥7 ♠Q ♥4 ♠8,7,False,True,6.0368,High Card,0.0
2,aaa,702,0,♠K ♣6,♠K ♣6 ♠3 ♥7 ♠Q ♥4 ♠8,D,False,True,7.0568,High Card,0.0
2,( Φ Ω Φ ),1910,1,♦K ♣2,♦K ♣2 ♠3 ♥7 ♠Q ♥4 ♠8,SB,False,True,7.0562,High Card,0.0
2,A_P_T^T,1626,0,♣A ♣Q,♣A ♣Q ♠3 ♥7 ♠Q ♥4 ♠8,BB,False,False,19.209600000000002,Pair,1154.0
2,Orca Poker,1900,1,♦J ♦2,♦J ♦2 ♠3 ♥7 ♠Q ♥4 ♠8,1,False,True,6.0306,High Card,0.0
2,ccdf5e4b336d7c57250bcd8143f70656,920,0,♠9 ♦Q,♠9 ♦Q ♠3 ♥7 ♠Q ♥4 ♠8,2,False,True,19.0112,Pair,0.0
2,Winner Winner,960,0,♦8 ♥10,♦8 ♥10 ♠3 ♥7 ♠Q ♥4 ♠8,3,False,True,15.0656,Pair,0.0
2,52ec98b15cf307535d1432f6ca1ed877,1000,0,♠10 ♥5,♠10 ♥5 ♠3 ♥7 ♠Q ♥4 ♠8,4,False,True,6.018,High Card,0.0
3,ヽ(=^･ω･^=)丿,1330,0,♠Q ♦10,♠Q ♦10 ♠6 ♥10 ♣7 ♠8 ♥A,4,False,True,17.2592,Pair,0.0
3,Poker's Finger,1138,0,♥9 ♣2,♥9 ♣2 ♠6 ♥10 ♣7 ♠8 ♥A,5,False,False,118.0,Straight,892.0
3,V.S.A.,960,0,♣K ♥5,♣K ♥5 ♠6 ♥10 ♣7 ♠8 ♥A,6,False,True,8.12,High Card,0.0
3,aaa,702,0,♠9 ♦6,♠9 ♦6 ♠6 ♥10 ♣7 ♠8 ♥A,7,False,True,118.0,Straight,0.0
3,( Φ Ω Φ ),2890,2,♠3 ♣A,♠3 ♣A ♠6 ♥10 ♣7 ♠8 ♥A,D,False,True,21.0176,Pair,0.0
