round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,chips,reld,chips_total,pot,bet,cost_on_table,cost_to_call,cost_total,maxBet_all,N_maxBet_all,prWin_adj,limitBet,util_fold,util_call,util_raise_coeff,action,amount,cputime
1,0,5,5,deal,False,♠9 ♣10,,60000,0.24156322751322748,0.34031494047164995,990,0,2990,0,10,10,30,40,40,3,0.7316585856389332,517.4820482629848,-10,101.69854541500797,0.4633171712778663,bet,70,1.5439999103546143
1,1,5,5,deal,False,♠9 ♣10,,60000,0.24156322751322748,0.34031494047164995,920,0,2920,0,80,80,240,320,320,2,0.7316585856389332,505.36708392237983,0,637.9903027667198,0.4633171712778663,bet,440,1.9020001888275146
1,2,5,5,deal,False,♠9 ♣10,,60000,0.24156322751322748,0.34031494047164995,480,0,2480,0,520,520,480,1000,1000,3,0.7316585856389332,429.21587949571983,0,2827.096807087978,0.4633171712778663,bet,1760,1.9529998302459717
2,0,5,5,deal,False,♦9 ♠A,,60000,0.2631670634920635,0.3383158797569703,1000,1,2000,0,0,0,40,40,40,1,0.7695722242523957,386.221981081664,0,60.04438915281143,0.5391444485047914,raise,0,1.5570001602172852
2,1,5,5,flop,False,♦9 ♠A,♣3 ♥K ♣Q,184,0.1213768115942029,0.32471025812688653,920,1,1920,80,0,80,20,100,20,4,0.49602435919574345,285.68683609792527,0,228.01217959787172,-0.007951281608513106,check,0,1.3269999027252197
2,2,5,3,turn,False,♦9 ♠A,♣3 ♥K ♣Q ♥10,172,0.09399224806201549,0.2690711939867356,900,1,1900,100,0,100,20,120,20,2,0.40037321484876015,324.37841941902303,0,204.20900031530567,-0.1992535703024797,check,0,1.3789997100830078
2,3,5,3,river,False,♦9 ♠A,♣3 ♥K ♣Q ♥10 ♥Q,26,0.019230769230769232,0.09615384615384615,880,1,1880,120,0,120,20,140,20,2,0.16202962854615133,144.3301129394824,0,80.45836969861382,-0.6759407429076973,check,0,1.2820000648498535
3,0,5,5,deal,False,♦2 ♦6,,60000,0.16608968253968254,0.31286775442519715,860,1,1860,0,0,0,20,20,20,2,0.5959357771543623,221.74965393016674,0,21.715504400805358,0.1918715543087246,bet,0,2.8329999446868896
3,1,5,5,deal,False,♦2 ♦6,,60000,0.16608968253968254,0.31286775442519715,840,1,1840,0,20,20,20,40,40,3,0.5959357771543623,219.3652490491972,0,87.26843988778522,0.1918715543087246,raise,0,1.0540001392364502
3,2,5,5,deal,False,♦2 ♦6,,60000,0.16608968253968254,0.31286775442519715,780,1,1780,0,80,80,80,160,160,3,0.5959357771543623,212.2120344062886,0,349.0737595511409,0.1918715543087246,bet,0,1.067000150680542
3,3,5,4,flop,False,♦2 ♦6,♥A ♣9 ♣K,182,0.016666666666666666,0.11364479933169146,700,1,1700,160,0,160,20,180,20,2,0.16421054645921396,66.21764632940805,0,121.22106995492399,-0.6715789070815721,check,0,1.2769999504089355
