round_id,playerName,chips,reloadCount,cards,hand,position,allIn,folded,rank,message,winMoney
1,63b07e828bf016e976ff95d6ee07a105,1000,1,♥5 ♦6,♥5 ♦6 ♠5 ♥J ♣10 ♣7 ♣4,BB,True,False,12.04,Pair,0.0
1,06d80eb0c50b49a509b49f2424e8c805,1000,1,♦3 ♠2,♦3 ♠2 ♠5 ♥J ♣10 ♣7 ♣4,1,True,False,5.015,High Card,0.0
1,8621ffdbc5698829397d97767ac13db3,1000,1,♥6 ♦Q,♥6 ♦Q ♠5 ♥J ♣10 ♣7 ♣4,2,True,False,6.0408,High Card,0.0
1,6b42d00c4ca6ddc33a604c54b8ce4adc,1000,1,♥Q ♣6,♥Q ♣6 ♠5 ♥J ♣10 ♣7 ♣4,D,True,False,6.0408,High Card,0.0
1,f74c6af46a78becb2f1bd3f95bbd5858,5000,0,♦7 ♠8,♦7 ♠8 ♠5 ♥J ♣10 ♣7 ♣4,SB,True,False,14.0416,Pair,5000.0
2,63b07e828bf016e976ff95d6ee07a105,0,2,♥6 ♥A,♥6 ♥A ♣K ♣4 ♥8 ♦4 ♥4,SB,True,False,102.3072,Three of a Kind,0.0
2,06d80eb0c50b49a509b49f2424e8c805,3080,1,♥J ♠4,♥J ♠4 ♣K ♣4 ♥8 ♦4 ♥4,BB,True,False,282.1024,Four of a kind,3080.0
2,8621ffdbc5698829397d97767ac13db3,960,1,♦3 ♠3,♦3 ♠3 ♣K ♣4 ♥8 ♦4 ♥4,1,False,True,149.0,Full House,0.0
2,6b42d00c4ca6ddc33a604c54b8ce4adc,960,1,♣6 ♠8,♣6 ♠8 ♣K ♣4 ♥8 ♦4 ♥4,2,False,True,153.0,Full House,0.0
2,f74c6af46a78becb2f1bd3f95bbd5858,5000,0,♦K ♣2,♦K ♣2 ♣K ♣4 ♥8 ♦4 ♥4,D,True,False,158.0,Full House,5000.0
3,63b07e828bf016e976ff95d6ee07a105,0,2,,,,False,False,,,0.0
