round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,prWin_adj,chips,reld,stack,pot,bet,cost_to_call,pot_sum,bet_sum,maxBet_all,N_maxBet_all,bluff_freq,thd_call,bet_limit,action,amount,cputime
1,0,8,8,deal,False,♠7 ♠2,,60000,0.11172962962962962,0.2930630936357031,0.34800477054484774,1000,0,3000,0,0,20,0,30,20,1,0,0.4,30,fold,0,0.22168493270874023
2,0,8,2,deal,False,♦6 ♥7,,60000,0.12009166666666665,0.2996057714997554,0.3638931899872511,980,0,2980,0,20,20,0,70,40,1,0,0.0,35.0,check,0,0.2500908374786377
2,1,8,2,flop,True,♦6 ♥7,♥4 ♠5 ♠4,341,0.4530791788856305,0.4881266687624196,0.5028585357060991,960,0,2960,40,0,20,90,0,0,8,0,0.18181818181818182,22.5,bet,22,1.183272123336792
3,0,8,4,deal,False,♦7 ♣6,,60000,0.12009166666666665,0.2996057714997554,0.3638931899872511,1040,0,3040,0,10,34,0,118,44,2,0,0.15789473684210525,59.0,check,0,0.2828378677368164
3,1,8,4,flop,True,♦7 ♣6,♥J ♥Q ♠10,271,0.05350553505535055,0.2112969067702875,0.07600946643939792,1006,0,3006,44,0,20,176,0,0,8,0,0.10204081632653061,15.775901859164891,fold,0,1.1890242099761963
4,0,8,3,deal,False,♦7 ♠7,,60000,0.1683986111111111,0.34352694204372547,0.4483150816506804,1006,0,3006,0,0,20,0,30,20,1,0,0.4,30,check,0,0.21786904335021973
4,1,8,2,flop,False,♦7 ♠7,♣10 ♠K ♠4,705,0.5985815602836879,0.49018534858972845,0.6476000951426608,986,0,2986,20,0,63,50,63,63,1,0,0.35795454545454547,56.5,bet,56,1.1930761337280273
4,2,8,2,turn,True,♦7 ♠7,♣10 ♠K ♠4 ♥7,275,0.72,0.44899888641287294,0.7283286487186548,923,0,2923,83,0,20,176,0,0,8,0,0.10204081632653061,176,bet,176,1.1733579635620117
4,3,8,2,river,False,♦7 ♠7,♣10 ♠K ♠4 ♥7 ♥3,326,0.852760736196319,0.3543442718575129,0.8535612884925131,747,0,2747,259,0,79,528,79,79,1,0,0.1151603498542274,560.25,bet,560,1.1648600101470947
5,0,8,5,deal,False,♣10 ♠Q,,60000,0.1783375,0.3462063059382156,0.46390376274465506,1835,0,3835,0,0,20,0,50,20,2,0.025158034746085686,0.2857142857142857,50,check,0,0.21236085891723633
