tableNumber,game_id,round_id,smallBlind,roundName,playerName,isHuman,isOnline,chips,reloadCount,position,cards,board,roundBet,bet,action,amount
807,20180725170737818,1,10,Deal,743c013fba52150b5aadc0e9a91566d8,False,True,3000,0,1,,,0,0,fold,0
807,20180725170737818,1,10,Deal,5be72526eb62bf69304d3f5d7776a74d,False,True,2960,0,2,,,0,40,raise,40
807,20180725170737818,1,10,Deal,099d7d04319e5191b7473e016c55e320,False,True,2960,0,3,,,0,40,call,40
807,20180725170737818,1,10,Deal,d217d420e818c77100367d2ea49f95c1,False,True,2960,0,4,,,0,40,call,40
807,20180725170737818,1,10,Deal,2f151220475fdabb24a339d05e5c2666,False,True,2960,0,5,,,0,40,call,40
807,20180725170737818,1,10,Deal,f6ab57f4b3ca3739ad29da1cf4f26452,False,True,2920,0,6,2C QC,,0,80,raise,80
807,20180725170737818,1,10,Deal,2880040f284779e124e9a88117be1e7c,False,True,2920,0,7,,,0,80,call,80
807,20180725170737818,1,10,Deal,85da4a5408201aeff9565102ca6a7dbd,False,True,2920,0,D,,,0,80,call,80
807,20180725170737818,1,10,Deal,99d3dc696528e9ff0dfb48b1cbb20d6d,False,True,2990,0,SB,,,0,10,fold,0
807,20180725170737818,1,10,Deal,ee53d4213c897ad632bb8d824762f918,False,True,2980,0,BB,,,0,20,fold,0
807,20180725170737818,1,10,Deal,5be72526eb62bf69304d3f5d7776a74d,False,True,2840,0,2,,,0,160,raise,120
807,20180725170737818,1,10,Deal,099d7d04319e5191b7473e016c55e320,False,True,2840,0,3,,,0,160,call,120
807,20180725170737818,1,10,Deal,d217d420e818c77100367d2ea49f95c1,False,True,2960,0,4,,,0,40,fold,0
807,20180725170737818,1,10,Deal,2f151220475fdabb24a339d05e5c2666,False,True,2840,0,5,,,0,160,call,120
807,20180725170737818,1,10,Deal,f6ab57f4b3ca3739ad29da1cf4f26452,False,True,2680,0,6,2C QC,,0,320,raise,240
807,20180725170737818,1,10,Deal,2880040f284779e124e9a88117be1e7c,False,True,2920,0,7,,,0,80,fold,0
807,20180725170737818,1,10,Deal,85da4a5408201aeff9565102ca6a7dbd,False,True,2680,0,D,,,0,320,call,240
807,20180725170737818,1,10,Deal,5be72526eb62bf69304d3f5d7776a74d,False,True,2680,0,2,,,0,320,call,160
807,20180725170737818,1,10,Deal,099d7d04319e5191b7473e016c55e320,False,True,2680,0,3,,,0,320,call,160
807,20180725170737818,1,10,Deal,2f151220475fdabb24a339d05e5c2666,False,True,2680,0,5,,,0,320,call,160
807,20180725170737818,1,10,Flop,5be72526eb62bf69304d3f5d7776a74d,False,True,2660,0,2,,JS 7H 2D,320,20,bet,20
807,20180725170737818,1,10,Flop,099d7d04319e5191b7473e016c55e320,False,True,2680,0,3,,JS 7H 2D,320,0,fold,0
