tableNumber,game_id,round_id,smallBlind,roundName,turn_id,board,action,amount,cputime
807,20180725170737818,1,10,Deal,0.0,,raise,0,0.04598188400268555
807,20180725170737818,1,10,Deal,0.0,,raise,0,0.046508073806762695
807,20180725170737818,1,10,Flop,0.0,JS 7H 2D,raise,0,0.0449526309967041
807,20180725170737818,1,10,Flop,0.0,JS 7H 2D,raise,0,0.046044111251831055
807,20180725170737818,1,10,Flop,0.0,JS 7H 2D,raise,0,0.04493403434753418
807,20180725170737818,1,10,Turn,0.0,JS 7H 2D 3H,raise,0,0.047827959060668945
807,20180725170737818,1,10,Turn,0.0,JS 7H 2D 3H,raise,0,0.044251203536987305
807,20180725170737818,1,10,Turn,0.0,JS 7H 2D 3H,raise,0,0.04543805122375488
807,20180725170737818,1,10,River,0.0,JS 7H 2D 3H 7S,raise,0,0.047795772552490234
807,20180725170737818,1,10,River,0.0,JS 7H 2D 3H 7S,raise,0,0.04578089714050293
807,20180725170737818,2,10,Deal,0.0,,raise,0,0.05150413513183594
807,20180725170737818,2,10,Deal,0.0,,raise,0,0.04707622528076172
807,20180725170737818,2,10,Flop,0.0,JS 2D 8D,raise,0,0.05028080940246582
807,20180725170737818,2,10,Flop,0.0,JS 2D 8D,raise,0,0.047293901443481445
807,20180725170737818,2,10,Turn,0.0,JS 2D 8D 7H,raise,0,0.048887014389038086
807,20180725170737818,2,10,Turn,0.0,JS 2D 8D 7H,raise,0,0.04753899574279785
807,20180725170737818,2,10,River,0.0,JS 2D 8D 7H 5C,raise,0,0.04794502258300781
807,20180725170737818,3,10,Deal,0.0,,raise,0,0.05403280258178711
807,20180725170737818,3,10,Deal,0.0,,raise,0,0.05278205871582031
807,20180725170737818,3,10,Flop,0.0,9S 9C QS,raise,0,0.0559847354888916
807,20180725170737818,3,10,Flop,0.0,9S 9C QS,raise,0,0.04822182655334473
807,20180725170737818,3,10,Flop,0.0,9S 9C QS,raise,0,0.08098697662353516
807,20180725170737818,3,10,Turn,0.0,9S 9C QS KH,raise,0,0.05295205116271973
807,20180725170737818,3,10,Turn,0.0,9S 9C QS KH,raise,0,0.04948616027832031
807,20180725170737818,3,10,Turn,0.0,9S 9C QS KH,raise,0,0.05130887031555176
807,20180725170737818,4,10,Deal,0.0,,raise,0,0.04577827453613281
807,20180725170737818,4,10,Flop,0.0,8H 5C 5H,raise,0,0.050524234771728516
807,20180725170737818,4,10,Flop,0.0,8H 5C 5H,raise,0,0.05030035972595215
807,20180725170737818,4,10,Turn,0.0,8H 5C 5H 3C,raise,0,0.054388999938964844
807,20180725170737818,4,10,River,0.0,8H 5C 5H 3C 2H,raise,0,0.048310041427612305
