tableNumber,game_id,round_id,smallBlind,playerName,isHuman,isOnline,isSurvive,chips,reloadCount,folded,allIn,position,cards,board,rank,message,winMoney
807,20180725170737818,1,10,85da4a5408201aeff9565102ca6a7dbd,False,True,True,6350,0,False,False,D,3S AH,JS 7H 2D 3H 7S,33.2048,Two Pair,4630.0
807,20180725170737818,1,10,99d3dc696528e9ff0dfb48b1cbb20d6d,False,True,True,2990,0,True,False,SB,9H 5C,JS 7H 2D 3H 7S,14.0324,Pair,0.0
807,20180725170737818,1,10,ee53d4213c897ad632bb8d824762f918,False,True,True,2980,0,True,False,BB,KS 8D,JS 7H 2D 3H 7S,14.1312,Pair,0.0
807,20180725170737818,1,10,743c013fba52150b5aadc0e9a91566d8,False,True,True,3000,0,True,False,1,5H 7C,JS 7H 2D 3H 7S,105.026,Three of a Kind,0.0
807,20180725170737818,1,10,5be72526eb62bf69304d3f5d7776a74d,False,True,True,1720,0,False,False,2,QH 4H,JS 7H 2D 3H 7S,14.077,Pair,0.0
807,20180725170737818,1,10,099d7d04319e5191b7473e016c55e320,False,True,True,2680,0,True,False,3,TS 6S,JS 7H 2D 3H 7S,14.0392,Pair,0.0
807,20180725170737818,1,10,d217d420e818c77100367d2ea49f95c1,False,True,True,2960,0,True,False,4,8S AS,JS 7H 2D 3H 7S,14.2336,Pair,0.0
807,20180725170737818,1,10,2f151220475fdabb24a339d05e5c2666,False,True,True,2680,0,True,False,5,KH 5S,JS 7H 2D 3H 7S,14.1284,Pair,0.0
807,20180725170737818,1,10,f6ab57f4b3ca3739ad29da1cf4f26452,False,True,True,1720,0,False,False,6,2C QC,JS 7H 2D 3H 7S,32.0512,Two Pair,0.0
807,20180725170737818,1,10,2880040f284779e124e9a88117be1e7c,False,True,True,2920,0,True,False,7,AC KC,JS 7H 2D 3H 7S,14.3328,Pair,0.0
807,20180725170737818,2,10,85da4a5408201aeff9565102ca6a7dbd,False,True,True,6350,0,True,False,7,5S 9D,JS 2D 8D 7H 5C,12.0352,Pair,0.0
807,20180725170737818,2,10,99d3dc696528e9ff0dfb48b1cbb20d6d,False,True,True,2990,0,True,False,D,9H 3D,JS 2D 8D 7H 5C,5.0116,High Card,0.0
807,20180725170737818,2,10,ee53d4213c897ad632bb8d824762f918,False,True,True,2970,0,True,False,SB,6H 7D,JS 2D 8D 7H 5C,14.0296,Pair,0.0
807,20180725170737818,2,10,743c013fba52150b5aadc0e9a91566d8,False,True,True,5410,0,False,False,BB,QH 8S,JS 2D 8D 7H 5C,15.0784,Pair,3450.0
807,20180725170737818,2,10,5be72526eb62bf69304d3f5d7776a74d,False,True,True,720,0,True,False,1,TH 7C,JS 2D 8D 7H 5C,14.0416,Pair,0.0
807,20180725170737818,2,10,099d7d04319e5191b7473e016c55e320,False,True,True,2680,0,True,False,2,2S TD,JS 2D 8D 7H 5C,9.0416,Pair,0.0
807,20180725170737818,2,10,d217d420e818c77100367d2ea49f95c1,False,True,True,2920,0,True,False,3,AH KH,JS 2D 8D 7H 5C,8.1328,High Card,0.0
807,20180725170737818,2,10,2f151220475fdabb24a339d05e5c2666,False,True,True,2360,0,True,False,4,KC 9C,JS 2D 8D 7H 5C,7.0368,High Card,0.0
807,20180725170737818,2,10,f6ab57f4b3ca3739ad29da1cf4f26452,False,True,True,680,0,False,False,5,5D 3S,JS 2D 8D 7H 5C,12.0304,Pair,0.0
807,20180725170737818,2,10,2880040f284779e124e9a88117be1e7c,False,True,True,2920,0,True,False,6,4C 2H,JS 2D 8D 7H 5C,9.0304,Pair,0.0
807,20180725170737818,3,10,85da4a5408201aeff9565102ca6a7dbd,False,True,True,6350,0,True,False,6,4D JD,9S 9C QS KH 4H,45.1024,Two Pair,0.0
807,20180725170737818,3,10,99d3dc696528e9ff0dfb48b1cbb20d6d,False,True,True,2990,0,True,False,7,AS 3H,9S 9C QS KH 4H,16.3584,Pair,0.0
807,20180725170737818,3,10,ee53d4213c897ad632bb8d824762f918,False,True,True,2970,0,True,False,D,2S 5D,9S 9C QS KH 4H,16.154,Pair,0.0
807,20180725170737818,3,10,743c013fba52150b5aadc0e9a91566d8,False,True,True,5400,0,True,False,SB,4S 9H,9S 9C QS KH 4H,210.0,Full House,0.0
807,20180725170737818,3,10,5be72526eb62bf69304d3f5d7776a74d,False,True,True,40,0,False,True,BB,5S 4C,9S 9C QS KH 4H,45.1024,Two Pair,40.0
807,20180725170737818,3,10,099d7d04319e5191b7473e016c55e320,False,True,True,2520,0,True,False,1,3D KC,9S 9C QS KH 4H,84.0512,Two Pair,0.0
807,20180725170737818,3,10,d217d420e818c77100367d2ea49f95c1,False,True,True,2420,0,True,False,2,7S 7C,9S 9C QS KH 4H,48.1024,Two Pair,0.0
807,20180725170737818,3,10,2f151220475fdabb24a339d05e5c2666,False,True,True,2200,0,True,False,3,2H 7D,9S 9C QS KH 4H,16.1552,Pair,0.0
807,20180725170737818,3,10,f6ab57f4b3ca3739ad29da1cf4f26452,False,True,True,2190,0,False,True,4,9D 8D,9S 9C QS KH 4H,107.1536,Three of a Kind,2190.0
807,20180725170737818,3,10,2880040f284779e124e9a88117be1e7c,False,True,True,2920,0,True,False,5,2C TH,9S 9C QS KH 4H,16.1664,Pair,0.0
807,20180725170737818,4,10,85da4a5408201aeff9565102ca6a7dbd,False,True,True,6350,0,True,False,5,TD 3D,8H 5C 5H 3C 2H,26.0128,Two Pair,0.0
807,20180725170737818,4,10,99d3dc696528e9ff0dfb48b1cbb20d6d,False,True,True,2990,0,True,False,6,AS 2D,8H 5C 5H 3C 2H,25.2048,Two Pair,0.0
807,20180725170737818,4,10,ee53d4213c897ad632bb8d824762f918,False,True,True,2970,0,True,False,7,7D 8C,8H 5C 5H 3C 2H,40.0016,Two Pair,0.0
807,20180725170737818,4,10,743c013fba52150b5aadc0e9a91566d8,False,True,True,5400,0,True,False,D,6C JH,8H 5C 5H 3C 2H,12.0296,Pair,0.0
807,20180725170737818,4,10,5be72526eb62bf69304d3f5d7776a74d,False,True,True,0,0,False,True,SB,AH 2S,8H 5C 5H 3C 2H,25.2048,Two Pair,0.0
807,20180725170737818,4,10,099d7d04319e5191b7473e016c55e320,False,True,True,4850,0,False,False,BB,7C 5S,8H 5C 5H 3C 2H,103.0048,Three of a Kind,4845.0
807,20180725170737818,4,10,d217d420e818c77100367d2ea49f95c1,False,True,True,2380,0,True,False,1,4D 3H,8H 5C 5H 3C 2H,26.0032,Two Pair,0.0
807,20180725170737818,4,10,2f151220475fdabb24a339d05e5c2666,False,True,True,2140,0,True,False,2,TS KS,8H 5C 5H 3C 2H,12.1184,Pair,0.0
807,20180725170737818,4,10,f6ab57f4b3ca3739ad29da1cf4f26452,False,True,True,0,0,False,True,3,4H JS,8H 5C 5H 3C 2H,12.029,Pair,0.0
807,20180725170737818,4,10,2880040f284779e124e9a88117be1e7c,False,True,True,2920,0,True,False,4,6D 8D,8H 5C 5H 3C 2H,40.0008,Two Pair,0.0
807,20180725170737818,5,10,85da4a5408201aeff9565102ca6a7dbd,False,True,True,3626,0,False,False,3,AS 7S,QS AD 3D TC 2S,21.0656,Pair,0.0
807,20180725170737818,5,10,99d3dc696528e9ff0dfb48b1cbb20d6d,False,True,True,2990,0,True,False,4,3C 7D,QS AD 3D TC 2S,10.2688,Pair,0.0
807,20180725170737818,5,10,ee53d4213c897ad632bb8d824762f918,False,True,True,2950,0,True,False,5,8C 5H,QS AD 3D TC 2S,8.0676,High Card,0.0
807,20180725170737818,5,10,743c013fba52150b5aadc0e9a91566d8,False,True,True,5400,0,True,False,D,6D 5S,QS AD 3D TC 2S,8.0652,High Card,0.0
807,20180725170737818,5,10,5be72526eb62bf69304d3f5d7776a74d,False,True,False,0,0,False,False,,,QS AD 3D TC 2S,,,0.0
807,20180725170737818,5,10,099d7d04319e5191b7473e016c55e320,False,True,True,4830,0,True,False,SB,TS 7C,QS AD 3D TC 2S,17.2576,Pair,0.0
807,20180725170737818,5,10,d217d420e818c77100367d2ea49f95c1,False,True,True,3600,0,False,True,BB,9S AC,QS AD 3D TC 2S,21.0704,Pair,3600.0
807,20180725170737818,5,10,2f151220475fdabb24a339d05e5c2666,False,True,True,2120,0,True,False,1,JS 5C,QS AD 3D TC 2S,8.09,High Card,0.0
807,20180725170737818,5,10,f6ab57f4b3ca3739ad29da1cf4f26452,False,True,False,0,0,False,False,,,QS AD 3D TC 2S,,,0.0
807,20180725170737818,5,10,2880040f284779e124e9a88117be1e7c,False,True,True,4484,0,False,False,2,AH 9C,QS AD 3D TC 2S,21.0704,Pair,4288.0
807,20180725170737818,6,10,85da4a5408201aeff9565102ca6a7dbd,False,True,True,3586,0,True,False,2,KD QD,TC TH KH QH 2H,87.0128,Two Pair,0.0
807,20180725170737818,6,10,99d3dc696528e9ff0dfb48b1cbb20d6d,False,True,True,2990,0,True,False,3,4D 2D,TC TH KH QH 2H,50.1024,Two Pair,0.0
807,20180725170737818,6,10,ee53d4213c897ad632bb8d824762f918,False,True,True,3130,0,False,False,4,8H KS,TC TH KH QH 2H,123.1696,Flush,276.0
807,20180725170737818,6,10,743c013fba52150b5aadc0e9a91566d8,False,True,True,5340,0,True,False,5,AD 9S,TC TH KH QH 2H,17.3584,Pair,0.0
807,20180725170737818,6,10,5be72526eb62bf69304d3f5d7776a74d,False,True,False,0,0,False,False,,,TC TH KH QH 2H,,,0.0
807,20180725170737818,6,10,099d7d04319e5191b7473e016c55e320,False,True,True,4810,0,True,False,D,4S 6S,TC TH KH QH 2H,17.1544,Pair,0.0
807,20180725170737818,6,10,d217d420e818c77100367d2ea49f95c1,False,True,True,3580,0,True,False,SB,2C 8S,TC TH KH QH 2H,50.1024,Two Pair,0.0
807,20180725170737818,6,10,2f151220475fdabb24a339d05e5c2666,False,True,True,2100,0,True,False,BB,JC 9H,TC TH KH QH 2H,123.1728,Flush,0.0
807,20180725170737818,6,10,f6ab57f4b3ca3739ad29da1cf4f26452,False,True,False,0,0,False,False,,,TC TH KH QH 2H,,,0.0
807,20180725170737818,6,10,2880040f284779e124e9a88117be1e7c,False,True,True,4464,0,True,False,1,5H 5C,TC TH KH QH 2H,123.1668,Flush,0.0
807,20180725170737818,7,10,85da4a5408201aeff9565102ca6a7dbd,False,True,True,3546,0,True,False,1,KH 6S,8D 2D KC AS QC,20.2592,Pair,0.0
807,20180725170737818,7,10,99d3dc696528e9ff0dfb48b1cbb20d6d,False,True,True,2990,0,True,False,2,7D TS,8D 2D KC AS QC,8.1696,High Card,0.0
807,20180725170737818,7,10,ee53d4213c897ad632bb8d824762f918,False,True,True,3090,0,True,False,3,JD 6C,8D 2D KC AS QC,8.1824,High Card,0.0
807,20180725170737818,7,10,743c013fba52150b5aadc0e9a91566d8,False,True,True,5300,0,True,False,4,5S JS,8D 2D KC AS QC,8.1824,High Card,0.0
807,20180725170737818,7,10,5be72526eb62bf69304d3f5d7776a74d,False,True,False,0,0,False,False,,,8D 2D KC AS QC,,,0.0
807,20180725170737818,7,10,099d7d04319e5191b7473e016c55e320,False,True,True,5090,0,False,False,5,4C 2C,8D 2D KC AS QC,9.3584,Pair,360.0
807,20180725170737818,7,10,d217d420e818c77100367d2ea49f95c1,False,True,True,3520,0,True,False,D,TD 3D,8D 2D KC AS QC,8.1696,High Card,0.0
807,20180725170737818,7,10,2f151220475fdabb24a339d05e5c2666,False,True,True,2040,0,True,False,SB,4H 7C,8D 2D KC AS QC,8.1584,High Card,0.0
807,20180725170737818,7,10,f6ab57f4b3ca3739ad29da1cf4f26452,False,True,False,0,0,False,False,,,8D 2D KC AS QC,,,0.0
807,20180725170737818,7,10,2880040f284779e124e9a88117be1e7c,False,True,True,4424,0,True,False,BB,9D 6H,8D 2D KC AS QC,8.1632,High Card,0.0
807,20180725170737818,8,10,85da4a5408201aeff9565102ca6a7dbd,False,True,True,3526,0,True,False,BB,2S 9D,QD QH 6H TH QS,110.0192,Three of a Kind,0.0
807,20180725170737818,8,10,99d3dc696528e9ff0dfb48b1cbb20d6d,False,True,True,2990,0,True,False,1,9H 6C,QD QH 6H TH QS,248.0,Full House,0.0
807,20180725170737818,8,10,ee53d4213c897ad632bb8d824762f918,False,True,True,3050,0,True,False,2,5C 3S,QD QH 6H TH QS,110.0136,Three of a Kind,0.0
807,20180725170737818,8,10,743c013fba52150b5aadc0e9a91566d8,False,True,True,5350,0,False,True,3,KC 6S,QD QH 6H TH QS,248.0,Full House,5350.0
