round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,chips,reld,chips_total,pot,bet,cost_on_table,cost_to_call,cost_total,maxBet_all,N_maxBet_all,prWin_adj,limitBet,util_fold,util_call,util_raise_coeff,action,amount,cputime
1,0,4,4,deal,False,♥5 ♦K,,20000,0.2635702380951608,0.44056891366234757,1000,0,3000,0,0,0,20,20,20,1,0.2084991238873673,92.28810421051593,0,-5.4050613278842885,-0.5830017522252654,fold,0,0.10301017761230469
2,0,4,2,deal,False,♦Q ♠10,,20000,0.3281712301586859,0.4695475203372079,980,0,2980,0,20,20,0,20,20,2,0.2671300525148488,121.84675675594241,-20,10.685202100593951,-0.46573989497030244,bet,0,0.10101008415222168
2,1,4,2,flop,False,♦Q ♠10,♥J ♠7 ♥K,134,0.27238805970149255,0.43458537299890054,960,0,2960,40,0,40,20,60,20,1,0.22425238819128077,163.21373806490467,0,11.395334346779308,-0.5514952236174384,bet,0,1.201120138168335
3,0,4,4,deal,False,♣8 ♣4,,20000,0.23065694444441065,0.4212532711136837,1050,0,3050,0,10,10,10,20,20,3,0.17378775284406328,76.6035249224237,-10,5.640897755965696,-0.6524244943118734,bet,0,0.09100914001464844
3,1,4,4,flop,True,♣8 ♣4,♦7 ♦4 ♥10,18,0.2777777777777778,0.4479032082388083,1030,0,3030,30,0,30,20,50,0,4,0.22612924291457473,168.6673195908552,0,16.18067886633196,-0.5477415141708506,bet,0,1.2101209163665771
3,2,4,3,flop,False,♣8 ♣4,♦7 ♦4 ♥10,509,0.27668631303208907,0.4363053835776999,1010,0,3010,30,20,50,20,70,40,2,0.22510041294168945,166.68562866450424,0,38.526107364839255,-0.549799174116621,bet,0,1.2151215076446533
3,3,4,3,turn,True,♣8 ♣4,♦7 ♦4 ♥10 ♠Q,10,0.1,0.30000000000000004,990,0,2990,70,0,70,20,90,0,4,0.08860532198526813,92.60170830934024,0,4.809490155875078,-0.8227893560294637,raise,0,1.1961195468902588
3,4,4,3,turn,False,♣8 ♣4,♦7 ♦4 ♥10 ♠Q,299,0.22686733556298772,0.408815662458003,970,0,2970,70,20,90,20,110,40,2,0.21096013344333647,234.90321469683926,0,60.16485070846785,-0.578079733113327,bet,0,1.203120470046997
3,5,4,3,river,True,♣8 ♣4,♦7 ♦4 ♥10 ♠Q ♦9,86,0.05232558139534884,0.21605702530304705,950,0,2950,110,0,110,20,130,0,4,0.05610578162411615,73.97618853881711,0,2.4423126496464604,-0.8877884367517677,bet,0,1.1951196193695068
3,6,4,3,river,False,♣8 ♣4,♦7 ♦4 ♥10 ♠Q ♦9,1397,0.05332856120257695,0.21533384078044923,930,0,2930,110,20,130,20,150,40,2,0.05714279899255204,74.8734476242733,0,8.571399496276022,-0.8857144020148959,bet,0,1.2581257820129395
4,0,4,4,deal,False,♠8 ♠3,,20000,0.21427063492060927,0.41031540299058755,910,0,2910,0,0,0,20,20,20,2,0.15682647850192696,65.30738810720648,0,-5.885616934826574,-0.686347042996146,fold,0,0.09000921249389648
5,0,4,4,deal,False,♠A ♣7,,20000,0.3061992063491263,0.4609134977197907,910,0,2910,0,0,0,40,40,40,1,0.24397588415695448,107.07605262822504,0,-5.843376218026371,-0.512048231686091,fold,0,0.1180119514465332
6,0,4,2,deal,False,♠2 ♥A,,20000,0.2766873015872137,0.44736052432864476,870,0,2870,0,40,40,0,40,40,2,0.21853043342448986,93.1049886487546,-40,17.48243467395919,-0.5629391331510203,bet,0,0.1050105094909668
7,0,4,3,deal,False,♠10 ♦8,,20000,0.27164722222215915,0.44480895773482804,970,0,2970,0,20,20,20,40,40,2,0.2160461025053056,95.10884340915462,-20,10.246454350742784,-0.5679077949893888,raise,0,0.09300899505615234
7,1,4,2,flop,True,♠10 ♦8,♠Q ♥A ♦7,0,,,910,0,2910,80,0,80,40,120,0,4,,,0,,,raise,0,1.23612380027771
7,2,4,2,turn,True,♠10 ♦8,♠Q ♥A ♦7 ♠J,0,,,870,0,2870,120,0,120,40,160,0,4,,,0,,,bet,0,1.2471246719360352
7,3,4,2,river,True,♠10 ♦8,♠Q ♥A ♦7 ♠J ♠3,9,0.0,0.0,830,0,2830,160,0,160,40,200,0,4,0.0,-0.0,0,-40.0,-1.0,fold,0,1.2001197338104248
8,0,4,4,deal,False,♦2 ♠4,,20000,0.1643946428571491,0.370633301602837,830,0,2830,0,0,0,40,40,40,2,0.11991864666480864,47.56104034480752,0,-18.414643600334443,-0.7601627066703827,bet,0,0.0940093994140625
8,1,4,2,flop,False,♦2 ♠4,♦K ♣5 ♦8,303,0.10561056105610561,0.3046420939939498,790,0,2790,40,0,40,40,80,40,1,0.06279052004740751,39.287841343145224,0,-23.674464787674047,-0.874418959905185,fold,0,1.204120397567749
9,0,4,4,deal,False,♣3 ♠7,,20000,0.17474920634920815,0.3797524472989345,790,0,2790,0,0,0,80,80,80,1,0.13107767490983063,51.57273154718705,0,-43.298251025247424,-0.7378446501803387,fold,0,0.11501145362854004
10,0,4,2,deal,False,♠10 ♠3,,20000,0.23687599206344664,0.4251655635718921,710,0,2710,0,80,80,0,80,80,2,0.19010778007053847,75.1772068408837,-80,30.417244811286153,-0.6197844398589231,bet,0,0.09300899505615234
10,1,4,2,flop,False,♠10 ♠3,♠8 ♦Q ♠6,128,0.328125,0.4653522691198572,630,0,2630,160,0,160,80,240,80,1,0.2610978562906527,172.80819160051266,0,66.2147995227655,-0.47780428741869463,raise,0,1.198119878768921
10,2,4,2,turn,False,♠10 ♠3,♠8 ♦Q ♠6 ♠7,145,0.896551724137931,0.30454347814923616,470,0,2470,320,0,320,80,400,80,1,0.8765448967345914,1724.7662707239735,0,691.3595091264403,0.7530897934691827,allin,0,1.1981196403503418
11,0,4,3,deal,False,♥Q ♣3,,20000,0.22724325396820355,0.41905102015643164,1540,0,3540,0,40,40,40,80,80,2,0.1832428968517782,94.27089822684508,-40,11.308011118497895,-0.6335142062964436,bet,0,0.09300923347473145
11,1,4,3,flop,True,♥Q ♣3,♥2 ♥A ♣J,8,0.125,0.33071891388307384,1460,0,3460,120,0,120,80,200,0,4,0.08052552772903643,63.0763600804412,0,-40.54249141277215,-0.8389489445419271,fold,0,1.2001197338104248
12,0,4,4,deal,False,♥J ♣5,,20000,0.2282799603174131,0.41972398077176076,1460,0,3460,0,0,0,80,80,80,2,0.18211032243251937,91.50969385722729,0,-14.440283924293027,-0.6357793551349613,fold,0,0.0940093994140625
13,0,4,4,deal,False,♦5 ♦Q,,20000,0.28238055555548225,0.45015750288055784,1460,0,3460,0,0,0,160,160,160,1,0.23511401775302362,122.00901297524787,0,-28.33615005830677,-0.5297719644939527,fold,0,0.09901022911071777
14,0,3,3,deal,False,♥9 ♣7,,20000,0.32693148148138856,0.46909198234224064,1300,0,3300,0,160,160,0,160,160,3,0.28002228324716444,142.63642507037292,-160,134.41069595863894,-0.4399554335056711,bet,0,0.09300899505615234
14,1,3,2,flop,True,♥9 ♣7,♠K ♦Q ♦6,135,0.10555555555555556,0.2988661701402837,1140,0,3140,320,0,320,160,480,0,3,0.07046568667409163,49.82328089395129,0,-69.80392105716271,-0.8590686266518167,fold,0,1.1971197128295898
15,0,3,2,deal,False,♣9 ♣8,,20000,0.3776527777776842,0.48480012088950974,1060,0,3060,0,80,80,80,160,160,1,0.33159676629318074,162.1863664337969,-80,52.63870651727231,-0.3368064674136385,raise,0,0.09300923347473145
15,1,3,2,flop,True,♣9 ♣8,♠J ♦9 ♥2,13,0.46153846153846156,0.49851851526214314,820,0,2820,320,0,320,160,480,0,3,0.40780832377273774,320.82815882338485,0,231.49599082182823,-0.18438335245452453,bet,0,1.1941192150115967
16,0,3,3,deal,False,♣K ♣2,,20000,0.3688361111110017,0.48248941361600306,1460,0,3460,0,0,0,320,320,320,1,0.3254120638855614,179.19453854862047,0,44.46151155182872,-0.34917587222887725,bet,0,0.0940093994140625
16,1,3,3,flop,False,♣K ♣2,♥9 ♦4 ♦9,288,0.2569444444444444,0.43044353381421485,1140,0,3140,320,0,320,330,650,330,2,0.2125934453386509,162.96752965723718,0,154.71305537212407,-0.5748131093226982,bet,0,1.2161216735839844
16,2,3,2,turn,False,♣K ♣2,♥9 ♦4 ♦9 ♦Q,272,0.1292892156862745,0.32610418462525714,810,0,2810,650,0,650,330,980,330,1,0.10646017552974046,105.58550038084225,0,-17.007083942563042,-0.7870796489405191,fold,0,1.204120397567749
18,0,3,2,deal,False,♥A ♥4,,20000,0.4287101851850779,0.49489166724006795,680,0,2680,0,160,160,160,320,320,1,0.38911885180587247,173.7748469749597,-160,151.29508144469798,-0.22176229638825506,bet,0,0.09300923347473145
18,1,3,2,flop,True,♥A ♥4,♦2 ♣4 ♣K,8,0.375,0.4841229182759271,360,0,2360,480,0,480,320,800,0,3,0.3317599102343855,206.5796184501239,0,210.81585637501678,-0.336480179531229,bet,0,1.2121212482452393
19,0,3,3,deal,False,♥9 ♥8,,20000,0.3776527777776842,0.48480012088950974,1320,0,3320,0,0,0,640,640,640,1,0.3412927687109709,182.34948769386082,0,124.49580191257485,-0.31741446257805817,bet,0,0.1050105094909668
19,1,3,2,flop,False,♥9 ♥8,♠5 ♥J ♥3,216,0.3611111111111111,0.4803226796052939,680,0,2680,640,0,640,650,1290,650,1,0.32105954336984455,225.34553789528522,0,592.5004328412983,-0.3578809132603109,bet,0,1.203120231628418
19,2,3,2,turn,False,♥9 ♥8,♠5 ♥J ♥3 ♥6,132,0.8484848484848485,0.35855028988482524,30,0,2030,1290,0,1290,30,1320,650,1,0.8264314344451622,1186.6549767099987,0,3217.8755373694876,0.6528628688903244,allin,0,1.197119951248169
