round_id,playerName,chips,reloadCount,cards,hand,position,allIn,folded,rank,message,winMoney
1,e0e88e3d27a4885d3dffb13f3b30d05b,1000,0,♥4 ♠9,♥4 ♠9 ♠4 ♦4 ♥9 ♦8 ♦3,1,False,True,154.0,Full House,0.0
1,4fb82145dc3003a76c5b44a7704422d3,1000,0,♦2 ♦7,♦2 ♦7 ♠4 ♦4 ♥9 ♦8 ♦3,D,False,True,123.0051,Flush,0.0
1,ab2716a7e6448e0707e533a7e7255ea7,960,0,♣2 ♠K,♣2 ♠K ♠4 ♦4 ♥9 ♦8 ♦3,SB,False,True,11.112,Pair,0.0
1,a980d10665f268b0ec6c13ebea43034f,1040,0,♣J ♣9,♣J ♣9 ♠4 ♦4 ♥9 ♦8 ♦3,BB,False,False,45.0256,Two Pair,80.0
2,e0e88e3d27a4885d3dffb13f3b30d05b,1980,1,♣8 ♠4,♣8 ♠4 ♥10 ♦K ♥A ♥8 ♥3,BB,False,True,15.32,Pair,0.0
2,4fb82145dc3003a76c5b44a7704422d3,1000,0,♠3 ♦5,♠3 ♦5 ♥10 ♦K ♥A ♥8 ♥3,1,False,True,10.32,Pair,0.0
2,ab2716a7e6448e0707e533a7e7255ea7,1000,1,♠A ♠K,♠A ♠K ♥10 ♦K ♥A ♥8 ♥3,D,True,False,99.0128,Two Pair,0.0
2,a980d10665f268b0ec6c13ebea43034f,2020,0,♥Q ♠Q,♥Q ♠Q ♥10 ♦K ♥A ♥8 ♥3,SB,True,False,123.2721,Flush,2020.0
3,e0e88e3d27a4885d3dffb13f3b30d05b,3112,2,♦K ♦10,♦K ♦10 ♠10 ♦A ♦8 ♥3 ♣7,SB,False,False,17.3104,Pair,264.0
3,4fb82145dc3003a76c5b44a7704422d3,868,0,♥9 ♥8,♥9 ♥8 ♠10 ♦A ♦8 ♥3 ♣7,BB,False,False,15.224,Pair,0.0
3,ab2716a7e6448e0707e533a7e7255ea7,1000,1,♣K ♦6,♣K ♦6 ♠10 ♦A ♦8 ♥3 ♣7,1,False,True,8.12,High Card,0.0
3,a980d10665f268b0ec6c13ebea43034f,2020,0,♠2 ♥7,♠2 ♥7 ♠10 ♦A ♦8 ♥3 ♣7,D,False,True,14.2208,Pair,0.0
4,e0e88e3d27a4885d3dffb13f3b30d05b,3112,2,♠6 ♦2,♠6 ♦2 ♥10 ♦Q ♣6 ♦9 ♠A,D,False,True,13.2688,Pair,0.0
4,4fb82145dc3003a76c5b44a7704422d3,1000,1,♥8 ♦10,♥8 ♦10 ♥10 ♦Q ♣6 ♦9 ♠A,SB,True,False,17.2624,Pair,0.0
4,ab2716a7e6448e0707e533a7e7255ea7,1000,2,♠5 ♠Q,♠5 ♠Q ♥10 ♦Q ♣6 ♦9 ♠A,BB,True,False,19.224,Pair,0.0
4,a980d10665f268b0ec6c13ebea43034f,3888,0,♦J ♠K,♦J ♠K ♥10 ♦Q ♣6 ♦9 ♠A,1,True,False,122.0,Straight,3888.0
5,e0e88e3d27a4885d3dffb13f3b30d05b,3112,2,♥J ♠9,♥J ♠9 ♣4 ♥9 ♦J ♣2 ♦Q,1,False,True,65.0512,Two Pair,0.0
5,4fb82145dc3003a76c5b44a7704422d3,1000,1,♦3 ♥K,♦3 ♥K ♣4 ♥9 ♦J ♣2 ♦Q,D,False,True,7.0834,High Card,0.0
5,ab2716a7e6448e0707e533a7e7255ea7,1080,2,♠K ♣Q,♠K ♣Q ♣4 ♥9 ♦J ♣2 ♦Q,SB,False,False,19.1344,Pair,200.0
5,a980d10665f268b0ec6c13ebea43034f,3808,0,♥8 ♣A,♥8 ♣A ♣4 ♥9 ♦J ♣2 ♦Q,BB,False,True,8.0864,High Card,0.0
6,e0e88e3d27a4885d3dffb13f3b30d05b,3072,2,♥3 ♥8,♥3 ♥8 ♠8 ♠2 ♣4 ♦8 ♥A,BB,False,True,106.205,Three of a Kind,0.0
6,4fb82145dc3003a76c5b44a7704422d3,1000,1,♥2 ♦4,♥2 ♦4 ♠8 ♠2 ♣4 ♦8 ♥A,1,False,True,39.2048,Two Pair,0.0
6,ab2716a7e6448e0707e533a7e7255ea7,1080,2,♠A ♦5,♠A ♦5 ♠8 ♠2 ♣4 ♦8 ♥A,D,False,True,94.0004,Two Pair,0.0
6,a980d10665f268b0ec6c13ebea43034f,3848,0,♥10 ♦3,♥10 ♦3 ♠8 ♠2 ♣4 ♦8 ♥A,SB,False,False,15.2178,Pair,120.0
7,e0e88e3d27a4885d3dffb13f3b30d05b,3052,2,♠Q ♦7,♠Q ♦7 ♣8 ♦K ♥K ♣K ♦Q,SB,False,True,266.0,Full House,0.0
7,4fb82145dc3003a76c5b44a7704422d3,1910,1,♣Q ♣4,♣Q ♣4 ♣8 ♦K ♥K ♣K ♦Q,BB,False,False,266.0,Full House,1800.0
7,ab2716a7e6448e0707e533a7e7255ea7,190,2,♦9 ♥9,♦9 ♥9 ♣8 ♦K ♥K ♣K ♦Q,1,False,False,263.0,Full House,0.0
7,a980d10665f268b0ec6c13ebea43034f,3848,0,♠6 ♥2,♠6 ♥2 ♣8 ♦K ♥K ♣K ♦Q,D,False,True,111.0544,Three of a Kind,0.0
8,e0e88e3d27a4885d3dffb13f3b30d05b,3052,2,♠5 ♣K,♠5 ♣K ♣5 ♠10 ♥J ♠3 ♠Q,D,False,True,12.1792,Pair,0.0
8,4fb82145dc3003a76c5b44a7704422d3,2590,1,♦10 ♦A,♦10 ♦A ♣5 ♠10 ♥J ♠3 ♠Q,SB,False,False,17.2816,Pair,1320.0
8,ab2716a7e6448e0707e533a7e7255ea7,150,2,♥A ♣9,♥A ♣9 ♣5 ♠10 ♥J ♠3 ♠Q,BB,False,True,8.096,High Card,0.0
8,a980d10665f268b0ec6c13ebea43034f,3208,0,♠6 ♥6,♠6 ♥6 ♣5 ♠10 ♥J ♠3 ♠Q,1,False,False,13.0896,Pair,0.0
9,e0e88e3d27a4885d3dffb13f3b30d05b,3842,2,♣5 ♣A,♣5 ♣A ♣7 ♥2 ♦9 ♠2 ♠4,1,False,False,9.2128,Pair,1270.0
9,4fb82145dc3003a76c5b44a7704422d3,2430,1,♥5 ♥4,♥5 ♥4 ♣7 ♥2 ♦9 ♠2 ♠4,D,False,True,23.0064,Two Pair,0.0
9,ab2716a7e6448e0707e533a7e7255ea7,0,2,♣3 ♠6,♣3 ♠6 ♣7 ♥2 ♦9 ♠2 ♠4,SB,True,False,9.0088,Pair,0.0
9,a980d10665f268b0ec6c13ebea43034f,2728,0,♠K ♦10,♠K ♦10 ♣7 ♥2 ♦9 ♠2 ♠4,BB,False,True,9.1216,Pair,0.0
10,e0e88e3d27a4885d3dffb13f3b30d05b,4202,2,♥A ♥9,♥A ♥9 ♦9 ♥7 ♣3 ♦5 ♣7,BB,False,False,48.2048,Two Pair,992.0
10,4fb82145dc3003a76c5b44a7704422d3,2430,1,♣8 ♠6,♣8 ♠6 ♦9 ♥7 ♣3 ♦5 ♣7,1,False,True,117.0,Straight,0.0
10,ab2716a7e6448e0707e533a7e7255ea7,0,2,,,D,False,False,,,0.0
10,a980d10665f268b0ec6c13ebea43034f,2368,0,♦J ♣K,♦J ♣K ♦9 ♥7 ♣3 ♦5 ♣7,SB,False,True,14.1344,Pair,0.0
11,e0e88e3d27a4885d3dffb13f3b30d05b,4671,2,♣A ♦5,♣A ♦5 ♣4 ♣J ♥2 ♠5 ♥K,SB,False,False,12.3328,Pair,1132.0
