,allIn,bet,cards,chips,folded,isHuman,isOnline,isSurvive,reloadCount,roundBet,position,me,win,score
840483e7137b46486ca72e52215b2be3,False,0.0,♦4 ♠K,990.0,True,False,False,True,0.0,0.0,2,False,True,990.0
jyp,False,0.0,♥10 ♠4,2160.0,True,False,True,True,0.0,0.0,D,True,True,2160.0
ca81c08c8fc0f1e16ca09c4b2693bb99,True,0.0,♥8 ♦9,4170.0,True,False,True,True,0.0,0.0,SB,False,True,4170.0
433fc8503185ffd33018f90e56016fd7,True,0.0,♥6 ♣5,0.0,False,False,False,True,0.0,0.0,BB,False,,
49cdc31909f30a608d9c093e76d80c63,False,0.0,♣8 ♦6,7680.0,True,False,True,True,0.0,0.0,1,False,True,7680.0
e9843887df75c1ffa01b15375882dfe1,False,0.0,,826.0,True,False,True,True,0.0,0.0,,,,
9b1173b530529d85ac1d9a2e037466f6,False,0.0,,2510.0,True,False,True,True,0.0,0.0,,,,
1f11bed6c99549af7d6dfa7ba6966c17,False,0.0,,0.0,False,False,True,False,0.0,0.0,,,,
29ee89c64af5a98ae3073d3b707ff421,False,0.0,,3715.0,False,False,True,True,0.0,320.0,,,,
64bd3da256dcaf5ef87360a1e3ee4917,False,0.0,,2880.0,True,False,True,True,0.0,160.0,,,,
fb90eb5c0ac56ccf3eea433a56f209a1,False,0.0,,0.0,False,False,True,False,0.0,0.0,,,,
39104bb03b0a93f3bcf109363bba51d8,False,693.0,,3318.0,False,False,True,True,0.0,320.0,,,,
9facbf452def2d7efc5b5c48cdb837fa,False,0.0,,0.0,False,False,True,False,0.0,0.0,,,,
681091d5fafa11aa629b476eee8f92af,False,0.0,♦K ♥10,2970.0,True,False,False,True,0.0,0.0,,,,
31a75d2f1a612eed66f277bb789a7d76,False,0.0,,0.0,False,False,False,False,0.0,0.0,,,,
7598d7937e2d413d6587ab562e3613a2,False,0.0,,0.0,False,False,True,False,0.0,0.0,,,,
5f056dbdb4e73cbe5e32cd87ec5d4b5b,False,0.0,♥3 ♦6,12934.0,True,False,True,True,0.0,0.0,,,,
e66f111bad61bdb688192fa9f85acc71,False,0.0,♥7 ♣7,5580.0,True,False,True,True,0.0,0.0,,,,
2bcebc8c9c8b04337d5af15b6545aaea,False,0.0,♣8 ♥4,3030.0,True,False,True,True,0.0,0.0,,,,
91b58f254e63ad15f05d9cab1c21f971,False,0.0,,0.0,False,False,True,False,0.0,0.0,,,,
