,deal,deal,deal,deal,deal,deal,deal,deal,deal,flop,flop,flop,flop,flop,flop,flop,flop,flop,turn,turn,turn,turn,turn,turn,turn,turn,turn,river,river,river,river,river,river,river,river,river
,rounds,prBet,amtBet,prCall,amtCall,oddsCall,prFold,amtFold,lossFold,rounds,prBet,amtBet,prCall,amtCall,oddsCall,prFold,amtFold,lossFold,rounds,prBet,amtBet,prCall,amtCall,oddsCall,prFold,amtFold,lossFold,rounds,prBet,amtBet,prCall,amtCall,oddsCall,prFold,amtFold,lossFold
playerName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orca Poker,121,0.0013776041129166677,20.0,0.8173905899131503,226.34353497468157,0.12350128793942478,0.1811900603947539,196.39897847068474,14.47591683909771,,0.4671582120130293,454.94230350440006,0.27513658898895016,118.89238141800001,0.07326767174622006,0.2233683607950957,104.52325731940002,188.12814875840002,,0.28172582650751843,299.88356,0.31981971284771593,92.80212399999999,0.03162112017057395,0.23168264364810004,50.7429,198.224,,0.295659,95.648,0.22072969000000003,74.62,0.013838359788359789,0.05314410000000002,4.0,20.0
AllinWin,121,1.082131065790604e-05,20.0,0.46630725945172086,70.2276569306407,0.12187346703234611,0.5336815913191167,177.1148019252085,16.581543937987124,,0.09108210717779995,13.219999999999999,0.3156147450938885,47.67190719999999,0.04390797272345217,0.5351534107252717,383.129840479539,98.03786999875217,,0.0,0.0,0.0,0.0,0.0,0.5217031000000001,69.81046990000002,119.02481600000002,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ヽ(=^･ω･^=)丿,121,0.6678035122017661,551.7301455533932,0.2849401727042582,263.89316735247684,0.1900319304596047,0.047256310731743266,100.94768380480537,0.8943100946034713,75.0,0.4806642749864385,353.2041372184441,0.1214418715940497,200.3500804858982,0.07621475453216395,0.39779980731081355,413.5387618032117,550.3852086994034,39.0,0.5659270091861293,186.7851796665446,0.31333395868198055,409.45794350100107,0.09972700664202049,0.11201106856380262,189.864,253.8504,27.0,0.33025857339845505,152.49670342840002,0.40526805519396353,1377.3788763919442,0.1461276767787319,0.23013653320465655,7.348320000000001,392.991056
SML,121,0.0028802279774689478,20.0,0.7289807313422143,304.8833938758602,0.18999056194836217,0.268051761044636,192.46803723194336,18.31112876605666,,0.1799670396514023,114.29740000000001,0.3787778998478022,250.43996532061,0.0989381098988345,0.3831053234977556,364.311096383,207.43267613630002,,0.35551496219329004,141.188104,0.45918301892152596,178.61502138400004,0.0659208215792544,0.0,0.0,0.0,,0.28130647060900005,183.25549,0.21872079765810004,99.76500000000001,0.018630825837560046,0.2712048071832901,94.9514,215.71485
Jee,121,0.0018897175760173768,20.0,0.45051706351750254,174.1283527616686,0.17917770803507635,0.5475359547375102,285.3677014327714,38.46296416173563,,0.15896625553661847,29.356,0.14600777149275493,51.84,0.04209002250562641,0.5449313376736277,186.73677392,120.51568869420001,,0.171,15.6,0.0,0.0,0.0,0.23851000000000003,3.6,77.16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERS yo,121,0.0017007458184156391,20.0,0.77306007459056,158.82539003385375,0.1491462419708993,0.2251876418389512,217.33824893450003,6.427832039100002,,0.1600302742234979,60.0242,0.45040623240848865,50.25854478632401,0.03084395931108815,0.3670350938230744,183.6252321082639,110.17164020417523,,0.31652194401000006,198.55040000000002,0.2218377699,45.356,0.02268596256684492,0.14782969,227.6,135.2,,0.13851000000000002,437.2,0.28319310000000003,22.156,0.01248773419203747,0.1,32.0,112.0
惡意送頭,121,0.5043717000000001,263.215,0.2948617,9.1,0.049291497975708504,0.19486170000000003,10.0,10.0,,0.0,0.0,0.0,0.0,0.0,0.34390000000000004,35.01,250.822,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( Φ Ω Φ ),121,0.015543424700912616,20.0,0.9684421377284499,54.704647719198505,0.1543982188325845,0.015543424700912616,10.0,10.0,,0.7539215420600881,155.0852864343674,0.07539312957858822,78.34900000000002,0.04151961351271697,0.10607450946905696,18.22,13.219999999999999,,0.5725900697938694,97.46596140032383,0.20158911320946493,107.47,0.03172708822506286,0.05904900000000002,8.0,16.0,,0.48032155990000003,146.45660080000002,0.20586784401000005,99.162,0.03063355713796443,0.0,0.0,0.0
