score,wt,prob,2,3,4,5,6,7,8,9,10
"(0, 9, 8, 7, 5, 4)",6668.0,0.00011941260744985673,0.00839832033593281,4.999000199960008e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 9, 8, 7, 6, 4)",6112.0,0.00010945558739255014,0.01032577079697498,0.0001817917393833624,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 10, 8, 7, 5, 4)",7116.0,0.0001274355300859599,0.013803010430329145,0.00018737118231216038,2.0075483819160042e-05,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 10, 8, 7, 6, 4)",7312.0,0.00013094555873925502,0.01580354972039873,0.00024313153415998052,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 10, 8, 7, 6, 5)",6724.0,0.00012041547277936963,0.015797475047921197,0.00021481922136294533,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 10, 9, 7, 5, 4)",6940.0,0.0001242836676217765,0.017867435158501435,0.0003041946845981428,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 10, 9, 7, 6, 4)",6888.0,0.00012335243553008595,0.024067621628597245,0.0005645889792231256,2.074000331840053e-05,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 10, 9, 7, 6, 5)",13348.0,0.0002390401146131805,0.025205607165451345,0.00038291212999034386,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 10, 9, 8, 5, 4)",6988.0,0.0001251432664756447,0.026330852890669727,0.00041340711060230235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 10, 9, 8, 6, 4)",7068.0,0.00012657593123209168,0.030623152864239445,0.0005973715651135005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 10, 9, 8, 6, 5)",21044.0,0.0003768624641833811,0.029947834167564275,0.0008500707512302261,3.620532037182864e-05,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 10, 9, 8, 7, 4)",7048.0,0.00012621776504297995,0.04130407365367638,0.0017499054105183502,4.7294740824820276e-05,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 10, 9, 8, 7, 5)",20944.0,0.00037507163323782235,0.04560308972073676,0.0014642220524573456,1.818909381934592e-05,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 11, 8, 7, 5, 4)",6284.0,0.00011253581661891117,0.016903599971709454,0.0005304476978569912,7.5778242550998755e-06,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 11, 8, 7, 6, 4)",6108.0,0.0001093839541547278,0.02532198209997818,0.000945936112930219,1.5592353509838775e-05,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 11, 8, 7, 6, 5)",6328.0,0.00011332378223495702,0.021421547970220525,0.0009130495856159573,7.525133947384263e-05,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 11, 9, 7, 5, 4)",6624.0,0.00011862464183381089,0.02717391304347827,0.0008219269994632312,7.188865884518058e-06,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 11, 9, 7, 6, 4)",5844.0,0.00010465616045845273,0.03186554110578751,0.0010266940451745376,4.889019262735895e-05,5.4322436252621055e-06,0.0,0.0,0.0,0.0,0.0
"(0, 11, 9, 7, 6, 5)",11356.0,0.00020336676217765044,0.03103596728112405,0.0009686509334272632,3.3546352672805646e-05,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 11, 9, 8, 5, 4)",6088.0,0.00010902578796561605,0.03555263542122937,0.0015330705212439771,5.475251861585633e-05,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 11, 9, 8, 6, 4)",6172.0,0.00011053008595988538,0.02909195650608483,0.0009001224166486639,3.086133999938277e-05,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 11, 9, 8, 6, 5)",18644.0,0.00033388252148997135,0.037116498605449466,0.0011442465851390971,2.5541218418283424e-05,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 11, 9, 8, 7, 4)",6236.0,0.00011167621776504298,0.05152875775069489,0.0025479295844914825,8.399767860960932e-05,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 11, 9, 8, 7, 5)",18564.0,0.00033244985673352436,0.05836864660394073,0.0029986353515765287,0.00014364720247073183,1.0260514462195133e-05,0.0,0.0,0.0,0.0,0.0
"(0, 11, 9, 8, 7, 6)",18960.0,0.00033954154727793695,0.054664791373652155,0.00254336615096109,0.00011553144464536869,1.0046212577858147e-05,0.0,0.0,0.0,0.0,0.0
"(0, 11, 10, 7, 5, 4)",7476.0,0.00013388252148997134,0.03578859758635039,0.001218714701860769,3.1847945170577596e-05,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 11, 10, 7, 6, 4)",7116.0,0.0001274355300859599,0.0422209730810068,0.0018268690275435636,6.022645145748012e-05,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 11, 10, 7, 6, 5)",13308.0,0.000238323782234957,0.03874027318571954,0.0019036168720569077,9.66121344840912e-05,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 11, 10, 8, 5, 4)",7004.0,0.0001254297994269341,0.05241449330541276,0.0026016879243606827,5.439068831416061e-05,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 11, 10, 8, 6, 4)",7024.0,0.00012578796561604584,0.04403948367501898,0.0019773475069602632,7.457424883392991e-05,4.519651444480601e-06,0.0,0.0,0.0,0.0,0.0
"(0, 11, 10, 8, 6, 5)",20852.0,0.00037342406876790833,0.04676343329709913,0.0024404799965897237,0.00012103441031121826,6.0897816508789075e-06,0.0,0.0,0.0,0.0,0.0
"(0, 11, 10, 8, 7, 4)",6896.0,0.00012349570200573067,0.06567414282031452,0.004575921629285897,0.0002900232018561485,1.3810628659816593e-05,0.0,0.0,0.0,0.0,0.0
"(0, 11, 10, 8, 7, 5)",21524.0,0.00038545845272206305,0.06560118937000561,0.00363418612814636,0.00015929062574667475,4.4247396040743e-06,0.0,0.0,0.0,0.0,0.0
